,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,54,84,109,27,33,37,84,115,38,51,132,Upgrade
1,Market Cap Growth,207.35%,207.35%,234.62%,-27.10%,-61.14%,-67.71%,119.90%,125.88%,-70.99%,-62.68%,120.41%,Upgrade
2,Enterprise Value,53,74,103,20,22,21,57,91,13,25,102,Upgrade
3,Last Close Price,0.19,0.29,0.38,0.11,0.14,0.15,0.35,0.48,0.19,0.26,0.79,Upgrade
4,PS Ratio,722.96,722.96,482.98,134.37,189.11,135.10,452.03,68.83,61.85,-38.76,357.15,Upgrade
5,PB Ratio,15.33,23.52,14.97,5.04,4.27,2.90,4.33,3.70,1.42,1.74,4.32,Upgrade
6,P/TBV Ratio,23.52,23.52,14.97,5.04,4.27,2.90,4.33,3.70,1.42,1.74,4.32,Upgrade
7,P/FCF Ratio,-,-,102.58,-20.10,-,-,-,141.26,-,-,-,Upgrade
8,P/OCF Ratio,-,-,102.58,-20.10,-,-,-,127.73,-,-,-,Upgrade
9,EV/Sales Ratio,636.59,636.59,452.79,97.74,125.30,74.99,305.27,54.31,20.85,-,-,Upgrade
10,EV/FCF Ratio,-10.42,-,96.17,-14.62,-,-,-,111.46,-,-,-,Upgrade
11,Debt / Equity Ratio,1.63,1.63,0.41,0.69,0.57,0.27,0.13,0.10,0.01,0.07,0.12,Upgrade
12,Debt / FCF Ratio,-,-,2.84,-2.73,-,-,-,3.70,-,-,-,Upgrade
13,Earnings Yield,-16.28%,-10.61%,-6.73%,-27.50%,-36.07%,-49.13%,-17.81%,-4.85%,-23.75%,-25.53%,-8.48%,Upgrade
14,FCF Yield,-9.31%,-6.07%,0.97%,-4.97%,-8.04%,-30.73%,-9.96%,0.71%,-56.35%,-49.33%,-7.74%,Upgrade
15,Buyback Yield / Dilution,-11.94%,-19.76%,-4.11%,-,0.02%,-3.04%,-19.94%,-34.44%,-20.04%,-9.49%,-20.02%,Upgrade
16,Total Shareholder Return,-11.94%,-19.76%,-4.11%,-,0.02%,-3.04%,-19.94%,-34.44%,-20.04%,-9.49%,-20.02%,Upgrade
