,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,10121,4517,5579,6566,8198,12297,15789,23494,-,-
1,Market Cap Growth,-31.21%,-31.21%,-31.94%,-46.60%,-48.08%,-47.66%,-,-,-,-
2,Enterprise Value,37023,31906,30329,31028,27494,28564,26571,33979,-,-
3,Last Close Price,2.60,1.19,1.47,1.73,2.13,3.20,4.11,6.11,-,-
4,PE Ratio,-,-,-,-,17.48,12.47,8.26,12.65,-,-
5,Forward PE,59.09,6.59,13.00,5.35,3.82,4.12,5.06,-,-,-
6,PS Ratio,0.47,0.21,0.27,0.33,0.40,0.63,0.84,1.42,-,-
7,PB Ratio,0.80,0.33,0.39,0.46,0.49,0.70,0.86,1.39,-,-
8,P/TBV Ratio,0.39,0.39,0.45,0.55,0.59,0.84,1.04,1.67,-,-
9,P/OCF Ratio,0.83,0.83,1.15,1.81,2.85,4.14,5.68,9.46,-,-
10,PEG Ratio,0.15,0.15,0.15,0.15,0.15,0.15,0.12,-,-,-
11,EV/Sales Ratio,1.75,1.51,1.47,1.56,1.35,1.45,1.41,2.06,-,-
12,EV/EBITDA Ratio,8.08,7.12,8.15,9.23,7.72,7.00,6.10,9.26,-,-
13,EV/EBIT Ratio,9.42,7.88,9.09,10.24,8.45,7.54,6.57,10.20,-,-
14,Debt / Equity Ratio,2.10,2.10,2.14,2.14,1.58,1.19,0.89,0.80,1.13,-
15,Return on Capital Employed (ROCE),15.89%,15.73%,11.98%,12.14%,12.22%,14.35%,15.94%,14.79%,15.60%,-
16,Earnings Yield,-4.13%,-9.25%,-20.73%,-13.11%,5.72%,8.02%,12.11%,7.91%,-,-
17,FCF Yield,-27.78%,-62.26%,-70.23%,-84.23%,-83.79%,-55.97%,-39.20%,-14.29%,-,-
18,Buyback Yield / Dilution,-,-,-,0.10%,13.07%,-5.29%,-36.08%,-,-,
19,Total Shareholder Return,-,-,-,0.10%,13.07%,-5.29%,-36.08%,-,-,
