,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,10055,9617,9077,9344,8707,8054,7292,6437,5344
1,Revenue Growth (YoY),10.78%,2.93%,4.25%,16.01%,19.41%,25.13%,36.44%,-,-
2,Cost of Revenue,7206,7241,6983,7217,6610,5499,5153,4426,3737
3,Gross Profit,2849,2377,2093,2127,2097,2556,2139,2011,1607
4,"Selling, General & Admin",679.68,735.12,662.6,701.24,610.31,779.98,612.12,721,476.64
5,Other Operating Expenses,48.3,-,38.21,-,-,-,-,-,-
6,Operating Expenses,736.04,722.83,717.07,699.89,645.11,775.1,626.78,752,487
7,Operating Income,2113,1654,1376,1427,1452,1780,1512,1259,1120
8,Interest Expense,-462.96,-520.64,-561.95,-585.18,-512.31,-434.78,-297.66,-157.27,-152.55
9,Interest & Investment Income,49.32,9.49,18.74,15.61,7.57,20.33,7.91,6.77,5.84
10,Earnings From Equity Investments,-48.09,-99.96,-27.14,-38.02,2.5,0.02,0.01,-0.04,0.07
11,Currency Exchange Gain (Loss),0.2,-1.36,1.41,1.43,1.88,-0.01,4.27,-29.37,-
12,Other Non Operating Income (Expenses),215.87,229.75,165.4,142.2,109.11,93.83,24.02,-0.57,19.69
13,EBT Excluding Unusual Items,1867,1271,972.55,962.95,1061,1460,1251,1079,993.36
14,Merger & Restructuring Charges,-,-,-,-,-,-,-,-11.66,-
15,Impairment of Goodwill,-,-120.97,-,-,-,-,-,-,-
16,Gain (Loss) on Sale of Investments,0.76,67.11,93.32,19.34,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0.73,-10.7,-7.83,-0.82,-1.18,-3.97,-3.69,-5.99,0.09
18,Asset Writedown,-2271,-1362,-2263,-768.41,-852.23,-505.07,97.63,-226.55,-217.7
19,Legal Settlements,-,-,-,-21.28,25.53,-,-,0.2,-5.2
20,Other Unusual Items,-0.19,1.93,-1.4,50.09,0.72,-72.18,-127.91,-10.77,-
21,Pretax Income,-403.72,-153.18,-1206,241.86,233.41,878.66,1217,823.89,770.55
22,Income Tax Expense,62.99,56.14,37.25,36,33.29,44.96,29.15,27.32,26.49
23,Earnings From Continuing Operations,-466.71,-209.32,-1244,205.87,200.12,833.7,1188,796.57,744.06
24,Minority Interest in Earnings,135.83,151.36,251.55,-10.42,19.21,-210.96,-252.24,-187.09,-12.81
25,Net Income,-330.87,-57.96,-992.02,195.45,219.33,622.74,935.28,609.49,731.25
26,Net Income to Common,-330.87,-57.96,-992.02,195.45,219.33,622.74,935.28,609.49,731.25
27,Net Income Growth,-,-,-,-68.62%,-76.55%,2.17%,27.90%,-,-
28,Shares Outstanding (Basic),3795,3795,3795,3795,3795,3799,3335,3303,3208
29,Shares Outstanding (Diluted),3795,3795,3795,3795,3795,3799,4366,3608,3208
30,Shares Change (YoY),-,-,-,-0.10%,-13.07%,5.29%,36.08%,-,-
31,EPS (Basic),-0.09,-0.02,-0.26,0.05,0.06,0.16,0.28,0.18,0.23
32,EPS (Diluted),-0.09,-0.02,-0.26,0.05,0.06,0.10,0.27,0.17,0.23
33,EPS Growth,-,-,-,-50.77%,-78.68%,-40.91%,18.95%,-,-
34,Free Cash Flow,-107.39,-2510,-1047,-4071,-2005,-3871,-1172,-1619,-342.32
35,Free Cash Flow Per Share,-0.03,-0.66,-0.28,-1.07,-0.53,-1.02,-0.27,-0.45,-0.11
36,Operating Margin,21.01%,17.20%,15.16%,15.27%,16.67%,22.11%,20.74%,19.56%,20.96%
37,Profit Margin,-3.29%,-0.60%,-10.93%,2.09%,2.52%,7.73%,12.83%,9.47%,13.68%
38,Free Cash Flow Margin,-1.07%,-26.10%,-11.54%,-43.57%,-23.03%,-48.05%,-16.08%,-25.15%,-6.41%
39,EBITDA,2345,1827,1552,1560,1591,1892,1656,1395,1238
40,D&A For EBITDA,231.65,173.16,176.09,133.08,138.76,111.54,143.82,136.08,117.55
41,EBIT,2113,1654,1376,1427,1452,1780,1512,1259,1120
