,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,1035,3936,924.63,936.36,2539,1015,3777,2619,-
1,Short-Term Investments,639.02,552.36,318.7,515.9,474.15,612.16,-,-,-
2,Trading Asset Securities,857.74,-,5602,1919,-,-,-,-,-
3,Cash & Short-Term Investments,2532,4488,6846,3372,3013,1627,3777,2619,-
4,Cash Growth,-63.01%,33.12%,127.18%,107.17%,-20.21%,-37.86%,-,-,-
5,Accounts Receivable,2335,1899,2035,2237,2298,1992,1833,1429,-
6,Other Receivables,31.17,47.09,51.72,96.08,23.45,17.89,29.74,26.21,-
7,Receivables,2366,1946,2087,2333,2321,2010,1862,1456,-
8,Inventory,3060,4505,3303,4693,2340,3326,1591,1972,-
9,Other Current Assets,471.35,467.6,840.48,1172,548.34,490.91,343.6,358.41,-
10,Total Current Assets,8430,11406,13076,11569,8223,7454,7574,6405,-
11,"Property, Plant & Equipment",32763,32523,29645,28643,24986,22727,18888,14543,-
12,Long-Term Investments,1024,1070,1195,1189,1182,25.31,63.01,72.85,-
13,Goodwill,672.01,672.01,792.98,792.98,792.98,792.98,792.98,762.74,-
14,Other Intangible Assets,28.33,25.18,22.35,23.16,11.29,4.28,4.61,4.93,-
15,Long-Term Accounts Receivable,0.6,5.26,-,-,-,-,-,-,-
16,Long-Term Deferred Tax Assets,40.57,35.39,27.4,24.35,23.34,17.75,21.72,11.38,-
17,Other Long-Term Assets,489.78,462.32,991.35,1205,1155,940.57,723.94,400.39,-
18,Total Assets,43448,46200,45750,43446,36374,31962,28068,22201,-
19,Accounts Payable,1729,2192,1730,2736,1391,1880,1266,1445,-
20,Accrued Expenses,538.38,562.66,394.18,462.33,350.22,377.7,285.54,297.53,-
21,Current Portion of Long-Term Debt,15754,16433,19000,15034,10815,7819,6882,4225,-
22,Current Portion of Leases,216.47,220.79,178.11,131.6,73.94,51.01,48.88,38.68,-
23,Current Income Taxes Payable,36.14,27.14,24.79,32.73,32.48,29.74,25.95,19.07,-
24,Current Unearned Revenue,33.2,31.23,32.39,41.9,43.89,41.09,59.07,42.04,-
25,Other Current Liabilities,1195,1447,1294,1458,1150,1108,765.36,876.82,-
26,Total Current Liabilities,19502,20915,22653,19896,13856,11308,9333,6944,-
27,Long-Term Debt,8912,9827,7619,6731,5581,4044,3420,5015,-
28,Long-Term Leases,1555,1602,1539,1425,1337,1266,901.31,928.81,-
29,Long-Term Unearned Revenue,844.07,728.21,709.16,619.51,630.78,434.05,368.11,216.97,-
30,Long-Term Deferred Tax Liabilities,11.93,7.29,7.64,6.19,6.32,6.43,6.55,6.67,-
31,Other Long-Term Liabilities,22.98,22.54,9.36,16.43,16.02,22.93,22.46,27.61,-
32,Total Liabilities,30847,33101,32537,28695,21427,17082,14051,13139,-
33,Common Stock,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.22,-
34,Additional Paid-In Capital,7266,7266,7349,7349,7342,7342,7342,4580,-
35,Retained Earnings,3638,3969,3944,5019,4824,4605,3977,3042,-
36,Comprehensive Income & Other,565.14,595.51,504.46,695.06,1101,1234,1208,198.47,-
37,Total Common Equity,11469,11831,11798,13064,13267,13181,12528,7820,-
38,Minority Interest,1132,1268,1414,1687,1680,1699,1489,1241,-
39,Shareholders' Equity,12601,13099,13212,14751,14947,14880,14017,9062,-
40,Total Liabilities & Equity,43448,46200,45750,43446,36374,31962,28068,22201,-
41,Total Debt,26437,28082,28336,23322,17806,13181,11252,10207,-
42,Net Cash (Debt),-23905,-23594,-21490,-19951,-14793,-11553,-7476,-7588,-
43,Net Cash Per Share,-6.30,-6.22,-5.66,-5.26,-3.90,-3.04,-1.71,-2.10,-
44,Filing Date Shares Outstanding,3795,3795,3795,3795,3795,3795,3795,3302,3208
45,Total Common Shares Outstanding,3795,3795,3795,3795,3795,3795,3795,3302,3208
46,Working Capital,-11072,-9508,-9577,-8327,-5633,-3854,-1759,-538.81,-
47,Book Value Per Share,3.02,3.12,3.11,3.44,3.50,3.47,3.30,2.37,-
48,Tangible Book Value,10769,11134,10982,12248,12463,12384,11730,7053,-
49,Tangible Book Value Per Share,2.84,2.93,2.89,3.23,3.28,3.26,3.09,2.14,-
50,Buildings,-,12817,-,9570,-,7436,-,5463,-
51,Machinery,-,4018,-,3019,-,2325,-,1693,-
52,Construction In Progress,-,1858,-,3032,-,2341,-,463.78,-
53,Leasehold Improvements,-,13.23,-,13.19,-,12.91,-,12.91,-
