,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,1592,1299,1541,1791,1853,1838,2174,2005,918.54,545.14
1,Short-Term Investments,-,-,-,-,-,106,265.02,237.35,256.21,604.58
2,Trading Asset Securities,5102,5791,7869,7774,10135,11323,10577,10430,8357,6510
3,Accounts Receivable,1645,1682,2190,2034,2367,3338,5080,3907,4077,3191
4,Other Receivables,1634,982.49,1474,2205,2170,2098,1407,2137,1510,1115
5,"Property, Plant & Equipment",174.98,222.52,272.14,266.46,270.5,289.51,299.77,149.17,131.5,107.68
6,Other Intangible Assets,13.04,13.09,11.72,6.21,5.17,5.13,3.2,3.2,3.2,3.2
7,Investments in Debt & Equity Securities,5961,6788,8212,9103,11375,12546,8763,2981,4957,4631
8,Other Current Assets,42.37,13.47,18.67,21.77,51.68,56.65,19.89,27.34,43.59,51.36
9,Long-Term Deferred Tax Assets,-,1.01,2.73,2.6,2.35,55.01,21.83,10.88,10.04,10.76
10,Other Long-Term Assets,998.8,1418,1447,1457,1313,1006,2026,1472,2123,1961
11,Total Assets,17162,18211,23039,24662,29542,32662,30638,23360,22387,18730
12,Accounts Payable,691.29,315.89,187.23,565.45,842.53,224.12,938.33,612.65,1213,405.44
13,Accrued Expenses,113.75,278.05,86.64,242.5,95.39,205.9,133.77,204.57,71.03,139.6
14,Short-Term Debt,6.22,6.4,5.27,5.92,2777,12.48,785.21,34.14,31.49,2.94
15,Current Portion of Long-Term Debt,4953,5393,8826,11753,4564,7198,9458,12390,11199,4439
16,Current Portion of Leases,61.91,70,87.65,73.18,73.19,86.11,80.96,56.17,66.25,51.7
17,Other Current Liabilities,1264,952.24,1885,2045,595.22,2267,1236,797.91,919.56,758.53
18,Long-Term Debt,8005,8755,8836,6563,15721,14913,9569,1314,1860,6213
19,Long-Term Leases,47.33,75.17,101.21,100.28,157.19,159.3,174.51,56.44,41.18,25.02
20,Long-Term Deferred Tax Liabilities,6.02,12.62,3.49,14.87,-,51.48,125.76,45.79,-,-
21,Other Long-Term Liabilities,404.73,519,667.53,594.17,-,-,-,-,-,-
22,Total Liabilities,15584,16414,20751,21985,24933,25237,22555,15576,15492,12102
23,Common Stock,3942,3942,3942,3942,3942,3942,3942,3942,3942,3942
24,Retained Earnings,-1682,-1339,-242.74,130.48,1444,3251,3542,3420,2810,2779
25,Comprehensive Income & Other,-681.76,-806.56,-1412,-1396,-1407,-384.92,45.18,-55.07,-150.02,-193.07
26,Total Common Equity,1579,1797,2288,2677,3979,6808,7530,7307,6603,6528
27,Minority Interest,-,-,-,-,630.48,616.17,552.82,476.96,292.74,99.83
28,Shareholders' Equity,1579,1797,2288,2677,4609,7424,8082,7784,6895,6628
29,Total Liabilities & Equity,17162,18211,23039,24662,29542,32662,30638,23360,22387,18730
30,Total Debt,13073,14301,17857,18495,23292,22369,20067,13850,13198,10732
31,Net Cash (Debt),-6380,-7210,-8446,-8930,-11304,-9102,-7051,-1178,-3666,-3072
32,Net Cash Per Share,-2.33,-2.64,-3.09,-3.27,-4.13,-3.33,-2.58,-0.43,-1.34,-1.12
33,Filing Date Shares Outstanding,2734,2734,2734,2734,2734,2734,2734,2734,2734,2734
34,Total Common Shares Outstanding,2734,2734,2734,2734,2734,2734,2734,2734,2734,2734
35,Working Capital,2894,2717,1950,-887.11,7522,8646,6838,4584,1572,6153
36,Book Value Per Share,0.58,0.66,0.84,0.98,1.46,2.49,2.75,2.67,2.41,2.39
37,Tangible Book Value,1566,1784,2276,2670,3974,6803,7526,7304,6599,6525
38,Tangible Book Value Per Share,0.57,0.65,0.83,0.98,1.45,2.49,2.75,2.67,2.41,2.39
