,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,861,711,1039,1135,1531,2297,4949,5113,2816,2652,3035
1,Market Cap Growth,-37.35%,-37.35%,-32.14%,-50.60%,-69.06%,-55.08%,75.73%,92.78%,-7.21%,-26.52%,-25.50%
2,Last Close Price,0.32,0.26,0.38,0.41,0.56,0.79,1.70,1.61,0.89,0.83,0.87
3,PE Ratio,-,-,-,-,-,-,-,4.56,3.34,5.03,6.06
4,PS Ratio,-2.25,-2.25,-7.90,-3.15,-1.04,-2.79,3.97,2.36,1.49,1.96,2.58
5,PB Ratio,0.55,0.45,0.58,0.50,0.57,0.50,0.67,0.63,0.36,0.38,0.46
6,P/FCF Ratio,0.38,0.32,0.85,-,0.80,0.92,4.64,-3.43,-,-,-
7,P/OCF Ratio,0.31,0.31,0.83,-,0.77,0.91,4.57,-3.49,-,-,-
8,Debt / Equity Ratio,8.28,8.28,7.96,7.81,6.91,5.05,3.01,2.48,1.78,1.91,1.62
9,Debt / FCF Ratio,5.82,5.82,11.69,-,9.60,9.30,20.98,-13.47,-,-,-
10,Earnings Yield,-168.53%,-204.17%,-141.42%,-147.97%,-194.86%,-85.95%,5.30%,21.92%,29.94%,19.88%,16.49%
11,FCF Yield,260.68%,315.82%,117.68%,-27.64%,125.76%,109.01%,21.54%,-29.13%,-135.93%,-104.18%,-38.54%
