,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,4340,4185,3738,5297,5558,6256,7210,7886,7109,5947,8398,6645,10771,9096,12895,5519,-,-,-,-,-
1,Market Cap Growth,-33.10%,-33.10%,-48.15%,-32.82%,-21.82%,5.19%,-14.15%,18.68%,-34.00%,-34.62%,-34.87%,20.40%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4167,3855,3285,4806,5067,5593,6690,7398,6621,5430,7770,5826,9953,8317,11992,5364,-,-,-,-,-
3,Last Close Price,11.20,10.80,9.82,12.88,13.51,15.21,17.53,18.92,17.06,14.27,20.15,15.74,25.52,21.55,30.55,12.98,-,-,-,-,-
4,PE Ratio,23.58,20.40,18.92,22.57,23.45,24.54,28.55,32.94,32.16,26.71,35.50,26.59,41.03,34.25,49.37,21.65,-,-,-,-,-
5,Forward PE,18.29,16.40,14.32,17.20,18.77,20.08,23.18,24.83,21.55,17.74,25.57,20.86,31.71,28.65,41.75,27.42,-,-,-,-,-
6,PS Ratio,3.14,2.97,2.69,3.78,3.94,4.43,5.14,5.60,5.06,4.03,5.64,4.49,7.33,6.42,9.64,4.34,-,-,-,-,-
7,PB Ratio,2.60,2.50,2.33,3.01,3.26,3.35,3.98,4.41,4.11,3.58,5.21,4.04,6.71,5.91,8.76,3.74,-,-,-,-,-
8,P/TBV Ratio,2.72,2.72,2.54,3.25,3.54,3.62,4.31,4.78,4.47,3.89,5.70,4.40,7.34,6.50,9.61,3.95,-,-,-,-,-
9,P/FCF Ratio,16.98,16.37,17.40,35.47,26.14,27.84,73.27,76.98,103.64,-,178.32,-133.74,-,376.09,-,-,-,-,-,-,-
10,P/OCF Ratio,9.98,9.98,8.98,13.58,13.43,15.12,25.45,29.55,27.39,27.77,29.52,26.42,49.07,28.71,36.47,14.88,-,-,-,-,-
11,EV/Sales Ratio,2.96,2.74,2.36,3.43,3.59,3.96,4.77,5.26,4.72,3.68,5.21,3.94,6.77,5.87,8.96,4.21,-,-,-,-,-
12,EV/EBITDA Ratio,15.23,14.38,12.54,15.56,16.48,17.71,22.09,26.41,26.01,19.10,25.79,18.42,30.09,24.07,34.65,15.65,-,-,-,-,-
