,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,705.72,765.17,1057,1047,1145,1074,564.98,552.51,532.84,556.81,569.09,527.88,819.2,699.44,846.77,244.33,181.88,109.56,-,80.57
1,Short-Term Investments,-,134.08,-,-,-,172.88,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,51.83,10.14,40.58,20.44,30.17,30.03,30.52,30.52,40,40,60,70,-,80,60,-,6.26,12.83,-,2.07
3,Cash & Short-Term Investments,757.55,909.4,1098,1068,1175,1277,595.5,583.04,572.84,596.81,629.09,597.88,819.2,779.44,906.77,244.33,188.14,122.39,82.64,82.64
4,Cash Growth,-35.54%,-28.76%,84.32%,83.15%,105.15%,113.90%,-5.34%,-2.48%,-30.07%,-23.43%,-30.62%,144.70%,335.41%,536.87%,997.20%,195.64%,-,-,-,-
5,Accounts Receivable,0.45,2.29,0.83,0.44,1.3,0.49,0.48,0.78,1.19,0.24,1.7,1.06,1.05,1.52,1.16,0.81,1.3,0.9,-,1.16
6,Other Receivables,2.22,1.76,1.71,1.64,2.07,1.64,1.62,1.6,1.5,1.51,0.82,0.92,0.6,0.58,0.8,0.48,0.45,0.41,-,0.51
7,Receivables,2.66,4.05,2.54,2.08,3.36,2.13,2.1,2.38,2.69,1.74,2.52,1.98,1.65,2.1,1.96,1.29,1.75,1.31,-,1.67
8,Inventory,183.5,219.2,189.71,191.23,169.24,238.76,286.25,289.6,307.33,293.36,279.25,182.23,221.19,220.32,156.85,133.91,168.64,168.56,-,73.87
9,Other Current Assets,241.65,120.56,217.54,334.25,297.61,96.39,123.91,132.39,117.34,89.5,106.64,223.33,112.43,63.83,83.77,84.96,61.97,72.65,-,143.52
10,Total Current Assets,1185,1253,1507,1595,1645,1614,1008,1007,1000,981.41,1018,1005,1154,1066,1149,464.49,420.51,364.91,-,301.7
11,"Property, Plant & Equipment",1002,1019,997.55,1009,949.1,937.59,906.14,896.08,866.63,836.37,764.71,736.48,642.62,644.06,581.79,532.49,483.26,433.04,-,402.21
12,Other Intangible Assets,132.9,134.01,134.94,135.95,136.79,137.85,138.89,139.68,135.46,136.51,137.43,138.28,138.1,129.41,76.36,76.9,77.13,77.43,-,78.45
13,Long-Term Deferred Tax Assets,22.51,22.61,21.95,23.27,21.77,22.62,22.48,24.66,24.96,24.08,22.28,21.97,22.96,18.46,18.66,18.3,12.21,11.47,-,10.17
14,Long-Term Deferred Charges,3.26,1.08,1.11,1.14,0.89,-,-,-,-,-,-,-,-,-,-,0,0.15,0.36,-,0.79
15,Other Long-Term Assets,557.73,417.97,266.32,293.59,339.03,237.54,370,309.08,280.56,280.46,256.91,200.12,43.37,20.65,56.07,43.74,25.15,42.2,-,33.45
16,Total Assets,2904,2848,2929,3059,3093,2949,2445,2377,2308,2259,2199,2102,2002,1878,1882,1136,1018,929.4,-,826.77
17,Accounts Payable,350.08,375.29,294.31,335.86,286.46,294.46,330.97,302.82,274.17,295.32,282.18,213.58,194.48,208.39,204.35,169.51,143.15,130.34,-,133.82
18,Accrued Expenses,19.88,28.85,16.02,32.38,23.76,29.12,16.47,34.53,19.76,35.64,17.27,44.74,24.31,28.64,15.88,29.86,19.72,17.28,-,18.13
19,Short-Term Debt,-,-,69.39,200.27,120,55,75,75,85,80,-,-,-,-,4,33.44,33.44,53.21,-,3
20,Current Portion of Leases,0.36,0.39,0.23,0.47,0.28,0.49,-,0.43,0.19,0.36,-,-,-,-,-,-,-,-,-,-
21,Current Income Taxes Payable,36.08,21.48,31.62,29.95,56.57,32.58,57.43,50.48,64.21,39.94,51.37,37.74,61.13,31.78,48.48,32.6,17.54,24.61,-,33.14
22,Current Unearned Revenue,44.63,45.5,40.37,51.5,44.98,37.99,46.76,55.34,72.55,65.62,73.53,85.47,87.2,59.47,57.52,69.16,83.81,43.77,-,-
23,Other Current Liabilities,112.32,107.97,60.96,52.89,49.14,46.62,49.66,47.53,46.1,47.38,48.7,41.92,21.79,14.87,14.96,7.76,26.9,27.41,-,88.5
24,Total Current Liabilities,563.35,579.48,512.9,703.32,581.2,496.27,576.29,566.14,561.98,564.26,473.04,423.44,388.91,343.14,345.19,342.33,324.56,296.62,-,276.6
25,Long-Term Debt,583.51,578.41,573.59,568.35,563.14,557.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,Long-Term Leases,0.77,0.81,0.91,0.58,0.91,0.93,0.38,0.2,0.13,0.13,0.52,0.86,0.98,1.05,0.19,-,-,-,-,-
27,Long-Term Unearned Revenue,77.5,78.97,79.2,80.6,80.29,81.37,80.37,81.46,82.71,83.39,79.06,72.6,73.76,62.21,63.12,64.02,34.86,35.43,-,35.16
28,Long-Term Deferred Tax Liabilities,7.57,7.57,0.3,0.3,0.3,0.28,0.13,0.18,-,0.13,-,-,-,-,-,-,-,-,-,-
29,Total Liabilities,1233,1245,1167,1353,1226,1137,657.17,647.98,644.82,647.91,552.62,496.9,463.65,406.4,408.5,406.36,359.42,332.05,-,311.76
30,Common Stock,394.43,394.43,394.43,394.43,394.43,394.43,303.41,303.41,303.41,303.41,216.72,216.72,216.72,216.72,154.8,116.1,116.1,116.1,-,116.1
31,Additional Paid-In Capital,529.72,523.28,566.11,569.16,569.13,569.13,660.16,660.16,660.16,660.16,746.84,746.84,746.84,746.84,808.76,156.74,156.74,156.74,-,156.74
32,Retained Earnings,874.78,812.66,968.24,911.28,863.38,808.85,824.53,765.35,699.43,647.35,682.66,641.83,574.31,508.3,510.18,456.73,386.14,324.51,-,242.17
33,Treasury Stock,-156.95,-156.95,-206.62,-209.68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,Comprehensive Income & Other,29.56,29.56,40.22,40.22,40.22,40.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,Shareholders' Equity,1672,1603,1762,1705,1867,1813,1788,1729,1663,1611,1646,1605,1538,1472,1474,729.58,658.98,597.35,515.01,515.01
36,Total Liabilities & Equity,2904,2848,2929,3059,3093,2949,2445,2377,2308,2259,2199,2102,2002,1878,1882,1136,1018,929.4,-,826.77
37,Total Debt,584.64,579.61,644.13,769.67,684.33,614.36,75.38,75.63,85.32,80.5,0.52,0.86,0.98,1.05,4.19,33.44,33.44,53.21,3,3
38,Net Cash (Debt),172.9,329.78,453.5,298.18,490.87,662.2,520.12,507.4,487.52,516.31,628.57,597.02,818.23,778.38,902.58,210.89,154.71,69.18,79.64,79.64
39,Net Cash Growth,-64.78%,-50.20%,-12.81%,-41.24%,0.69%,28.26%,-17.25%,-15.01%,-40.42%,-33.67%,-30.36%,183.10%,428.89%,1025.22%,1033.32%,164.80%,-,-,-,-
40,Net Cash Per Share,0.42,0.72,1.11,0.66,1.26,1.67,1.32,1.32,1.22,1.34,1.54,1.11,2.08,2.98,2.51,0.70,0.52,0.24,0.26,0.27
41,Filing Date Shares Outstanding,387.49,387.49,380.67,380.67,394.43,394.43,394.43,394.43,394.43,394.43,394.43,394.43,394.43,394.43,394.43,394.43,295.82,295.82,304.13,295.82
42,Total Common Shares Outstanding,387.49,387.49,380.67,380.67,394.43,394.43,394.43,394.43,394.43,394.43,394.43,394.43,394.43,394.43,394.43,295.82,295.82,295.82,304.13,295.82
43,Working Capital,622.01,673.72,994.51,892.08,1064,1118,431.46,441.27,438.23,417.14,544.46,581.98,765.56,722.54,804.17,122.16,95.94,68.28,-,25.1
44,Book Value Per Share,4.31,4.14,4.63,4.48,4.73,4.60,4.53,4.38,4.22,4.08,4.17,4.07,3.90,3.73,3.74,2.47,2.23,2.02,1.74,1.74
45,Tangible Book Value,1539,1469,1627,1569,1730,1675,1649,1589,1528,1474,1509,1467,1400,1342,1397,652.67,581.85,519.92,436.55,436.55
46,Tangible Book Value Per Share,3.97,3.79,4.28,4.12,4.39,4.25,4.18,4.03,3.87,3.74,3.83,3.72,3.55,3.40,3.54,2.21,1.97,1.76,1.48,1.48
47,Buildings,-,618.18,-,21.52,-,445.69,-,17.65,-,363.1,-,362.82,-,276.54,-,275.88,269.91,200.53,-,193.55
48,Machinery,-,615.17,-,1230,-,594.98,-,912.91,-,473.19,-,466.57,-,341.61,-,311.07,298.32,254.72,-,247.95
49,Construction In Progress,-,142.43,-,88.95,-,187.96,-,222.4,-,227.91,-,103.57,-,194.33,-,93.86,48.43,107.32,-,74.27
