,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Operating Revenue,387.69,341.86,334.36,335.26,370.98,352.79,345.32,336.55,363.69,356.29,341.52,409.53,377.17,347.41,330.67,360.87,298.75,282.47,145.48,299.7
1,Other Revenue,-3.16,3.16,-,7.54,-2.85,2.85,-,5.51,-2.72,2.72,-,4.95,-2.07,2.07,-,-,-1.98,1.98,-,0.81
2,Revenue,384.53,345.02,334.36,342.8,368.13,355.64,345.32,342.05,360.97,359.01,341.52,414.48,375.1,349.48,330.67,360.87,296.77,284.45,145.48,300.51
3,Revenue Growth (YoY),4.45%,-2.99%,-3.17%,0.22%,1.99%,-0.94%,1.11%,-17.47%,-3.77%,2.73%,3.28%,14.86%,26.39%,22.86%,127.30%,20.08%,-,-,-,-
4,Cost of Revenue,227.06,212.79,206.68,225.62,236.68,224.59,218.89,220.64,245.51,247.15,234.47,275.29,238.52,223.16,205.43,226.88,183.28,178.81,94.21,171.86
5,Gross Profit,157.46,132.23,127.68,117.18,131.45,131.05,126.43,121.41,115.46,111.86,107.04,139.19,136.58,126.32,125.24,133.98,113.49,105.65,51.26,128.65
6,"Selling, General & Admin",84.26,85.74,57.76,68.42,66.61,43.66,55.66,52.91,59.15,55.66,64.92,62.23,56.17,50.33,58.74,44.4,36.14,29.51,32.78,46.07
7,Research & Development,4.49,5.04,4.04,5.44,5.11,4.65,4.13,3.41,4.47,4.69,2.86,5.17,4.43,2.57,1.99,3.55,2.13,2.45,1.28,6.38
8,Other Operating Expenses,-1.92,2.53,-3.51,35.82,-7.33,-7.62,-4.02,46.44,-5.48,-18.17,-9.22,19.93,-1.76,-16.05,-1.93,17.03,-3.62,-15.24,-1.73,4.4
9,Operating Expenses,86.95,93.36,58.3,109.68,64.46,40.7,55.76,102.76,58.15,42.16,58.57,87.33,58.82,36.87,58.82,64.95,34.68,16.64,32.41,56.87
10,Operating Income,70.51,38.87,69.38,7.51,66.99,90.35,70.67,18.65,57.31,69.7,48.48,51.85,77.77,89.45,66.42,69.04,78.81,89.01,18.85,71.79
11,Interest Expense,-0.28,-2.65,-1.57,-7.34,-5.44,-0.8,-0.07,-0.23,-0.97,-0.69,-0.53,-0.04,-0.01,-,-0.11,-0.34,-0.55,-1.1,-0.6,-0.01
12,Interest & Investment Income,6.39,0.89,13.2,15.25,9.78,8.36,6.15,7.64,7,9.06,5.41,7.82,8.49,7.67,4.56,1.22,0.78,0.45,0.25,1.25
13,Other Non Operating Income (Expenses),-1.27,0.36,-0.58,2.03,-1.41,-0.55,-0.36,-1.47,1.48,0.11,-0.46,2.1,-2.23,0.3,-0.37,-0.54,1.24,-0.2,-0.64,-0.94
14,EBT Excluding Unusual Items,75.35,37.46,80.43,17.44,69.93,97.35,76.38,24.59,64.82,78.18,52.9,61.73,84.01,97.41,70.5,69.37,80.29,88.15,17.86,72.09
15,Gain (Loss) on Sale of Investments,0.29,-0.44,0.14,0.27,0.14,-0.49,-,0.52,-,-,-,-,-,-,-,-,-,-,-,-
16,Gain (Loss) on Sale of Assets,-,0.01,0.02,-0.02,0.02,-0.01,0.01,-,0.24,-,-,-0,-,-,-,-1.41,0,-0.08,-,-0
17,Asset Writedown,4.66,-4.84,-,-0.02,-,-,-,-0.35,-0.02,-,-,-0.99,0.79,-0.8,-,-0.26,0.01,-0.01,-,-
18,Other Unusual Items,-2.4,17.19,-5.4,42.86,-,-,-,59.6,-0.01,0.01,-,25.51,-0.05,0.05,-,23.2,-0.04,0.04,-,8.19
19,Pretax Income,77.89,49.38,75.19,60.52,70.08,96.85,76.4,84.36,65.04,78.19,52.9,86.24,84.76,96.65,70.5,90.91,80.26,88.09,17.86,80.28
20,Income Tax Expense,15.77,11.22,18.23,12.62,15.55,21.52,17.2,18.45,12.96,15.98,12.06,18.72,18.76,21.13,17.06,20.31,18.63,18.89,4.73,18.3
21,Net Income,62.12,38.17,56.95,47.9,54.53,75.33,59.2,65.91,52.08,62.21,40.83,67.52,66.01,75.52,53.44,70.6,61.63,69.2,13.14,61.98
22,Net Income to Common,62.12,38.17,56.95,47.9,54.53,75.33,59.2,65.91,52.08,62.21,40.83,67.52,66.01,75.52,53.44,70.6,61.63,69.2,13.14,61.98
23,Net Income Growth,13.91%,-49.33%,-3.79%,-27.32%,4.70%,21.08%,44.97%,-2.39%,-21.10%,-17.62%,-23.59%,-4.35%,7.10%,9.14%,306.77%,13.89%,-,-,-,-
24,Shares Outstanding (Basic),387,413,380,398,390,397,395,386,401,384,408,537,393,261,360,300,296,284,304,299
