,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,1102,1101,1021,953.92,851.93,1044,998.28,866.51,686.82,785.55
1,Revenue Growth (YoY),7.89%,15.41%,19.90%,-8.64%,-14.66%,20.49%,45.35%,10.31%,32.57%,10.02%
2,Cost of Revenue,927.57,908.66,873.18,791.89,724.51,916.22,869.03,765.07,582.4,711.57
3,Gross Profit,174.48,192.24,148.31,162.02,127.42,127.88,129.25,101.44,104.42,73.98
4,"Selling, General & Admin",119.81,102.55,102.07,97.14,82.62,87.48,84.92,84.4,69.98,41.19
5,Operating Expenses,119.81,112.81,102.07,97.14,92.08,87.48,84.92,84.4,69.98,41.19
6,Operating Income,54.67,79.43,46.24,64.88,35.34,40.4,44.33,17.04,34.45,32.79
7,Interest Expense,-0.06,-0.31,-0.49,-0.8,-1.1,-1.48,-1.73,-0.06,-0.17,-0.22
8,Interest & Investment Income,9.47,10.28,5.93,2.61,0.02,0.03,0.01,0,0.04,-
9,Currency Exchange Gain (Loss),-,0.34,0.41,-,-,-,-,-,-,0.3
10,Other Non Operating Income (Expenses),0.01,0.51,0.2,-,-,0.21,-,-5.58,5.58,0.6
11,EBT Excluding Unusual Items,64.09,90.25,52.29,66.7,34.27,39.16,42.61,11.4,39.9,33.46
12,Gain (Loss) on Sale of Assets,-,-,-,0.02,-,-,-,-,-,-
13,Other Unusual Items,1.22,-,-,5.5,9.72,-,-,33.71,-,-
14,Pretax Income,65.31,90.25,52.29,72.22,43.98,39.16,42.61,45.11,39.9,33.46
15,Income Tax Expense,10.12,13.51,8.56,11.71,8.46,7.07,8,0.68,7.14,3.24
16,Net Income,55.2,76.74,43.73,60.5,35.52,32.09,34.61,44.43,32.75,30.23
17,Net Income to Common,55.2,76.74,43.73,60.5,35.52,32.09,34.61,44.43,32.75,30.23
18,Net Income Growth,26.22%,26.83%,23.11%,88.56%,2.64%,-27.78%,5.66%,46.99%,19.76%,12.86%
19,Shares Outstanding (Basic),1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
20,Shares Outstanding (Diluted),1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
21,EPS (Basic),0.04,0.05,0.03,0.04,0.02,0.02,0.02,0.03,0.02,0.02
22,EPS (Diluted),0.04,0.05,0.03,0.04,0.02,0.02,0.02,0.03,0.02,0.02
23,EPS Growth,26.22%,26.83%,23.11%,88.56%,2.64%,-27.78%,5.66%,46.99%,19.76%,12.86%
24,Free Cash Flow,160.87,126.69,58.09,222.23,113.17,124.6,49.23,110.9,10.83,11.56
25,Free Cash Flow Per Share,0.11,0.08,0.04,0.15,0.08,0.08,0.03,0.07,0.01,0.01
26,Operating Margin,4.96%,7.22%,4.53%,6.80%,4.15%,3.87%,4.44%,1.97%,5.02%,4.17%
27,Profit Margin,5.01%,6.97%,4.28%,6.34%,4.17%,3.07%,3.47%,5.13%,4.77%,3.85%
28,Free Cash Flow Margin,14.60%,11.51%,5.69%,23.30%,13.28%,11.93%,4.93%,12.80%,1.58%,1.47%
29,EBITDA,87.64,112.21,79.97,96.68,66.39,70.51,74.34,46.6,64.38,64.16
30,D&A For EBITDA,32.96,32.77,33.73,31.8,31.05,30.11,30.01,29.56,29.93,31.37
31,EBIT,54.67,79.43,46.24,64.88,35.34,40.4,44.33,17.04,34.45,32.79
