,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,886350,659512,607486,263273,455324,490140,482951,162286,424038,460433,364818,258943,378601,252121,137497,151417,136083,204294,112986,119617,Upgrade
1,Short-Term Investments,653103,907933,629641,1141916,936657,1002762,864434,853427,955927,783327,459327,618441,468441,689821,651143,778631,837830,565782,442890,485161,Upgrade
2,Cash & Short-Term Investments,1539453,1567445,1237127,1405189,1391981,1492901,1347386,1015713,1379964,1243759,824144,877384,847042,941942,788640,930048,973913,770076,555877,604778,Upgrade
3,Cash Growth,10.59%,4.99%,-8.18%,38.35%,0.87%,20.03%,63.49%,15.77%,62.92%,32.04%,4.50%,-5.66%,-13.03%,22.32%,41.87%,53.78%,14.64%,-4.03%,-17.08%,65.65%,Upgrade
4,Accounts Receivable,933900,947956,745771,364359,549665,699046,433564,223455,306948,773395,704998,489885,584062,557052,588307,429811,365831,550167,687963,419331,Upgrade
5,Other Receivables,16180,13708,16780,17095,11427,11951,16831,14154,5607,8571,5377,6527,5837,4767,5707,5676,4443,7280,4960,15918,Upgrade
6,Receivables,950080,961664,762551,381453,561091,710998,450395,237610,312554,781966,710375,496412,589899,561819,594014,435487,370274,557447,692923,435249,Upgrade
7,Inventory,645400,701676,1107040,887776,506531,595982,837258,1118944,603115,776681,1118679,917630,938431,865745,868884,690624,614973,545087,733874,732254,Upgrade
8,Prepaid Expenses,5739,7185,8216,9481,6909,6842,7562,8580,7827,9070,7266,7225,7575,7908,5885,4481,5394,6130,4269,4266,Upgrade
9,Other Current Assets,108943,173959,198373,72394,86082,58410,53048,62372,38333,74294,122127,94676,106421,150165,121950,57789,36690,63991,70986,65155,Upgrade
10,Total Current Assets,3249616,3411928,3313308,2756293,2552594,2865133,2695649,2443219,2341794,2885771,2782592,2393326,2489368,2527580,2379374,2118428,2001243,1942731,2057929,1841702,Upgrade
11,"Property, Plant & Equipment",1164400,828517,792734,829214,822545,814640,826491,852140,852986,806855,782582,778017,649657,563009,524649,531582,555889,565789,579848,568851,Upgrade
12,Long-Term Investments,31871,36494,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,83000,34000,12000,Upgrade
13,Other Intangible Assets,8469,8006,9601,9309,10743,10203,10046,9446,10470,9581,10600,9030,9291,9420,9058,10850,12982,12559,14447,16334,Upgrade
14,Other Long-Term Assets,66243,71706,77615,62196,67207,73044,79043,85116,88947,95840,95033,86973,54320,56061,58567,58581,57642,46188,46255,46952,Upgrade
15,Total Assets,4520600,4356651,4193258,3657011,3453089,3763020,3611230,3389921,3294196,3798047,3670807,3267346,3202637,3156070,2971648,2719441,2627755,2650267,2732479,2485839,Upgrade
16,Accounts Payable,192534,124993,196971,238010,124828,153376,130246,220796,241850,209405,266778,316423,220322,160887,173520,201206,145714,233483,176634,200261,Upgrade
17,Accrued Expenses,727375,642442,538715,378798,596731,543079,528372,336272,550690,645533,566550,411097,658014,574671,506443,362862,468950,493402,475728,359488,Upgrade
18,Short-Term Debt,776672,865649,935502,745126,24000,719781,688776,702618,-,692379,793636,660092,552060,669235,731028,548150,497137,444669,632052,495176,Upgrade
19,Current Portion of Long-Term Debt,36000,33000,30000,24000,502786,-,-,-,376478,-,-,-,-,-,-,-,-,-,-,-,Upgrade
20,Current Income Taxes Payable,80068,62017,33146,13261,38962,33989,24273,9364,32802,58035,25116,22359,25435,6095,17544,18632,10142,16573,18157,5557,Upgrade
21,Other Current Liabilities,47483,41294,43417,32232,48115,83104,53158,52349,67412,77208,40846,29837,72991,48660,48666,54271,63612,65535,66396,85056,Upgrade
22,Total Current Liabilities,1860133,1769396,1777750,1431428,1335421,1533330,1424825,1321399,1269232,1682559,1692926,1439808,1528822,1459546,1477201,1185122,1185555,1253662,1368968,1145538,Upgrade
23,Long-Term Debt,607523,442116,400182,301913,307913,313913,319913,340913,305913,266432,240134,239329,178413,83719,-,-,-,21004,31004,41004,Upgrade
24,Total Liabilities,2467656,2211512,2177932,1733342,1643334,1847243,1744738,1662312,1575145,1948991,1933060,1679137,1707236,1543265,1477201,1185122,1185555,1274666,1399971,1186542,Upgrade
25,Common Stock,750141,750141,750141,750141,750141,750141,750141,750141,750141,750141,750141,500094,500094,500094,500094,500094,500094,500094,500094,500094,Upgrade
26,Additional Paid-In Capital,-,-,-,7650,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
27,Retained Earnings,1035674,1147854,1027275,940900,896252,1004773,951477,873072,857191,977315,857402,1010418,919884,1036000,919734,959436,866552,798865,755102,721497,Upgrade
28,Comprehensive Income & Other,7650,7650,7650,-,-,-,-,1972,1972,1972,1972,1972,1972,1972,2147,2147,2088,2088,2252,2147,Upgrade
29,Total Common Equity,1793465,1905645,1785066,1698691,1646393,1754914,1701618,1625185,1609305,1729429,1609515,1512484,1421950,1538067,1421975,1461678,1368734,1301047,1257449,1223739,Upgrade
30,Minority Interest,259479,239495,230260,224979,163362,160864,164874,102424,109746,119627,128232,75725,73451,74738,72471,72641,73466,74554,75059,75559,Upgrade
31,Shareholders' Equity,2052944,2145139,2015326,1923670,1809755,1915778,1866492,1727609,1719051,1849056,1737747,1588209,1495401,1612804,1494446,1534319,1442200,1375601,1332508,1299297,Upgrade
32,Total Liabilities & Equity,4520600,4356651,4193258,3657011,3453089,3763020,3611230,3389921,3294196,3798047,3670807,3267346,3202637,3156070,2971648,2719441,2627755,2650267,2732479,2485839,Upgrade
33,Total Debt,1420195,1340765,1365684,1071039,834699,1033694,1008689,1043531,682391,958811,1033770,899421,730474,752954,731028,548150,497137,465672,663056,536179,Upgrade
34,Net Cash (Debt),119258,226680,-128556,334150,557282,459207,338697,-27818,697573,284949,-209625,-22037,116569,188988,57612,381898,476776,304403,-107179,68599,Upgrade
35,Net Cash Growth,-78.60%,-50.64%,-,-,-20.11%,61.15%,-,-,498.42%,50.78%,-,-,-75.55%,-37.92%,-,456.71%,33.59%,-25.36%,-,-,Upgrade
36,Net Cash Per Share,1589.81,3021.83,-1713.76,4454.49,7429.03,6121.61,4515.11,-370.84,9299.23,3798.60,-2794.48,-293.78,1553.96,2519.37,768.01,5091.02,6355.82,4057.95,-1428.79,914.48,Upgrade
37,Filing Date Shares Outstanding,75.01,75.01,75.01,75.01,75.01,75.01,75.01,75.01,75.01,75.01,75.01,75.01,75.01,75.01,75.01,75.01,75.01,75.01,75.01,75.01,Upgrade
38,Total Common Shares Outstanding,75.01,75.01,75.01,75.01,75.01,75.01,75.01,75.01,75.01,75.01,75.01,75.01,75.01,75.01,75.01,75.01,75.01,75.01,75.01,75.01,Upgrade
39,Working Capital,1389483,1642533,1535558,1324864,1217173,1331803,1270824,1121820,1072562,1203212,1089666,953518,960546,1068034,902172,933306,815687,689069,688962,696164,Upgrade
40,Book Value Per Share,23908.37,25403.82,23796.40,22644.96,21947.78,23394.45,22683.98,21665.06,21453.36,23054.72,21456.17,20162.66,18955.77,20503.70,18956.11,19485.37,18246.35,17344.03,16762.83,16313.45,Upgrade
41,Tangible Book Value,1784996,1897639,1775465,1689382,1635650,1744710,1691572,1615740,1598835,1719848,1598915,1503454,1412659,1528647,1412917,1450828,1355752,1288488,1243002,1207405,Upgrade
42,Tangible Book Value Per Share,23795.47,25297.10,23668.41,22520.86,21804.57,23258.43,22550.05,21539.14,21313.79,22927.00,21314.86,20042.29,18831.91,20378.13,18835.36,19340.73,18073.30,17176.60,16570.25,16095.70,Upgrade
43,Buildings,1351236,1348954,1348865,1348865,1348517,1347251,1330019,1299980,1295595,1029620,1029292,1031348,975975,960129,958098,956097,955810,941052,930849,929695,Upgrade
44,Machinery,792922,792661,791249,779644,746378,743698,742137,758690,737518,742833,719835,690119,597708,571200,569771,551445,545619,535864,528988,489832,Upgrade
45,Construction In Progress,473271,110566,45710,62949,59468,24541,24087,29795,21705,204217,169987,168066,159091,85310,18336,15184,14286,16148,15381,13970,Upgrade
