,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,1428376,1748465,1333138,770424,1156687,1206042,1541800,637379,1141350,1643311,1486149,1250148,1299418,1296412,1207039,944754,843640,1068188,962118,939463,Upgrade
1,Revenue Growth (YoY),23.49%,44.98%,-13.53%,20.87%,1.34%,-26.61%,3.74%,-49.02%,-12.16%,26.76%,23.12%,32.33%,54.03%,21.37%,25.46%,0.56%,-11.65%,-12.63%,-21.98%,-6.11%,Upgrade
2,Cost of Revenue,1141974,1482951,1150827,675143,996022,1076762,1342670,562471,967734,1397938,1266639,1059981,1051944,1068077,967891,729126,639345,838946,805880,778193,Upgrade
3,Gross Profit,286402,265513,182311,95282,160665,129279,199131,74908,173616,245373,219510,190167,247474,228335,239148,215629,204294,229242,156238,161270,Upgrade
4,"Selling, General & Admin",107814,103810,110627,66914,117074,89176,121751,49422,109730,131493,135832,93071,128916,99934,100691,114100,143688,187531,92542,89099,Upgrade
5,Operating Expenses,107814,103810,110627,66914,117074,89176,121751,49422,109730,131493,135832,93071,128916,99934,100691,114100,143688,187531,92542,89099,Upgrade
6,Operating Income,178588,161703,71684,28368,43590,40103,77380,25486,63886,113881,83678,97096,118558,128401,138456,101529,60606,41711,63696,72170,Upgrade
7,Interest Expense,-13646,-11326,-18650,-9741,-11037,-11993,-11731,-9822,-10125,-9759,-7572,-6449,-2394,-2961,-,-4679,-1883,-3952,-4810,-4538,Upgrade
8,Interest & Investment Income,63393,43010,45645,4312,34193,51638,24960,8430,20654,41456,8480,1854,18546,26299,869.47,7522,20520,12856,7568,7242,Upgrade
9,Earnings From Equity Investments,-4623,-4283,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
10,Currency Exchange Gain (Loss),-,-,-8032,39202,34076,-,12193,-2356,9563,-,23435,15481,-1614,-,9639,7707,2845,-,4762,3913,Upgrade
