,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,1116,1319,1884,1991,2006,2048,2110,1913,2005,571.87,-,572.4,-,-,-,743.83,743.83
1,Short-Term Investments,-,-,-,-,-,10.03,10.03,-,-,20,-,60,-,-,-,-,-
2,Trading Asset Securities,764.03,545.82,88.04,80.98,81.45,99.46,52.7,204.32,4.26,4.27,-,28.44,-,-,-,11.05,11.05
3,Cash & Short-Term Investments,1880,1865,1972,2072,2087,2158,2173,2117,2009,596.15,660.85,660.85,-,-,793.72,754.88,754.88
4,Cash Growth,-9.93%,-13.57%,-9.21%,-2.14%,3.90%,261.98%,228.76%,220.39%,-,-,-16.74%,-12.46%,-,-,-,-,-
5,Accounts Receivable,481.12,470.6,446.73,480.09,456.73,446.75,373.79,403.8,353.79,298.73,-,274.74,-,-,-,187.86,187.86
6,Other Receivables,36.27,38.92,34.63,32.74,38.5,35.43,29.95,34.21,34.83,35.07,-,30.18,-,-,-,29.73,29.73
7,Receivables,517.39,509.92,481.36,513.19,495.23,482.18,403.75,438.01,388.62,333.8,-,304.93,-,-,-,217.59,217.59
8,Inventory,353.27,375.22,384.04,372.71,338.3,329.84,329.07,348.28,376.6,424.34,-,424.25,-,-,-,335.35,335.35
9,Prepaid Expenses,-,1.94,-,0.4,-,1.69,-,1.21,-,1.24,-,1.52,-,-,-,1.36,1.36
10,Other Current Assets,81.23,59.34,74.47,65.83,57.26,47.25,57.75,57.64,93.15,102.7,-,88.01,-,-,-,64.42,64.42
11,Total Current Assets,2832,2812,2912,3024,2978,3019,2963,2962,2867,1458,-,1480,-,-,-,1374,1374
12,"Property, Plant & Equipment",757.7,722.19,670.91,647.82,595.7,583.25,559.32,554.07,519.3,510.9,-,491.05,-,-,-,293.66,293.66
13,Long-Term Investments,43.22,65.88,71.72,72.07,48.94,25.49,21.03,19.48,18.49,17.61,-,7.63,-,-,-,10.66,10.66
14,Goodwill,0.5,0.51,0.51,0.5,0.51,0.52,0.49,0.5,0.51,0.48,-,0.45,-,-,-,0.5,0.5
15,Other Intangible Assets,89.95,89.61,64.66,66.02,66,67.24,67.9,68.11,67.45,58.5,-,58.82,-,-,-,60.85,60.85
16,Long-Term Deferred Tax Assets,82,74.91,70.34,67.26,59.85,61.23,58.57,55.47,44.06,41.43,-,37.49,-,-,-,23.24,23.24
17,Long-Term Deferred Charges,7.45,6.99,3.74,3.77,2.24,2.97,3.16,3.06,3.41,4.15,-,3.84,-,-,-,4.63,4.63
18,Other Long-Term Assets,25.41,23.49,45.89,39.98,49.42,1.65,1.5,1.59,7.48,3.22,-,4.07,-,-,-,7.99,7.99
19,Total Assets,3841,3798,3843,3924,3801,3761,3675,3665,3528,2095,-,2083,-,-,-,1775,1775
20,Accounts Payable,285.14,319.81,324.36,367.66,328.4,297.55,289.98,294.29,252.52,378.37,-,436.16,-,-,-,369.74,369.74
21,Accrued Expenses,34.47,56.81,52.01,71.67,39.61,58.01,53.07,73.87,38.53,48.42,-,55.51,-,-,-,63.36,63.36
22,Short-Term Debt,-,-,-,-,9.86,9.86,9.86,9.86,-,-,-,-,-,-,-,10.56,10.56
23,Current Portion of Long-Term Debt,23.02,0.96,16.82,0.96,22.19,0.05,21.28,0.05,19.85,0.19,-,0.21,-,-,-,0.27,0.27
24,Current Portion of Leases,-,21.66,-,20.14,-,24.67,-,23.66,-,19.55,-,21.37,-,-,-,-,-
25,Current Income Taxes Payable,20.42,5.7,14.66,15.36,32.06,21.71,26.26,12.86,21.78,11.61,-,11.93,-,-,-,12.11,12.11
26,Current Unearned Revenue,77.61,70.47,80.01,65.33,57.51,68.26,52.57,58.84,58.7,55.16,-,60.77,-,-,-,61.9,61.9
27,Other Current Liabilities,57.3,50.1,55.16,51.69,55.42,62.29,50.64,47.44,68.87,56.68,-,61.44,-,-,-,44.03,44.03
28,Total Current Liabilities,497.96,525.52,543.02,592.81,545.05,542.39,503.66,520.87,460.25,569.99,-,647.39,-,-,-,561.98,561.98
29,Long-Term Debt,6.96,7.32,7.34,7.81,8.41,3.81,0.12,0.14,0.08,0.13,-,0.23,-,-,-,5.58,5.58
30,Long-Term Leases,30.8,22.89,19.8,19.71,19.13,22.05,28.03,28.26,26.21,22.85,-,22.68,-,-,-,0.16,0.16
31,Long-Term Unearned Revenue,1.72,1.76,1.81,1.85,1.9,1.95,1.99,2.04,0.58,0.61,-,0.69,-,-,-,1.04,1.04
32,Long-Term Deferred Tax Liabilities,12.94,11.7,10.06,10.33,8.87,9.52,9.43,12.05,2.83,2.89,-,3.15,-,-,-,4.52,4.52
33,Other Long-Term Liabilities,-,-,0.6,0.6,0.81,0.72,0.6,0.6,-,-,-,0.08,-,-,-,-,-
34,Total Liabilities,550.38,569.19,582.63,633.11,584.17,580.43,543.84,563.96,489.95,596.47,-,674.22,-,-,-,573.28,573.28
35,Common Stock,194.68,194.68,194.68,194.68,193.04,193.04,148.49,148.49,148.49,111.37,-,111.37,-,-,-,111.37,111.37
36,Additional Paid-In Capital,2086,2083,2080,2075,2047,2036,2071,2061,2057,636.36,-,636.36,-,-,-,636.36,636.36
37,Retained Earnings,1002,960.07,994.37,968.04,929.47,879.58,874.49,842.75,784.5,720.57,-,650.31,-,-,-,407.59,407.59
38,Treasury Stock,-59.68,-59.68,-59.68,-0.78,-,-,-,-,-,-,-,-,-,-,-,-,-
39,Comprehensive Income & Other,31.89,22.28,24.21,28,17.56,26.57,0.44,5.25,6.19,-11.5,-,-25.51,-,-,-,5.04,5.04
40,Total Common Equity,3255,3200,3233,3265,3187,3135,3095,3058,2996,1457,1373,1373,-,-,1216,1160,1160
41,Minority Interest,35.58,28.84,26.83,25.38,29.48,46,36.43,43.06,42.34,41.23,-,36.17,-,-,-,41.49,41.49
42,Shareholders' Equity,3291,3229,3260,3291,3217,3181,3131,3101,3038,1498,1409,1409,-,-,1261,1202,1202
43,Total Liabilities & Equity,3841,3798,3843,3924,3801,3761,3675,3665,3528,2095,-,2083,-,-,-,1775,1775
