,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 6, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,6213,5235,4326,5258,6444,6436,6907,7220,4786,4621,-,-,-,-,-,-,-,-
1,Market Cap Growth,-18.67%,-18.67%,-37.36%,-27.17%,34.64%,39.27%,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4429,3451,2425,3260,4446,4384,4830,5299,2865,4109,-,-,-,-,-,-,-,-
3,Last Close Price,32.01,27.20,22.48,26.49,32.46,32.69,35.09,36.42,24.15,23.31,-,-,-,-,-,-,-,-
4,PE Ratio,38.99,32.86,25.88,30.59,36.35,32.69,32.73,37.06,24.86,26.13,-,-,-,-,-,-,-,-
5,Forward PE,-,16.68,16.68,20.91,25.63,20.14,20.14,20.14,21.12,-,-,-,-,-,-,-,-,-
6,PS Ratio,3.18,2.70,2.23,2.67,3.27,3.29,3.58,3.82,2.49,2.35,-,-,-,-,-,-,-,-
7,PB Ratio,1.89,1.59,1.34,1.61,1.96,2.00,2.17,2.31,1.54,1.52,-,-,-,-,-,-,-,-
8,P/TBV Ratio,1.65,1.65,1.39,1.66,2.01,2.06,2.25,2.39,1.60,1.58,-,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-126.47,-,-,-,-,37.78,52.90,101.76,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,27.72,27.72,25.17,22.55,27.30,20.79,24.92,35.00,38.43,51.94,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,2.28,1.78,1.25,1.66,2.26,2.24,2.50,2.81,1.49,2.09,-,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,21.89,20.22,15.13,19.80,24.43,21.94,24.49,28.20,15.34,22.75,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,32.03,24.96,18.79,24.31,29.13,25.54,28.41,32.71,17.70,26.23,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,-107.00,-83.38,-,-,-,-,26.42,38.83,60.92,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,-,-,0.03,0.01,0.01
16,Debt / EBITDA Ratio,0.30,0.21,0.20,0.50,0.23,0.24,0.21,0.38,0.22,0.19,0.18,0.29,0.18,-,-,0.34,0.06,0.06
17,Debt / FCF Ratio,-,-1.47,-,-,-,-,0.33,0.43,1.32,-,-,-,0.85,-,-,-,-,-
18,Asset Turnover,0.53,0.53,0.41,0.55,0.53,0.57,0.44,0.57,0.68,-,-,-,-,-,-,0.90,-,
19,Inventory Turnover,2.80,2.77,2.73,2.13,2.89,3.05,3.47,2.44,3.04,2.64,-,-,-,-,-,-,2.50,-
20,Quick Ratio,4.81,4.81,4.52,4.52,4.36,4.74,4.87,5.12,4.91,5.21,1.63,-,1.49,-,-,-,1.73,1.73
21,Current Ratio,5.69,5.69,5.35,5.36,5.10,5.46,5.57,5.88,5.69,6.23,2.56,-,2.29,-,-,-,2.44,2.44
22,Return on Equity (ROE),5.96%,7.09%,3.34%,5.18%,6.86%,7.89%,4.82%,7.60%,12.32%,12.33%,8.90%,-,-,-,-,21.29%,-,
23,Return on Assets (ROA),4.23%,2.86%,0.89%,1.05%,3.66%,3.28%,2.20%,2.45%,4.77%,-,-,-,-,-,-,9.42%,-,
24,Return on Capital (ROIC),4.87%,3.32%,1.04%,1.23%,4.24%,3.79%,2.54%,2.83%,5.80%,6.80%,5.53%,-,-,-,-,13.72%,-,
25,Return on Capital Employed (ROCE),4.14%,4.14%,3.94%,4.06%,4.58%,5.27%,5.28%,5.11%,5.15%,5.11%,11.01%,-,12.76%,-,-,-,11.02%,5.51%
26,Earnings Yield,2.56%,3.04%,3.86%,3.27%,2.75%,3.06%,3.06%,2.70%,4.02%,3.83%,-,-,-,-,-,-,-,-
27,FCF Yield,-0.67%,-0.79%,-1.81%,0.05%,0.84%,2.85%,2.65%,1.89%,0.98%,0.31%,-,-,-,-,-,-,-,-
28,Dividend Yield,1.37%,-,-,-,1.39%,-,-,-,1.11%,-,-,-,-,-,-,-,-,-
29,Payout Ratio,54.59%,0.09%,165.65%,0.15%,0.62%,0.06%,91.17%,-,-,0.01%,0.02%,0.03%,0.39%,1.25%,-,-,-,-
30,Buyback Yield / Dilution,1.16%,0.46%,-1.55%,1.16%,4.40%,-2.17%,-32.26%,-35.61%,-40.05%,-31.72%,0.36%,-,-6.59%,-6.52%,-,-,-,-
31,Total Shareholder Return,2.54%,0.46%,-1.55%,1.16%,5.79%,-2.17%,-32.26%,-35.61%,-38.93%,-31.72%,0.36%,-,-6.59%,-6.52%,-,-,-,-
