,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,511.6,499.62,399.68,521.52,506.07,530.89,403.02,510.02,481.03,490.1,432.41,556.56,476.22,491.88,426.63,400.48,400.48
1,Other Revenue,-3.81,3.81,-,8.68,-3.27,3.27,-,5.01,-2.61,2.61,-,4,-1.58,1.58,-,0.61,0.61
2,Revenue,507.8,503.43,399.68,530.2,502.8,534.16,403.02,515.02,478.42,492.71,432.41,560.55,474.64,493.46,426.63,401.09,401.09
3,Revenue Growth (YoY),0.99%,-5.75%,-0.83%,2.95%,5.10%,8.41%,-6.80%,-8.12%,0.80%,-0.15%,1.35%,39.76%,18.34%,-,-,-,-
4,Cost of Revenue,252.62,258.71,201.12,257.12,254.33,285.97,206.94,275.43,264.49,286.53,246.04,346.37,266.3,540.31,-,209.53,209.53
5,Gross Profit,255.17,244.72,198.56,273.08,248.47,248.19,196.09,239.59,213.93,206.18,186.37,214.18,208.35,-46.85,426.63,191.56,191.56
6,"Selling, General & Admin",133.2,139.86,129.66,175.88,133.96,138.36,117.76,126.08,117.59,114.28,108.09,115.05,99.5,189.99,-,88.88,88.88
7,Research & Development,57.72,53.74,51.91,57.53,55.09,53.61,47.38,50.66,45.23,48.11,43.99,49.34,47.15,100.3,-,38.18,38.18
8,Other Operating Expenses,-2.36,5.25,4.65,20.89,2.55,4.04,-0.54,20.5,-3.02,0.47,2.4,16.93,-3.63,-401.48,400.35,1.04,1.04
9,Operating Expenses,190.6,201.05,184.75,256.84,193.17,199.44,163.78,204.29,160.26,165.44,154.22,184.07,143.43,-108.66,400.35,124.7,124.7
10,Operating Income,64.57,43.67,13.81,16.24,55.3,48.76,32.3,35.3,53.67,40.74,32.15,30.11,64.92,61.81,26.28,66.86,66.86
