,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Market Capitalization,229766,236946,196970,204150,182222,217346,217928,243156,255382,229766,290701,298463,319810,347948,438962,427124,375310,294388,248396,248396,319227,Upgrade
1,Market Cap Growth,9.02%,9.02%,-9.62%,-16.04%,-28.65%,-5.41%,-25.03%,-18.53%,-20.15%,-33.97%,-33.78%,-30.12%,-14.79%,18.19%,76.72%,71.95%,17.57%,-2.69%,4.98%,12.84%,98.21%,Upgrade
2,Last Close Price,11.84,11.95,9.94,9.61,8.58,10.23,10.26,11.17,11.73,10.56,13.12,13.47,14.44,15.71,19.82,19.13,16.81,13.19,11.13,10.94,14.06,Upgrade
3,PE Ratio,5.27,5.42,4.47,4.65,4.18,4.76,4.74,5.47,5.99,5.60,7.65,8.24,9.55,10.24,14.10,14.82,13.78,11.28,9.70,8.74,11.68,Upgrade
4,PS Ratio,2.28,2.35,1.91,1.96,1.72,2.00,1.95,2.20,2.35,2.16,2.84,2.97,3.31,3.64,4.82,4.93,4.47,3.68,3.15,3.03,4.02,Upgrade
5,PB Ratio,0.55,0.48,0.41,0.42,0.39,0.47,0.48,0.54,0.59,0.54,0.71,0.73,0.81,0.89,1.16,1.15,1.03,0.82,0.71,0.70,1.02,Upgrade
6,P/FCF Ratio,2.06,2.12,1.24,-,-,1.40,-,2.62,1.95,-,4.11,-8.00,-,-,-,-,-,-3.03,-,-3.15,-,Upgrade
7,P/OCF Ratio,2.08,2.08,1.22,-,-,1.38,-,2.52,1.90,-,3.94,-8.76,-,-,-,-,-,-3.14,-,-3.30,-,Upgrade
8,Debt / Equity Ratio,2.00,2.00,1.81,2.26,2.31,2.15,2.19,1.98,2.30,2.47,2.19,2.59,2.76,2.74,2.58,2.30,2.37,2.47,2.29,1.97,2.31,Upgrade
9,Debt / FCF Ratio,8.77,8.77,5.47,-,-,6.47,-,9.55,7.62,-,12.74,-28.17,-,-,-,-,-,-9.12,-,-8.81,-,Upgrade
10,Return on Equity (ROE),11.40%,9.05%,12.47%,5.82%,12.42%,9.60%,13.25%,8.24%,13.92%,9.03%,12.82%,7.34%,12.06%,7.95%,11.00%,7.23%,9.82%,5.83%,10.28%,6.09%,Upgrade,
11,Return on Assets (ROA),0.96%,0.76%,1.06%,0.49%,1.03%,0.79%,1.08%,0.67%,1.13%,0.72%,1.02%,0.59%,0.96%,0.64%,0.90%,0.59%,0.82%,0.49%,0.85%,0.48%,Upgrade,
12,Earnings Yield,19.02%,19.65%,23.83%,22.92%,25.49%,22.31%,22.40%,19.44%,17.82%,19.09%,14.05%,13.09%,11.36%,10.25%,7.48%,7.14%,7.71%,9.16%,10.66%,11.79%,8.83%,Upgrade
13,FCF Yield,48.59%,47.12%,80.81%,-20.09%,49.04%,71.18%,11.22%,38.19%,51.31%,9.78%,24.36%,-12.50%,-62.33%,-51.85%,-25.85%,-12.22%,-5.24%,-33.01%,-38.45%,-31.76%,-13.65%,Upgrade
14,Dividend Yield,4.15%,8.07%,-,-,8.38%,-,-,-,2.43%,-,-,-,1.58%,-,-,-,1.07%,-,-,-,1.55%,Upgrade
15,Payout Ratio,36.10%,-,127.46%,13.59%,-,-,-,13.90%,-,-,-,15.79%,-,-,-,20.03%,-,-,82.46%,10.22%,-,Upgrade
16,Buyback Yield / Dilution,-0.83%,0.06%,0.02%,-0.71%,-3.12%,-0.46%,0.52%,2.10%,-4.26%,-0.91%,-1.87%,4.88%,11.10%,0.64%,3.70%,-12.89%,26.32%,-10.82%,-19.17%,-3.32%,-56.19%,Upgrade
17,Total Shareholder Return,3.32%,8.13%,0.02%,-0.71%,5.26%,-0.46%,0.52%,2.10%,-1.83%,-0.91%,-1.87%,4.88%,12.68%,0.64%,3.70%,-12.89%,27.39%,-10.82%,-19.17%,-3.32%,-54.64%,Upgrade
