,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,1144,1212,1066,944.52,664.53,713.48,-
1,Short-Term Investments,-,54.68,-,-,71.63,-,-
2,Trading Asset Securities,171.6,-,150.41,258.11,1,-,-
3,Cash & Short-Term Investments,1316,1267,1217,1203,737.17,713.48,-
4,Cash Growth,8.14%,5.33%,65.06%,68.56%,-,-,-
5,Accounts Receivable,73.22,32.68,41.07,30.62,32.88,23.87,-
6,Other Receivables,2.28,4.41,-,7.29,-0.44,2.99,-
7,Receivables,75.5,37.09,41.07,37.9,32.44,26.86,-
8,Inventory,73.02,92.77,64.23,80.19,40.27,43.35,-
9,Restricted Cash,-,-,0.79,0.79,-,-,-
10,Other Current Assets,27.47,18.49,43.55,7.99,50.61,8.82,-
11,Total Current Assets,1492,1415,1366,1329,860.5,792.52,-
12,"Property, Plant & Equipment",116.74,110.03,111.12,97.54,88.29,83.02,-
13,Long-Term Investments,128.7,95.31,93.73,72.4,-,-,-
14,Goodwill,48.28,48.28,48.28,48.28,48.28,48.28,-
15,Other Intangible Assets,72.91,77.63,56.75,60.21,58.3,44.53,-
16,Long-Term Deferred Tax Assets,13.53,13.26,16.04,15.58,16.08,8.57,-
17,Long-Term Deferred Charges,241.26,204.1,172.74,144.4,103.35,92.03,-
18,Other Long-Term Assets,36.3,22.79,25.05,41.72,51.41,50.74,-
19,Total Assets,2149,1986,1890,1810,1226,1120,-
20,Accounts Payable,12.6,19.45,14.36,12.26,5.68,6.68,-
21,Accrued Expenses,17.33,9.3,12.24,13.14,14.36,12.31,-
22,Current Portion of Leases,-,1.34,1.81,1.79,1.99,2.14,-
23,Current Income Taxes Payable,15.98,6.7,7.54,13.83,12.8,6.76,-
24,Current Unearned Revenue,18.62,12.59,14.67,13.12,14.43,14.78,-
25,Other Current Liabilities,201.31,9.32,2.92,9.41,755.25,687.3,-
26,Total Current Liabilities,265.84,58.69,53.54,63.55,804.51,729.97,-
27,Long-Term Leases,2.68,1.1,2.1,1.54,4.29,4.04,-
28,Long-Term Unearned Revenue,-,-,-,-,0.15,0.48,-
29,Total Liabilities,268.52,59.79,55.64,65.09,808.95,734.5,-
30,Common Stock,346.75,346.75,346.75,346.75,324.3,324.3,-
31,Additional Paid-In Capital,1615,1632,-,1615,1058,1058,-
32,Retained Earnings,213.43,270.78,195.34,119.25,163.32,139.06,-
33,Treasury Stock,-,-,-,-,-671.51,-671.51,-
34,Comprehensive Income & Other,-294.25,-323.08,1292,-336.48,-456.57,-464.37,-
35,Shareholders' Equity,1881,1927,1834,1745,417.25,385.19,-
36,Total Liabilities & Equity,2149,1986,1890,1810,1226,1120,-
37,Total Debt,2.68,2.44,3.9,3.34,6.29,6.19,-
38,Net Cash (Debt),1313,1264,1213,1199,730.88,707.29,-
39,Net Cash Growth,8.26%,5.42%,65.94%,69.56%,-,-,-
40,Net Cash Per Share,3.79,3.65,3.50,3.63,2.25,2.18,-
41,Filing Date Shares Outstanding,346.75,346.75,346.75,346.75,324.29,324.29,283.13
42,Total Common Shares Outstanding,346.75,346.75,346.75,346.75,324.29,324.29,283.13
43,Working Capital,1226,1356,1313,1266,55.99,62.54,-
44,Book Value Per Share,5.42,5.56,5.29,5.03,1.29,1.19,-
45,Tangible Book Value,1760,1801,1729,1636,310.66,292.38,-
46,Tangible Book Value Per Share,5.07,5.19,4.99,4.72,0.96,0.90,-
47,Buildings,96.52,87.31,89.66,71.73,70.69,69.72,-
48,Machinery,58.61,57.46,53.95,52.29,39.45,32.56,-
49,Construction In Progress,0.21,-,-,-,-,-,-
