,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,6346,6651,9432,9328,9934,-,-,-
1,Market Cap Growth,-28.70%,-28.70%,-5.06%,-,-,-,-,-
2,Enterprise Value,4935,5258,8121,7972,9078,-,-,-
3,Last Close Price,18.30,19.18,26.27,25.98,27.67,-,-,-
4,PE Ratio,27.32,28.70,56.69,274.00,-,-,-,-
5,PS Ratio,14.45,15.13,26.24,29.85,35.48,-,-,-
6,PB Ratio,3.14,3.29,4.44,4.71,5.04,-,-,-
7,P/TBV Ratio,3.52,3.52,4.75,4.99,5.37,-,-,-
8,P/FCF Ratio,29.26,35.73,64.58,211.22,168.18,-,-,-
9,P/OCF Ratio,30.03,30.03,52.12,115.83,134.10,-,-,-
10,EV/Sales Ratio,11.24,11.96,22.59,25.51,32.42,-,-,-
11,EV/EBITDA Ratio,18.01,19.79,42.74,54.45,68.06,-,-,-
12,EV/EBIT Ratio,19.65,21.11,45.30,58.54,75.78,-,-,-
13,EV/FCF Ratio,22.75,28.25,55.61,180.51,153.69,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.02,0.02,-
15,Debt / FCF Ratio,0.01,0.02,0.02,0.10,0.06,0.09,0.07,-
16,Return on Capital Employed (ROCE),12.41%,12.31%,8.44%,6.86%,6.07%,21.24%,24.57%,-
17,Earnings Yield,3.66%,3.48%,1.76%,0.36%,-0.23%,-,-,-
18,FCF Yield,3.42%,2.80%,1.55%,0.47%,0.59%,-,-,-
19,Buyback Yield / Dilution,-2.35%,-,-4.82%,-6.92%,-1.91%,-14.54%,-,-
20,Total Shareholder Return,1.07%,-,-4.82%,-6.92%,-1.91%,-14.54%,-,-
