,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Operating Revenue,248.79,159.96,165.93,122.87,124.8,111.62,110.97
1,Other Revenue,0.31,-,0.42,-,-,-,-
2,Revenue,249.1,159.96,166.35,122.87,124.8,111.62,110.97
3,Revenue Growth (YoY),49.74%,30.19%,33.29%,10.08%,12.47%,-,-
4,Cost of Revenue,22.43,18.69,18.62,12.66,15.32,13.15,11.88
5,Gross Profit,226.67,141.27,147.73,110.2,109.48,98.46,99.08
6,"Selling, General & Admin",49.9,49.51,40.57,38.88,33.03,48.04,22.22
7,Research & Development,21.67,34.78,27.55,34.24,19.64,24.94,16.45
8,Other Operating Expenses,1.87,-22.46,2.34,-13.98,-3.76,-7.02,-3.76
9,Operating Expenses,80.52,55.58,70.71,61.19,52.52,65.86,35.94
10,Operating Income,146.15,85.69,77.02,49.01,56.96,32.6,63.15
11,Interest Expense,-0.09,-0.09,-0.1,-9.06,-10.7,-10.63,-0.91
12,Interest & Investment Income,15.33,3.41,11.41,-,6.45,7.63,0.22
13,Currency Exchange Gain (Loss),0.98,-3.01,-2.88,-55.42,-26.86,6.96,-1.77
14,Other Non Operating Income (Expenses),0.15,-0,1.25,0.5,-0.55,-0.03,1.5
15,EBT Excluding Unusual Items,162.54,86,86.7,-14.97,25.3,36.53,62.19
16,Gain (Loss) on Sale of Investments,1.6,-0.41,0.4,-4.93,0,-,-
17,Gain (Loss) on Sale of Assets,-,-,-,-,-,0,-0
18,Asset Writedown,-,0,-,-,-0,-0,-
19,Other Unusual Items,-,-,-,-20.44,-,-15.47,-17.22
20,Pretax Income,164.14,85.6,87.11,-40.34,25.31,21.06,44.97
21,Income Tax Expense,23.91,10.16,11.54,3.73,1.05,4.13,3.2
22,Net Income,140.23,75.44,75.57,-44.07,24.26,16.93,41.77
23,Net Income to Common,140.23,75.44,75.57,-44.07,24.26,16.93,41.77
24,Net Income Growth,85.56%,-,211.57%,-,-41.93%,-,-
25,Shares Outstanding (Basic),347,347,347,331,324,325,283
26,Shares Outstanding (Diluted),347,347,347,331,324,325,283
27,Shares Change (YoY),-,4.82%,6.92%,1.91%,14.54%,-,-
28,EPS (Basic),0.40,0.22,0.22,-0.13,0.07,0.05,0.15
29,EPS (Diluted),0.40,0.22,0.22,-0.13,0.07,0.05,0.15
30,EPS Growth,85.59%,-,191.34%,-,-49.30%,-,-
31,Free Cash Flow,72.49,100.73,31.82,9.05,43.2,27.13,55.7
32,Free Cash Flow Per Share,0.21,0.29,0.09,0.03,0.13,0.08,0.20
33,Operating Margin,58.67%,53.57%,46.30%,39.89%,45.64%,29.21%,56.90%
34,Profit Margin,56.29%,47.16%,45.43%,-35.87%,19.43%,15.17%,37.64%
35,Free Cash Flow Margin,29.10%,62.97%,19.13%,7.36%,34.62%,24.30%,50.19%
36,EBITDA,154.81,92.41,80.07,55.43,62.55,37.37,66.51
37,D&A For EBITDA,8.66,6.72,3.05,6.42,5.59,4.77,3.37
38,EBIT,146.15,85.69,77.02,49.01,56.96,32.6,63.15
39,Revenue as Reported,249.1,-,166.35,-,-,-,-
40,Advertising Expenses,1.59,-,0.97,-,-,-,-
