,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,1208,1171,1129,1100,821.42,781.57,827.35,832.82,696.29,-,160.19,204.02,-,258.12,-,227.79,117.4
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,255,-,260,-,110,120
2,Trading Asset Securities,102,152,170,200,477,460,445,455,-,-,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,1310,1323,1299,1300,1298,1242,1272,1288,696.29,-,160.19,459.02,-,518.12,337.79,337.79,237.4
4,Cash Growth,0.91%,6.57%,2.07%,0.91%,86.48%,-,694.30%,180.56%,-,-,-52.58%,35.89%,-,-,-,-,-
5,Accounts Receivable,114.86,174.63,302.76,177.63,169.18,109.23,235.89,175.07,200.09,-,226.46,173.01,-,169.8,-,151.82,90.45
6,Other Receivables,36.56,16.37,11.07,11.2,30.05,30.56,27.2,13.01,6.63,-,7.96,9.27,-,22.86,-,6.48,1.72
7,Receivables,151.42,191,313.82,188.83,199.22,139.79,263.09,188.07,206.72,-,234.42,182.28,-,192.66,-,158.3,92.17
8,Inventory,164.42,193.29,131.03,139.89,125.05,136.76,158.21,175.1,179.45,-,200.68,215.17,-,195.73,-,131.87,56.6
9,Other Current Assets,20.49,17.18,24.12,17.51,27.81,38.63,27.61,20.59,720.63,-,310.3,32.79,-,21.3,-,26.7,11.2
10,Total Current Assets,1647,1725,1768,1646,1651,1557,1721,1672,1803,-,905.59,889.26,-,927.81,-,654.67,397.36
11,"Property, Plant & Equipment",999.7,783.17,642.28,538.83,306.5,308.99,321.5,194.46,193.35,-,180.22,177.99,-,178.53,-,158.12,91.13
12,Goodwill,7.1,7.22,7.19,7.17,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,109.16,109.84,110.88,110.75,111.4,112.31,113.23,113.83,29.84,-,29.91,28.42,-,28.1,-,21.32,21.82
14,Long-Term Deferred Tax Assets,19.42,17.93,17.06,17.18,17.37,17.44,16.44,16.02,12.06,-,11.73,11.04,-,11.95,-,9.78,7.54
15,Long-Term Deferred Charges,-,-,-,-,-,-,-,-,-,-,-,0,-,0,-,0,0.08
16,Other Long-Term Assets,1.5,1.72,1.72,1.72,134.89,107.17,57.89,40.76,-,-,0.38,4.53,-,7.01,-,29.04,29.36
17,Total Assets,2783,2645,2547,2321,2221,2103,2230,2037,2038,-,1128,1111,-,1153,-,872.94,547.29
18,Accounts Payable,566.41,608.33,536.11,466.56,355.5,326.58,465.73,399.51,427.43,-,456.61,483.82,-,498.6,-,375.61,169.84
19,Accrued Expenses,27.34,29.24,23.74,26.24,24.05,29.87,22.69,26.96,16.77,-,15.3,16.13,-,57.5,-,45.84,17.11
20,Short-Term Debt,512.94,434.18,315.85,173.77,141.52,83.48,150,25.11,27.23,-,-,-,-,-,-,-,21.26
21,Current Portion of Long-Term Debt,2.95,1.89,3.25,1.85,5.14,1.84,2.54,1.77,2.18,-,2.04,1.58,-,1.57,-,26.87,-
22,Current Portion of Leases,-,1.81,-,1.42,-,1.64,-,0.74,-,-,-,0.42,-,-,-,-,0.41
23,Current Income Taxes Payable,33.67,27.56,26.79,19.91,13.02,12.28,3.95,0.54,4.31,-,8.06,-,-,9.74,-,3.57,2.33
24,Current Unearned Revenue,9.17,11.7,9.26,7.24,4.02,2.89,7.52,7.85,6.48,-,7.15,5.76,-,9.84,-,5.62,2.95
25,Other Current Liabilities,70.06,27.91,17.53,20.31,125.27,11.09,3.43,4.2,2.05,-,1.41,2.31,-,4.37,-,3.26,2.34
26,Total Current Liabilities,1223,1143,932.52,717.29,668.53,469.67,655.86,466.69,486.46,-,490.57,510.01,-,581.63,-,460.77,216.23
27,Long-Term Debt,52.07,53.42,53.65,54.01,53.45,56.02,53.71,54.88,56.39,-,51.19,51.81,-,53.27,-,-,-
28,Long-Term Leases,0.23,0.03,0.19,0.68,1.25,1.48,0.32,0.54,0.25,-,0.42,0.57,-,1.18,-,-,-
29,Long-Term Unearned Revenue,9.13,9.44,9.76,10.07,10.39,10.7,11.02,11.33,11.65,-,12.28,12.59,-,13.22,-,13.85,14.8
30,Long-Term Deferred Tax Liabilities,5.95,6.77,7.05,8.33,10.4,8.9,9.58,9.53,8.31,-,6.24,8.78,-,9.1,-,4.81,4.9
31,Other Long-Term Liabilities,52.02,29.8,46.79,37.45,45.78,45.78,42.16,43.43,46.97,-,39.91,38.27,-,38.91,-,28.75,15.98
32,Total Liabilities,1342,1242,1050,827.84,789.81,592.55,772.64,586.4,610.03,-,600.61,622.03,-,697.32,-,508.18,251.91
33,Common Stock,182.61,182.61,182.61,182.61,182.61,182.61,182.61,182.61,182.61,-,136.96,136.96,-,136.96,-,136.96,136.96
34,Additional Paid-In Capital,910.81,910.81,910.81,910.81,910.81,910.81,910.81,910.81,910.81,-,63.15,63.15,-,63.15,-,63.15,61.68
35,Retained Earnings,360.03,362.96,458.72,415.94,353.03,435.01,387.77,368.9,342.08,-,336.53,298.93,-,263.92,-,174.32,96.44
36,Treasury Stock,-30,-30,-30,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,Comprehensive Income & Other,18.06,-23.94,-25.36,-15.77,-15.57,-18.32,-23.52,-12.05,-7.18,-,-9.41,-9.83,-,-7.94,-,-9.66,0.32
38,Shareholders' Equity,1442,1402,1497,1494,1431,1510,1458,1450,1428,-,527.22,489.2,-,456.09,375.29,364.76,295.39
39,Total Liabilities & Equity,2783,2645,2547,2321,2221,2103,2230,2037,2038,-,1128,1111,-,1153,-,872.94,547.29
40,Total Debt,568.19,491.34,372.93,231.72,201.36,144.46,206.57,83.05,86.06,-,53.65,54.38,-,56.03,26.87,26.87,21.67
