,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,567.36,413.01,325.92,372.8,360.37,232.64,243.59,244.11,357.45,350.44,324.65,244.78,383.92,348.56,334.99,332.01,147.85
1,Other Revenue,-,-,-,6.72,-,-,-,7.11,-4.05,4.05,-,8.65,-6.37,-,-,4.06,2.73
2,Revenue,567.36,413.01,325.92,379.52,360.37,232.64,243.59,251.22,353.4,354.49,324.65,253.43,377.55,348.56,334.99,336.07,150.58
3,Revenue Growth (YoY),57.44%,77.53%,33.80%,51.07%,1.97%,-34.37%,-24.97%,-0.87%,-6.40%,1.70%,-3.09%,-24.59%,150.73%,-,-,-,-
4,Cost of Revenue,379.52,275.8,196.94,242.33,216.4,171.04,158.55,133.87,270.45,277.72,231.02,186.69,311.11,257.37,246.79,200.41,93.47
5,Gross Profit,187.84,137.21,128.98,137.19,143.97,61.6,85.04,117.34,82.95,76.77,93.63,66.74,66.44,91.19,88.19,135.66,57.11
6,"Selling, General & Admin",75.43,68.07,56.89,50.64,53.11,45.68,46.1,71.27,45.12,33.88,36.01,36.49,32.89,28.97,31.9,55.66,25.45
7,Research & Development,11.41,20.58,15,24.93,12.87,14.46,14.99,12.8,19.26,11.85,8.63,13.48,7.1,7.14,6.97,9.64,4.67
8,Other Operating Expenses,1.59,2.95,2.84,1.61,-2.13,4.47,1.09,11.59,-6.84,1.36,0.76,5.8,-2.74,1.29,-1.33,27.11,1.24
9,Operating Expenses,88.8,86.64,79.38,74.83,69.76,59.68,63.24,96.31,54.17,47.4,47.26,52.8,40.06,37.36,37.58,93.38,31.81
