,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,7294,4312,4385,3384,3636,3296,3373,3267,3090,3329,4832,-,-,-,-,-,-,-
1,Market Cap Growth,30.84%,30.84%,30.00%,3.58%,17.67%,-0.99%,-30.20%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,6552,3481,3459,2287,2539,2199,2307,2657,2479,3222,4725,-,-,-,-,-,-,-
3,Last Close Price,40.34,23.85,23.65,17.40,18.70,16.95,16.70,16.17,15.30,16.48,23.92,-,-,-,-,-,-,-
4,PE Ratio,31.23,18.37,21.30,17.02,20.79,21.75,23.50,22.88,19.16,22.08,40.64,-,-,-,-,-,-,-
5,Forward PE,25.09,17.57,19.44,17.27,22.63,21.49,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,4.35,2.56,2.97,2.61,2.99,3.03,3.12,2.72,2.41,2.59,3.69,-,-,-,-,-,-,-
7,PB Ratio,5.06,2.99,3.13,2.26,2.43,2.30,2.23,2.24,2.13,2.33,-,-,-,-,-,-,-,-
8,P/TBV Ratio,3.25,3.25,3.41,2.45,2.64,2.50,2.41,2.43,2.31,2.38,-,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,84.79,-,-357.60,-18.96,-,-,-,37.39,-321.81,-,-,-,-,-,-,-
10,P/OCF Ratio,9.90,9.90,10.76,12.03,14.12,23.25,24.51,18.24,21.70,30.59,763.02,-,-,-,-,-,-,-
11,EV/Sales Ratio,3.89,2.06,2.34,1.76,2.09,2.02,2.13,2.21,1.93,2.51,3.61,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,23.57,12.49,13.64,11.14,14.32,16.22,25.78,22.92,17.74,24.41,36.60,-,-,-,-,-,-,-
13,EV/EBIT Ratio,25.32,13.31,14.61,12.16,15.84,18.48,31.37,26.31,19.75,27.20,40.71,-,-,-,-,-,-,-
14,EV/FCF Ratio,-81.92,-,66.89,-,-249.70,-12.65,-,-,-,36.19,-314.72,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.39,0.39,0.35,0.25,0.16,0.14,0.10,0.14,0.06,0.06,-,0.10,0.11,-,0.12,0.07,0.07,0.07
16,Debt / EBITDA Ratio,2.04,1.38,2.13,1.73,0.85,0.64,4.15,2.01,0.81,0.67,-,0.27,0.78,-,0.25,0.13,0.15,0.19
17,Debt / FCF Ratio,-,-,9.50,-,-22.79,-1.16,-,-,-,0.97,-,-,-,-,0.54,1.86,-,-
18,Asset Turnover,0.84,0.64,0.54,0.67,0.67,0.43,0.46,0.49,-,-,1.16,-,-,-,-,-,-,
19,Inventory Turnover,7.56,8.49,6.80,5.82,7.32,6.61,4.64,3.81,3.02,-,-,4.44,-,-,-,-,-,-
20,Quick Ratio,1.20,1.20,1.33,1.73,2.07,2.24,2.94,2.34,3.16,1.86,-,0.80,1.26,-,1.22,-,1.08,1.52
21,Current Ratio,1.35,1.35,1.51,1.90,2.29,2.47,3.31,2.62,3.58,3.71,-,1.85,1.74,-,1.60,-,1.42,1.84
22,Return on Equity (ROE),24.61%,14.99%,11.45%,13.71%,15.95%,12.73%,5.19%,7.45%,-,-,29.43%,-,-,41.12%,41.30%,-,-,
23,Return on Assets (ROA),9.12%,4.87%,5.09%,6.86%,8.58%,0.22%,2.55%,2.58%,-,-,10.35%,-,-,-,-,-,-,
24,Return on Capital (ROIC),12.69%,6.72%,6.90%,9.29%,11.29%,0.29%,3.41%,3.45%,-,-,20.62%,-,-,29.44%,31.88%,-,-,
25,Return on Capital Employed (ROCE),16.58%,16.76%,15.76%,11.65%,9.99%,7.66%,4.50%,6.41%,8.00%,7.63%,-,22.05%,24.08%,-,30.08%,-,16.40%,7.64%
26,Earnings Yield,3.22%,5.44%,4.69%,5.87%,4.81%,4.60%,4.25%,4.37%,5.22%,4.53%,2.46%,-,-,-,-,-,-,-
27,FCF Yield,-1.10%,-1.85%,1.18%,0.06%,-0.28%,-5.27%,-5.16%,-3.36%,0.09%,2.67%,-0.31%,-,-,-,-,-,-,-
28,Dividend Yield,2.42%,-,5.62%,-,4.44%,-,-,-,4.58%,-,-,-,-,-,-,-,-,-
29,Payout Ratio,120.61%,41.03%,282.24%,4.79%,183.21%,80.02%,1.85%,3.54%,19.87%,-,210.56%,1.00%,2.49%,3.07%,0.55%,0.63%,0.12%,-
30,Buyback Yield / Dilution,0.83%,-0.02%,-24.34%,18.64%,2.32%,-0.03%,7.93%,-54.13%,-35.98%,-35.05%,-22.23%,0.00%,0.73%,2.70%,-,-,-,-
31,Total Shareholder Return,3.25%,-0.02%,-18.72%,18.64%,6.76%,-0.03%,7.93%,-54.13%,-31.41%,-35.05%,-22.23%,0.00%,0.73%,2.70%,-,-,-,-
