,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,74226,83669,71981,69405,93113,137358,126329,107176,48499,20964,23655,Upgrade
1,Market Cap Growth,20.55%,20.55%,-22.70%,-49.47%,-26.29%,28.16%,160.48%,411.24%,105.03%,-23.86%,-28.68%,Upgrade
2,Enterprise Value,23423,42313,23516,-2171,27067,101678,110348,106112,57553,23602,41167,Upgrade
3,Last Close Price,112.40,120.78,102.81,93.40,95.59,110.80,91.78,66.69,27.69,11.84,12.60,Upgrade
4,PE Ratio,3.71,9.99,6.74,1.63,1.20,1.75,2.27,3.82,6.93,2.06,2.25,Upgrade
5,Forward PE,6.74,8.00,7.25,4.46,2.28,2.30,2.92,4.15,13.46,24.35,7.48,Upgrade
6,PS Ratio,0.89,1.27,1.10,0.67,0.60,0.84,0.96,1.17,0.76,0.39,0.44,Upgrade
7,PB Ratio,0.72,0.90,0.82,0.77,0.89,1.33,1.68,1.79,1.11,0.56,0.62,Upgrade
8,P/TBV Ratio,0.90,0.90,0.82,0.77,0.89,1.33,1.68,1.79,1.11,0.56,0.62,Upgrade
9,P/FCF Ratio,4.90,-35.76,-,-,1.11,1.50,1.95,3.40,4.07,5.60,6.36,Upgrade
10,P/OCF Ratio,10.43,10.43,14.93,1.59,1.06,1.44,1.82,3.14,3.28,3.49,4.60,Upgrade
11,PEG Ratio,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,Upgrade
12,EV/Sales Ratio,0.28,0.64,0.36,-,0.18,0.62,0.84,1.16,0.91,0.43,0.77,Upgrade
13,EV/EBITDA Ratio,0.85,5.46,-,-,0.34,1.23,1.86,3.54,6.36,6.69,11.30,Upgrade
14,EV/EBIT Ratio,1.14,9.04,-,-,0.36,1.27,1.93,3.79,7.97,12.99,20.77,Upgrade
15,EV/FCF Ratio,1.55,-18.08,-,-,0.32,1.11,1.70,3.37,4.84,6.30,11.06,Upgrade
16,Debt / Equity Ratio,0.11,0.11,0.13,0.14,0.15,0.20,0.28,0.39,0.54,0.70,0.81,Upgrade
17,Debt / FCF Ratio,-,-4.36,-,-,0.19,0.22,0.32,0.74,2.00,7.06,8.35,Upgrade
18,Return on Capital Employed (ROCE),4.34%,4.34%,-,37.71%,61.49%,64.75%,58.30%,34.31%,10.79%,3.00%,3.02%,Upgrade
19,Earnings Yield,26.97%,10.01%,14.84%,61.31%,83.45%,57.02%,44.00%,26.17%,14.43%,48.50%,44.41%,Upgrade
20,FCF Yield,20.41%,-2.80%,-8.26%,48.97%,89.84%,66.65%,51.35%,29.37%,24.54%,17.86%,15.73%,Upgrade
21,Dividend Yield,13.49%,5.01%,6.34%,27.69%,49.27%,42.78%,37.13%,26.35%,15.44%,4.96%,5.78%,Upgrade
22,Buyback Yield / Dilution,-,-,-,-1.49%,-3.93%,-3.98%,-1.54%,-,-,-,Upgrade,
23,Total Shareholder Return,13.49%,5.01%,6.34%,27.69%,47.78%,38.85%,33.15%,24.81%,15.44%,4.96%,5.78%,Upgrade
