,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Market Capitalization,959725,1117107,916522,1098592,1376325,1391755,1373240,1280662,1382497,1592341,2231114,2718349,9104994,2431218,1854048,2024815,1424689,1317350,1197616,914846,1238276,Upgrade
1,Market Cap Growth,-19.73%,-19.73%,-33.26%,-14.22%,-0.45%,-12.60%,-38.45%,-52.89%,-84.82%,-34.50%,20.34%,34.25%,539.09%,84.55%,54.81%,121.33%,15.05%,25.93%,201.19%,189.76%,370.41%,Upgrade
2,Enterprise Value,759799,923893,720906,916323,1194057,1207447,1189765,1071288,1195773,1405616,1918824,2123446,8773223,2084692,1553586,1724354,1131172,1038856,929588,648550,998158,Upgrade
3,Last Close Price,31100.00,36200.00,29700.00,35082.56,43951.74,44444.48,43853.20,40896.80,44148.84,50850.00,71249.13,86806.62,290755.06,77637.51,59205.81,64658.98,45494.99,42067.29,38242.99,29213.39,39541.36,Upgrade
4,PE Ratio,55.91,63.59,36.57,43.61,54.26,57.46,27.35,25.11,-7.20,-8.55,-10.68,-,153.29,40.13,31.66,46.90,40.36,27.71,21.06,12.82,15.54,Upgrade
5,PS Ratio,7.06,8.23,6.96,8.21,10.98,10.34,12.32,10.36,6.97,8.59,13.20,13.98,61.54,14.02,10.97,15.73,12.20,8.50,6.34,3.87,4.82,Upgrade
6,PB Ratio,2.25,2.62,2.16,2.54,3.21,3.25,-,3.10,3.39,3.94,6.02,5.24,-,5.50,4.34,5.84,4.11,3.88,3.63,2.35,3.23,Upgrade
7,P/TBV Ratio,2.62,2.62,2.16,2.54,3.21,3.25,-,3.11,3.39,3.94,6.02,6.73,-,6.43,5.06,5.91,4.16,3.92,3.67,2.37,3.27,Upgrade
8,P/FCF Ratio,-,-97.84,-,-,-,-,-,-,16.69,49.97,-,-,-,-,28.94,39.87,-,20.14,44.29,16.49,24.12,Upgrade
9,P/OCF Ratio,-,-97.85,-,-,-,-,-,-,16.69,50.00,-,-,-,-,28.92,39.85,-,20.13,44.24,16.47,24.10,Upgrade
10,EV/Sales Ratio,5.59,6.81,5.47,6.85,9.52,8.97,10.67,8.67,6.03,7.58,11.35,10.92,59.30,12.02,9.20,13.39,9.69,6.70,4.92,2.75,3.89,Upgrade
11,EV/EBIT Ratio,21.72,23.60,25.11,39.14,86.32,164.03,78.36,37.11,21.93,22.49,31.52,30.13,147.14,35.31,27.66,49.24,48.31,26.45,17.94,9.38,11.96,Upgrade
12,EV/FCF Ratio,-66.54,-80.91,-,-,-,-,-,-,14.44,44.11,-,-,-,-,24.25,33.95,-,15.89,34.38,11.69,19.44,Upgrade
13,Debt / Equity Ratio,0.04,0.04,0.06,0.10,0.12,0.12,-,0.05,0.04,0.06,0.05,0.17,-,0.27,0.01,0.01,0.01,0.01,0.01,0.01,0.03,Upgrade
14,Debt / FCF Ratio,-,-1.52,-,-,-,-,-,-,0.20,0.78,-,-,-,-,0.03,0.05,-,0.05,0.12,0.06,0.22,Upgrade
15,Asset Turnover,0.46,0.13,-,-,-,-,0.09,-,0.32,0.21,-,-,0.17,-,-,0.35,0.20,0.18,0.26,0.71,Upgrade,
16,Inventory Turnover,0.39,0.94,0.15,-,-,-,-,0.22,-,0.60,0.37,-,-,0.52,-,-,0.92,0.44,0.40,0.71,1.36,Upgrade
17,Quick Ratio,1.56,1.56,1.42,1.41,-,1.49,-,1.96,1.99,1.80,1.55,2.20,-,1.96,2.61,-,2.10,2.15,2.27,4.69,3.86,Upgrade
18,Current Ratio,2.64,2.64,2.66,2.50,-,2.40,-,3.35,3.24,2.97,2.54,2.72,-,2.38,3.27,-,2.81,2.93,3.13,6.45,5.41,Upgrade
