,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,1263,1414,1453,1604,1181,1070,1160,1350,1120,1093,1078,1434,1288,-,-,1070,-,785.31,785.31
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8
2,Trading Asset Securities,152.31,15.95,51.74,136.56,100.3,100.7,100.35,100.75,100.37,140.88,206.64,165.08,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,1416,1430,1505,1741,1281,1171,1261,1450,1221,1234,1285,1599,1288,-,-,1070,793.31,793.31,793.31
4,Cash Growth,10.47%,22.10%,19.38%,20.00%,4.97%,-5.12%,-1.88%,-9.31%,-5.23%,-,-,49.45%,62.37%,-,-,-,-,-,-
5,Accounts Receivable,1178,1194,1060,1112,1070,1095,997.11,1050,898.45,808.19,744.7,789.42,677.88,-,-,730.66,-,748.71,748.71
6,Other Receivables,50.18,36.7,38.55,51.12,44.34,52.54,50.41,46.02,55.1,48.16,43,50.76,59.47,-,-,25.75,-,33.71,33.71
7,Receivables,1228,1231,1098,1163,1114,1148,1048,1096,953.55,856.36,787.71,840.18,737.35,-,-,756.41,-,782.42,782.42
8,Inventory,563.55,496.87,501.72,496.39,545.02,511.01,511.05,464.08,653.06,658.58,583.32,517.87,461.3,-,-,314.35,-,329.13,329.13
9,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.18,-,0.13,0.13
10,Other Current Assets,353.54,263.47,228.13,161.82,283.47,170.81,202.9,145.89,284.3,280.09,350.74,176.26,193.37,-,-,75.73,-,96.39,96.39
11,Total Current Assets,3561,3421,3333,3561,3224,3000,3022,3156,3112,3029,3007,3134,2680,-,-,2217,-,2001,2001
12,"Property, Plant & Equipment",327.13,334.44,345.74,350.01,351.61,359.48,359.51,358.84,340.69,341.76,343.54,343.44,259.11,-,-,237.01,-,199.46,199.46
13,Long-Term Investments,6.08,6.08,6.46,6.46,5.99,5.94,6.11,6.11,5.51,5.51,5.51,5.51,5.51,-,-,5.51,-,5.51,5.51
14,Goodwill,23.96,23.96,23.96,23.96,23.99,23.99,23.99,23.99,23.99,23.99,23.99,23.99,22.2,-,-,22.2,-,22.2,22.2
15,Other Intangible Assets,163.75,164.77,166.33,167.97,167.76,170.14,172.5,172.87,174.1,174.11,174.31,175.84,154.25,-,-,154.11,-,154.48,154.48
16,Long-Term Deferred Tax Assets,60.11,60.2,58.71,59.99,54.32,59.16,54.69,55.34,45.8,41.36,41.69,44.5,36.88,-,-,35.91,-,29.32,29.32
17,Long-Term Deferred Charges,0.67,0.95,0.04,0.06,0.1,0.13,0.18,0.21,0.24,0.36,0.48,0.51,3.52,-,-,4.49,-,4.97,4.97
18,Other Long-Term Assets,33.12,33.68,28.34,33.19,26.7,26.31,32.07,39,46.19,53.37,57.04,61.36,54.89,-,-,59.35,-,69.8,69.8
19,Total Assets,4176,4045,3963,4203,3854,3646,3671,3813,3748,3670,3653,3789,3216,-,-,2735,-,2487,2487
20,Accounts Payable,856.26,813.52,706.47,901.52,774.17,729.09,668.21,764.93,575.65,515.21,470.82,637.7,540.45,-,-,604.85,-,614.22,614.22
21,Accrued Expenses,107.52,97.71,87.48,196.47,107.82,101.11,86.74,207.74,113.86,129.46,77.22,200.24,75.41,-,-,158.21,-,55.44,55.44
22,Short-Term Debt,46.89,47.87,39.84,40.03,40.01,37.99,48.03,40.03,34.61,47.05,37.05,37.05,10,-,-,-,-,-,-
23,Current Portion of Long-Term Debt,-,-,-,20.09,23.69,20.09,-,-,-,-,26.18,20.03,-,-,-,-,-,-,-
24,Current Portion of Leases,5.31,7.02,28.07,9.13,-,5.55,5.7,3.54,3.57,4.29,-,8.43,-,-,-,-,-,-,-
25,Current Income Taxes Payable,10.17,9.29,21.74,20.04,13.5,4.15,22.71,27.18,35.02,13.33,40.58,0.88,6.08,-,-,20.62,-,10.43,10.43
26,Current Unearned Revenue,802.63,742.76,741.69,712.83,725,620.82,632.33,593.4,875.4,880.68,933.27,788.64,694.32,-,-,474.9,-,376.07,376.07
27,Other Current Liabilities,110.55,118,111.65,113.15,73.55,68.7,75.45,74.51,82.14,77.7,66.4,112.45,65.49,-,-,47.18,-,83.99,83.99
28,Total Current Liabilities,1939,1836,1737,2013,1758,1587,1539,1711,1720,1668,1652,1805,1392,-,-,1306,-,1140,1140
29,Long-Term Debt,-,-,-,-,-,-,20.14,20.14,20.14,20.08,-,-,-,-,-,-,-,-,-
30,Long-Term Leases,5.96,6.63,7.42,8.7,11.25,10.7,12.42,11.86,14.66,15.55,14.74,17.27,12.29,-,-,-,-,-,-
31,Long-Term Unearned Revenue,9.3,28.79,10.04,19.19,10.66,19.75,9.58,24.09,9.19,9.47,9.75,26.93,10.32,-,-,11.17,-,7.39,7.39
32,Long-Term Deferred Tax Liabilities,15.81,15.96,16.24,16.39,15.45,17.94,15.85,16.13,16.44,16.85,17.1,17.12,10.52,-,-,10.72,-,10.8,10.8
33,Other Long-Term Liabilities,25.81,9.6,17.5,4.77,31.37,8.57,20.81,9.2,26.96,24.99,13.79,4.21,13.42,-,-,14.73,-,27.5,27.5
34,Total Liabilities,1999,1900,1791,2065,1829,1647,1621,1795,1810,1757,1712,1876,1444,-,-,1348,-,1192,1192
35,Common Stock,512.27,512.27,512.27,512.27,512.27,512.27,512.27,512.27,512.27,512.27,512.27,512.27,512.27,-,-,410.31,-,410.31,410.31
