,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,452.37,521.43,358.16,972.52,418.63,571.55,427.01,1058,606.19,625.43,385.79,1019,428.81,472.49,224.8,866.86,307.26,423.37,423.37
1,Other Revenue,-14.72,14.72,-,24.75,-11.03,11.03,-,22.81,-11.4,11.4,-,24.7,-12.6,12.6,-,20.17,-10.55,5.28,5.28
2,Revenue,437.64,536.15,358.16,997.28,407.61,582.58,427.01,1081,594.79,636.83,385.79,1043,416.22,485.09,224.8,887.03,296.71,428.65,428.65
3,Revenue Growth (YoY),7.37%,-7.97%,-16.12%,-7.72%,-31.47%,-8.52%,10.68%,3.57%,42.90%,31.28%,71.62%,17.63%,40.28%,13.17%,-47.56%,-,-,-,-
4,Cost of Revenue,320.77,392.61,262.49,753.97,291.12,451.56,326.44,833.88,487.79,511.63,309.79,839.94,326.85,380.15,160.96,695.29,236.25,360.53,360.53
5,Gross Profit,116.88,143.54,95.67,243.31,116.49,131.02,100.57,246.84,107,125.2,76,203.51,89.36,104.94,63.84,191.74,60.47,68.12,68.12
6,"Selling, General & Admin",44.87,43.47,42.2,53.04,39.74,41.03,39.94,48.5,44.58,47.25,45,43.7,40.15,35.33,38.54,43.31,33.17,30.59,30.59
7,Research & Development,30.95,30.09,25.61,50.43,31.16,30.89,21.57,44.86,24.22,27.66,17.39,22.94,18.64,23.74,16.11,25.28,9.21,9.33,9.33
8,Other Operating Expenses,0.32,5.47,1.48,6.53,1.94,-1.49,1.65,12.94,2.05,-0.23,1.84,8.44,3.11,1.97,1.3,9.57,-1.26,1.96,1.96
9,Operating Expenses,67.96,98.19,58.37,142.62,66.29,91.34,59.03,176.35,79.48,55.52,64.23,110.67,61.87,74.75,44.89,89.33,58.58,48.15,48.15
10,Operating Income,48.91,45.36,37.29,100.69,50.2,39.68,41.54,70.49,27.52,69.68,11.77,92.84,27.5,30.19,18.95,102.41,1.88,19.96,19.96
11,Interest Expense,-1.33,-0.79,-0.65,-1.33,-0.84,-1.05,-0.85,-1.78,-0.27,-1.26,-0.71,-,-0.12,-0.25,-0.27,-,-,-,-
12,Interest & Investment Income,5.31,5.07,4.15,5.7,1.85,8.08,4,3.04,8.12,5.98,5.09,5.57,3.55,5,2.61,4.27,1.67,1.07,1.07
13,Currency Exchange Gain (Loss),-0.33,0.33,-,1.29,-0.54,0.54,-,1.58,-0.24,0.24,-,-0.85,0.76,-0.76,-,-1.37,-0.25,0.12,0.12
14,Other Non Operating Income (Expenses),1.81,-0.65,1.23,1.65,4.13,-2.4,1.01,-4.06,-1.84,1.31,-0.3,-6.43,-3.07,4.11,2.05,-5.3,3.52,-0.22,-0.22
15,EBT Excluding Unusual Items,54.38,49.31,42.02,107.99,54.78,44.86,45.7,69.27,33.29,75.96,15.85,91.13,28.62,38.28,23.33,100.01,6.82,20.94,20.94
16,Impairment of Goodwill,-,-,-,-0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Investments,0.46,0.02,0.18,0.26,0.3,0.35,0.35,1.86,-0.51,0.24,0.56,0.08,0.22,-0.22,-,-,-,-,-
18,Gain (Loss) on Sale of Assets,-0,-,0,-0.4,0.04,0.19,-,0.02,-,-0.01,0.19,-0.02,0.02,-0,0,0.11,-,-,-
19,Asset Writedown,-13.57,2.88,-2.75,19.8,-20.24,6.05,-6.06,9.38,-9.43,-20.93,20.95,4.68,-4.83,1.26,-1.26,1.04,-0.95,0,0
20,Legal Settlements,-2.28,2.28,-,-7.33,-,-,-,-4.43,-,-,-,-3.63,-,-,-,-4.07,-,-,-
21,Other Unusual Items,-3.61,3.61,-,7.16,-0.06,0.06,-,13,-0.07,0.07,-,13.95,-0.33,0.33,-,10.22,-5.63,2.82,2.82
22,Pretax Income,35.37,58.1,39.45,127.45,34.83,51.5,39.99,89.1,23.27,55.33,37.55,106.19,23.71,39.64,22.08,107.31,0.24,23.75,23.75
23,Income Tax Expense,3.58,9.22,6.48,12.23,8.55,2.28,6.41,10.11,-1.08,8.5,9.38,17.24,0.39,5.23,3.77,14.74,1.47,3.44,3.44
24,Earnings From Continuing Operations,31.79,48.88,32.97,115.22,26.28,49.22,33.58,78.99,24.36,46.83,28.17,88.95,23.32,34.41,18.3,92.57,-1.23,20.31,20.31
25,Minority Interest in Earnings,1.16,-0.74,1.38,-3.93,-2.06,-0.78,0.16,-6.16,-0.71,-3.16,0.4,-1.99,-0.62,-0.72,-0.17,-2.56,-0.95,0.3,0.3
26,Net Income,32.95,48.14,34.35,111.29,24.22,48.44,33.73,72.83,23.65,43.66,28.56,86.96,22.7,33.7,18.13,90.01,-2.18,20.62,20.62
27,Net Income to Common,32.95,48.14,34.35,111.29,24.22,48.44,33.73,72.83,23.65,43.66,28.56,86.96,22.7,33.7,18.13,90.01,-2.18,20.62,20.62
28,Net Income Growth,36.02%,-0.62%,1.84%,52.80%,2.42%,10.94%,18.10%,-16.25%,4.21%,29.58%,57.53%,-3.39%,-,63.44%,-12.05%,-,-,-,-
29,Shares Outstanding (Basic),475,540,491,553,493,545,482,531,482,556,476,504,445,344,453,494,347,412,412
30,Shares Outstanding (Diluted),475,540,491,553,493,545,482,531,482,556,476,504,445,344,453,494,347,412,412
31,Shares Change (YoY),-3.69%,-0.89%,1.84%,4.17%,2.23%,-1.89%,1.23%,5.44%,8.40%,61.53%,5.02%,2.00%,28.24%,-16.56%,9.94%,-,-,-,-
32,EPS (Basic),0.07,0.09,0.07,0.20,0.05,0.09,0.07,0.14,0.05,0.08,0.06,0.17,0.05,0.10,0.04,0.18,-0.01,0.05,0.05
33,EPS (Diluted),0.07,0.09,0.07,0.20,0.05,0.09,0.07,0.14,0.05,0.08,0.06,0.17,0.05,0.10,0.04,0.18,-0.01,0.05,0.05
34,EPS Growth,41.23%,0.27%,0%,46.69%,0.19%,13.07%,16.67%,-20.57%,-3.86%,-19.78%,50.00%,-5.28%,-,95.87%,-20.00%,-,-,-,-
35,Free Cash Flow,23.29,-58.03,-242.54,519.19,95.35,31.33,-233.78,266.54,-30.8,6.55,-158.49,308.2,40.33,-40.61,-102.13,256.68,26.71,-43.33,-43.33
36,Free Cash Flow Per Share,0.05,-0.11,-0.49,0.94,0.19,0.06,-0.49,0.50,-0.06,0.01,-0.33,0.61,0.09,-0.12,-0.23,0.52,0.08,-0.11,-0.11
