,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Operating Revenue,317.29,349.23,300.39,560.21,377.28,376.95,297.9,417.86,411.8,256.63,325.43,370.19,332.48,309.41,341.02,467.44,424.13,340.66,230.21,475.91
1,Other Revenue,-16.51,16.51,-,25.6,-7.13,7.13,-,17.12,-10.11,10.11,-,25.59,-11.25,11.25,-,23.9,-7.77,7.77,-,1.72
2,Revenue,300.78,365.74,300.39,585.81,370.15,384.08,297.9,434.98,401.69,266.74,325.43,395.78,321.23,320.66,341.02,491.35,416.36,348.42,230.21,477.63
3,Revenue Growth (YoY),-18.74%,-4.78%,0.84%,34.67%,-7.85%,43.99%,-8.46%,9.91%,25.05%,-16.82%,-4.57%,-19.45%,-22.85%,-7.97%,48.14%,2.87%,-,-,-,-
4,Cost of Revenue,245.6,286.14,240.83,480.36,296.57,320.67,247.25,383.87,309.61,233.11,255.67,326.45,243.66,258.66,259.25,417.11,300.89,271.72,168.42,360.18
5,Gross Profit,55.19,79.6,59.56,105.45,73.58,63.42,50.64,51.11,92.07,33.63,69.76,69.33,77.57,62,81.77,74.23,115.47,76.7,61.79,117.45
6,"Selling, General & Admin",44.76,38.32,34.97,49.75,31.79,28.52,28.66,40.1,32.91,27.94,31.29,34.26,30.45,30.24,33.49,29.59,42.36,32.06,27.79,62.24
7,Research & Development,20.79,24.77,17.43,20.07,19.8,19.35,21.38,23.38,23.62,18.41,17.97,19.62,15.22,15.57,14.6,19,13.32,10.97,11.72,21.65
8,Other Operating Expenses,-2.5,0.53,0.66,-4.53,2.26,1.12,1.11,9.95,1.46,-2.05,1.26,10.52,0.8,0.97,-1.19,11.51,-0.38,2.42,0.25,7.35
9,Operating Expenses,61.29,63.58,46.76,75.81,49.14,57.27,48.81,77.15,61.1,43.41,48.62,67.25,46.65,44.39,45.27,56.95,57.35,52.29,34.27,93.55
10,Operating Income,-6.1,16.02,12.8,29.63,24.44,6.14,1.83,-26.04,30.98,-9.78,21.14,2.07,30.92,17.62,36.5,17.29,58.12,24.41,27.53,23.91
11,Interest Expense,-0.67,-2.84,-6.41,-7.72,-4.14,-0.61,-0.58,-0.19,-0.44,-0.11,-0.52,-0.61,-0,-,-0.68,-2.46,-2.78,-3.05,-3.1,-3.49
12,Interest & Investment Income,1,3.77,6.36,10.34,1.02,1.23,1.35,1.95,2.13,1.31,1.55,3.85,2.54,1.8,2.03,0.92,0.81,1.51,0.34,1.45
13,Currency Exchange Gain (Loss),0.17,-0.17,-,1.45,-1.91,1.91,-,3.17,-1.75,1.75,-,-1.16,0.5,-0.5,-,-1.01,-0.4,0.4,-,0.14
14,Other Non Operating Income (Expenses),-0.68,-0.22,-0.24,-2.69,1.46,-0.06,-2.18,-6.17,3.54,0.12,1.86,0.75,-0.73,-1.87,1.27,-4.36,-1.34,5.59,-0.37,0.32
15,EBT Excluding Unusual Items,-6.29,16.56,12.51,31.02,20.88,8.61,0.42,-27.29,34.45,-6.7,24.03,4.91,33.23,17.05,39.11,10.37,54.42,28.86,24.4,22.31
16,Gain (Loss) on Sale of Investments,0.86,-,-,-0.14,0.08,0.02,-0.01,-0.63,-0.43,0.94,0.17,-1.35,0.26,1.09,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0.31,0,0.15,0.95,0.28,-0.05,0.05,-0.07,-0.22,0.14,0.01,-0.05,-0.12,-0.13,-0.01,-0.15,0.09,-0.1,-,-0.36
18,Asset Writedown,-7.98,2.54,-2.54,2.94,-6.59,0.09,-0.09,14.78,-14.78,3.35,-3.35,13.75,-13.75,4.23,-4.23,9.06,-9.06,3.16,-3.16,0.42
19,Other Unusual Items,-2.31,0.61,1.7,-0.89,-0.04,0.04,-,11.39,0.07,-0.07,-,10.65,-0.23,0.23,-,17.37,0,-0,-,8.83
20,Pretax Income,-16.02,19.71,11.82,33.88,14.61,8.72,0.37,-1.82,19.09,-2.36,20.87,27.92,19.38,22.48,34.88,36.66,45.44,31.92,21.24,31.2
21,Income Tax Expense,-2.13,0.77,0.31,1.95,2.02,0.58,-1.74,-9.88,0.53,-2.99,3.07,1.05,2.15,0.58,5.77,3.19,7.67,3.41,4.36,3.72
22,Earnings From Continuing Operations,-13.89,18.93,11.52,31.93,12.59,8.14,2.11,8.06,18.56,0.64,17.79,26.87,17.23,21.9,29.1,33.47,37.77,28.52,16.88,27.49
23,Minority Interest in Earnings,-,-,-,-,-,-,-,-,-,-,-,0.22,0.12,0.12,0.28,0.45,0.37,0.06,0.33,0.29
24,Net Income,-13.89,18.93,11.52,31.93,12.59,8.14,2.11,8.06,18.56,0.64,17.79,27.08,17.35,22.02,29.38,33.92,38.14,28.58,17.21,27.78
25,Net Income to Common,-13.89,18.93,11.52,31.93,12.59,8.14,2.11,8.06,18.56,0.64,17.79,27.08,17.35,22.02,29.38,33.92,38.14,28.58,17.21,27.78
26,Net Income Growth,-,132.71%,444.72%,296.05%,-32.15%,1180.26%,-88.12%,-70.23%,6.95%,-97.11%,-39.44%,-20.16%,-54.51%,-22.97%,70.67%,22.10%,-,-,-,-
27,Shares Outstanding (Basic),372,486,384,315,346,425,425,405,311,477,445,453,423,371,420,340,303,360,344,326
28,Shares Outstanding (Diluted),372,486,384,315,346,425,425,405,311,477,445,453,423,371,420,340,303,360,344,326
29,Shares Change (YoY),7.60%,14.42%,-9.65%,-22.33%,10.94%,-10.85%,-4.48%,-10.63%,-26.27%,28.46%,5.99%,33.47%,39.57%,2.97%,21.91%,4.13%,-,-,-,-
30,EPS (Basic),-0.04,0.04,0.03,0.10,0.04,0.02,0.00,0.02,0.06,0.00,0.04,0.06,0.04,0.06,0.07,0.10,0.13,0.08,0.05,0.09
31,EPS (Diluted),-0.04,0.04,0.03,0.10,0.04,0.02,0.00,0.02,0.06,0.00,0.04,0.06,0.04,0.06,0.07,0.10,0.13,0.08,0.05,0.09
