,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,5341,4061,3596,4515,5030,4882,4066,3769,3600,3388,3282,3549,3893,3583,3956,5233,-,-,-,-,-
1,Market Cap Growth,-16.82%,-16.82%,-11.57%,19.80%,39.72%,44.10%,23.90%,6.18%,-7.53%,-5.43%,-17.05%,-32.18%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,5157,3825,3328,4229,4744,4783,3909,3544,3343,3071,2927,3223,3567,3201,3531,5366,-,-,-,-,-
3,Last Close Price,12.73,9.69,8.58,10.55,11.76,11.41,9.50,8.81,8.42,7.92,7.60,8.22,9.12,8.39,9.27,12.15,-,-,-,-,-
4,PE Ratio,102.17,-,47.96,70.35,91.84,157.96,110.28,128.31,79.92,52.88,52.20,42.13,40.63,34.89,32.05,40.25,-,-,-,-,-
5,PS Ratio,3.19,2.62,2.22,2.75,3.07,3.28,2.68,2.69,2.52,2.44,2.51,2.60,2.82,2.43,2.52,3.28,-,-,-,-,-
6,PB Ratio,3.42,2.60,2.30,2.90,3.18,3.07,2.73,2.55,2.44,2.31,2.27,2.41,2.68,2.51,2.81,3.68,-,-,-,-,-
7,P/TBV Ratio,2.91,2.91,2.56,3.24,3.56,3.43,3.08,2.87,2.72,2.58,2.55,2.71,3.01,2.84,3.18,4.10,-,-,-,-,-
8,P/FCF Ratio,111.31,-,19.33,-,33.21,-163.83,-,-,-,-,-,-,-249.43,-,23.49,32.37,-,-,-,-,-
