,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,513.72,795.58,1016,1083,856.33,162.45,206.44,274.31,179.2,204.9,284.39,360.94,160.39,279.66,336.55,225,150.4,154.35,-,197.1
1,Trading Asset Securities,290.93,70,-,1.56,13.69,15.08,30.03,14.05,141.44,177.11,78.17,-,170.82,108.41,90,-,-,-,-,-
2,Cash & Short-Term Investments,804.65,865.58,1016,1084,870.02,177.53,236.47,288.35,320.64,382.01,362.56,360.94,331.21,388.07,426.55,225,150.4,154.35,197.1,197.1
3,Cash Growth,-7.51%,387.56%,329.58%,276.00%,171.34%,-53.53%,-34.78%,-20.11%,-3.19%,-1.56%,-15.00%,60.42%,120.22%,151.42%,116.41%,14.15%,-,-,-,-
4,Accounts Receivable,563.63,592.57,617.34,629.11,545.09,609.79,497.53,532.24,478.46,401.63,418.91,495.28,439.85,464.14,548.89,597.56,573.59,488.12,-,516.26
5,Other Receivables,3.57,4.89,2.17,2.72,5.15,4.84,4.93,3.1,3.48,2.78,3.34,2.25,3.24,2.15,1.14,1.14,1.07,1.76,-,1.17
6,Receivables,567.2,597.46,619.52,631.83,550.23,614.64,502.46,535.33,481.94,404.41,422.26,497.53,443.09,466.29,550.03,598.7,574.66,489.87,-,517.43
7,Inventory,265.32,223.29,265.25,232.86,319.87,277.53,318.67,348.26,381.45,340.34,342.55,319.83,297.87,281.35,287.57,262.54,270.17,257.95,-,271.92
8,Prepaid Expenses,-,-,-,-,-,1.8,-,1.15,-,4.66,-,4.1,-,3.97,-,1.71,1.44,1.56,-,1.48
9,Other Current Assets,92.66,44.44,48,25.16,45.19,52.43,67.28,45.98,63.13,58.38,59.21,39.91,41.57,35.84,48.32,21.11,39.6,38.59,-,31.05
10,Total Current Assets,1730,1731,1949,1974,1785,1124,1125,1219,1247,1190,1187,1222,1114,1176,1312,1109,1036,942.33,-,1019
11,"Property, Plant & Equipment",824.37,785.92,726.01,730.55,729.62,719.79,707.83,690.1,609.55,605.57,588.35,586.27,573.77,567.3,561,568.54,575.57,565.17,-,579.95
12,Long-Term Investments,-,-,-,-,-,-,-,-,-,1.7,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,164.49,163.36,164.51,165.9,167.29,168.16,169.37,153.18,154.16,155.54,159.47,158.32,162.23,163.71,145.91,147.44,144.97,146.31,-,148.99
14,Long-Term Deferred Tax Assets,17.91,13.49,9,11.11,21.58,23.78,20.5,20.69,13.1,12.94,11.24,12.51,11.7,11.16,10.52,11.31,12.13,12.76,-,13.49
15,Long-Term Deferred Charges,92.11,122.1,100.3,125.99,93.88,80.46,71.87,94.67,73.06,63.87,59.24,59.97,58.97,54.56,53.55,56.78,56.49,51.92,-,52.29
16,Other Long-Term Assets,53.3,24.3,44.65,21.99,40.61,42.67,43.91,39.29,65.26,57.35,56.47,54.86,49.89,46.32,28.14,23.6,28.6,31.38,-,29.03
17,Total Assets,2882,2840,2993,3030,2838,2159,2138,2217,2162,2087,2061,2094,1970,2019,2112,1917,1854,1750,-,1843
18,Accounts Payable,608.04,551.48,601.89,689.76,563.2,488.31,479.14,567.23,524.11,437.21,472.79,525.78,450.42,514.52,586.73,596.54,543.52,471.51,-,573.44
19,Accrued Expenses,11.59,21.22,13.87,51.01,15.52,28.14,14.91,40.81,28.4,36.58,20.35,53.44,29.08,38.3,19.92,60.97,32.65,31.97,-,51.99
20,Short-Term Debt,46.77,64.47,190.66,100.69,78.76,59.09,59,59.47,59.04,59.13,1,0.08,-,0.08,0.1,221.64,281.58,292.63,-,304.96
21,Current Portion of Leases,4.43,3.99,5.25,5.85,4.36,5.12,3.72,2.85,1.96,3.33,-,3.31,-,-,-,-,-,-,-,-
22,Current Income Taxes Payable,6.41,1.3,7.99,1.79,11.65,1.43,12.84,1.76,13.18,2.13,16.03,4.85,10.21,2.13,23.19,6.24,5.05,3.09,-,4.35
23,Current Unearned Revenue,15.18,8.18,6.84,6.74,10.96,10.41,7.31,5.79,6.74,7.38,9.61,8.64,7.89,6.62,15.66,11.48,6.22,5.43,-,-
24,Other Current Liabilities,20.93,21.07,27.23,27.61,30.33,29.3,32.27,31.47,29.16,58.53,28.03,6.16,5.93,6.09,5.27,2.96,2.05,1.88,-,12.29
