,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,2048,3458,4294,4760,6206,6071,7926,11461,6585,7594,5267
1,Market Cap Growth,-27.36%,-27.36%,-30.80%,-21.59%,-21.70%,-47.03%,20.36%,50.91%,25.03%,65.30%,1.16%
2,Enterprise Value,2100,3411,4228,4647,6137,6107,7673,11155,6197,7235,4669
3,Last Close Price,1.68,2.78,3.44,3.78,4.90,4.91,6.89,9.98,5.72,6.62,4.97
4,PE Ratio,33.22,54.89,69.27,-686.74,-,264.38,362.56,402.89,-1054.31,-,127.12
5,Forward PE,-,34.42,34.42,34.42,34.42,34.42,34.42,34.42,34.42,34.42,45.55
6,PS Ratio,1.10,1.82,2.23,2.64,3.58,4.12,7.12,11.95,9.41,13.24,9.14
7,PB Ratio,1.13,1.73,2.15,2.41,3.11,3.05,5.93,8.80,5.08,6.19,6.12
8,P/TBV Ratio,3.29,3.29,4.11,4.54,5.94,5.96,7.03,10.13,5.73,6.78,7.46
9,P/FCF Ratio,14.00,23.64,17.48,29.08,81.81,107.40,-,60.58,84.32,-,-
10,P/OCF Ratio,11.48,11.48,11.89,18.27,37.64,39.47,54.89,64.23,60.09,86.67,38.50
11,EV/Sales Ratio,1.11,1.80,2.20,2.58,3.54,4.15,6.90,11.63,8.86,12.62,8.10
12,EV/EBITDA Ratio,5.92,15.85,20.72,46.37,66.50,60.32,127.82,135.10,152.60,219.47,58.04
13,EV/EBIT Ratio,15.17,24.56,33.95,288.59,-,210.85,-,302.01,-2854.47,-,96.46
14,EV/FCF Ratio,14.35,23.31,17.21,28.38,80.90,108.02,-,58.96,79.35,-,-
15,Debt / Equity Ratio,0.20,0.20,0.18,0.20,0.23,0.23,0.35,0.20,0.19,0.15,0.20
16,Debt / FCF Ratio,2.74,2.74,1.48,2.42,5.96,7.96,-,1.36,3.14,-,-
17,Return on Capital Employed (ROCE),5.76%,5.76%,5.28%,0.69%,-,1.23%,-,2.48%,-0.15%,-,4.89%
18,Earnings Yield,3.08%,1.82%,1.44%,-0.15%,-0.35%,0.38%,0.28%,0.25%,-0.09%,-0.18%,0.79%
19,FCF Yield,7.14%,4.23%,5.72%,3.44%,1.22%,0.93%,0.33%,1.65%,1.19%,-1.35%,0.24%
20,Buyback Yield / Dilution,0.28%,1.57%,-1.03%,-2.54%,-7.61%,-6.78%,-0.56%,-8.16%,-5.39%,-0.58%,-1.66%
21,Total Shareholder Return,0.28%,1.57%,-1.03%,-2.54%,-7.61%,-6.78%,-0.56%,-8.16%,-5.39%,-0.58%,-1.66%
