,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,465.26,512.76,563.12,644.7,631.7,386.66,441,553.93,236.36,282.18
1,Short-Term Investments,33.74,32.91,11.46,31.33,-,-,73.36,-,338.73,253.68
2,Trading Asset Securities,13.37,11.75,20.97,22.48,31.7,55.7,-,-,-,-
3,Cash & Short-Term Investments,512.36,557.42,595.54,698.51,663.4,442.36,514.36,553.93,575.09,535.85
4,Cash Growth,-13.97%,-20.20%,-10.23%,57.90%,28.98%,-20.14%,-10.56%,3.37%,-20.35%,-26.82%
5,Accounts Receivable,52.96,53.37,48.39,47.13,33,17.98,32.45,14.75,12.41,11.23
6,Other Receivables,14.25,13.86,14.85,12.94,17.78,16.69,6.7,1.97,2.64,4.61
7,Receivables,90.66,67.23,63.24,60.07,50.78,34.67,39.15,16.72,15.05,15.83
8,Inventory,48.4,41.97,40.76,55.62,65.16,34.46,33.52,25.08,25.15,17.87
9,Prepaid Expenses,14.99,17.62,15.15,11.89,18.53,14.76,10.89,7.51,6.67,6.59
10,Other Current Assets,34.3,35.9,36.79,30.47,29.12,220.14,5.79,7.98,8.52,5.56
11,Total Current Assets,700.71,720.14,751.48,856.56,826.98,746.39,603.71,611.23,630.48,581.7
12,"Property, Plant & Equipment",1036,992.82,992.94,1058,1116,901.29,826.81,784.18,565.67,329.77
13,Long-Term Investments,177.7,176.33,119.56,116.13,72.98,77.39,54.26,54.5,55.73,2.2
14,Goodwill,520.78,530.43,524.27,540.68,534.55,194.97,160.28,138.52,97.71,99.5
15,Other Intangible Assets,264.4,271.76,268.34,280.71,290.3,8.99,7.96,6.41,5.97,51.5
16,Long-Term Deferred Tax Assets,6.32,6.82,5.41,6.94,4.62,10.97,3.92,3.13,4.7,5.01
17,Other Long-Term Assets,68.14,50.35,44.04,43.03,43.69,15.88,25.54,31.24,119.17,49.96
18,Total Assets,2774,2749,2706,2902,2889,1956,1682,1629,1479,1120
19,Accounts Payable,52.27,54.92,52.8,45.31,35.58,39.87,26.57,19.02,14.97,13.85
20,Accrued Expenses,106.02,125.81,116.42,107.32,100.11,64.37,55.78,44.34,30.22,33.77
21,Short-Term Debt,1.25,1.73,13.04,34.26,15.43,179.41,-,-,-,-
22,Current Portion of Long-Term Debt,7.55,7.61,-,-,-,-,-,-,-,-
23,Current Portion of Leases,102.45,107.2,113.09,115.08,136.37,86.07,73.29,67.59,50.44,43.24
24,Current Income Taxes Payable,27.5,23.97,28.65,18.85,25.86,8.54,9.93,5.44,7.42,12.28
25,Current Unearned Revenue,54.46,54.19,49.09,39.49,38.74,10.73,13.3,8.6,6.79,7.9
26,Other Current Liabilities,10.77,13.9,15.02,164.5,177.71,19.27,12.79,7.31,8.73,18.85
27,Total Current Liabilities,362.26,389.33,388.11,524.8,529.79,408.25,191.66,152.3,118.57,129.89
28,Long-Term Debt,12.07,13.8,21.09,21.22,7.48,7.6,7.18,-,-,-
29,Long-Term Leases,277.91,232.66,249.44,281.94,290.6,198.62,177.41,177.37,133.22,128.44
30,Long-Term Deferred Tax Liabilities,64.49,66.22,72.6,72.53,71.04,0.52,0.37,-,-,-
31,Other Long-Term Liabilities,56.6,53.34,1.63,2.97,2.62,3.66,2.73,2.3,-,-
32,Total Liabilities,773.33,755.35,732.88,903.45,901.52,618.63,379.35,331.98,251.79,258.33
33,Common Stock,125.56,125.56,126.66,126.66,123.65,115.03,114.84,114.73,114.37,105.13
34,Additional Paid-In Capital,1693,1693,1733,1733,1620,1087,1078,1072,1063,653.42
35,Retained Earnings,134.44,103.67,71.43,41.68,78.37,63.55,55.4,64.66,49.92,92.42
36,Treasury Stock,-79.32,-46.59,-33.91,-29.93,-,-,-,-,-,-
