,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,679.41,772.73,613.61,721.38,747.65,-,250.57,212.86,-,151.48,-,119.08,119.08,136,136
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,0.01,-,-,-,-,-
2,Trading Asset Securities,626.51,525.92,403.24,402.38,381.55,-,-,-,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,1306,1299,1017,1124,1129,-,250.57,212.86,-,151.49,119.08,119.08,119.08,136,136
4,Cash Growth,15.65%,-,305.82%,427.94%,-,-,110.43%,78.76%,-,11.38%,-12.45%,-,-,-,-
5,Accounts Receivable,435.7,438.58,423.36,399.54,395.24,-,342.67,390.04,-,276.04,-,310.12,267.44,262.14,262.14
6,Other Receivables,0.37,0.54,0.44,0.43,0.44,-,0.52,0.51,-,35.88,-,0.72,44.73,29.36,29.36
7,Receivables,436.08,439.11,423.8,399.97,395.69,-,343.19,390.55,-,311.93,-,310.84,312.28,291.63,291.63
8,Inventory,88.04,96.4,139.05,106.95,91.68,-,108.78,99.18,-,115.64,-,99.59,99.59,85.5,85.5
9,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01,0.01
10,Other Current Assets,12.98,9.51,320.81,307.59,356.48,-,21.93,13.06,-,11.92,-,19.01,17.56,25.49,25.49
11,Total Current Assets,1843,1844,1901,1938,1973,-,724.46,715.65,-,590.97,-,548.51,548.51,538.64,538.64
12,"Property, Plant & Equipment",475.5,412.33,261.87,203.59,177.32,-,170.05,173.73,-,184.13,-,170.26,170.26,136.36,136.36
13,Long-Term Investments,10.63,10.63,10.42,10.42,10.42,-,10.32,10.32,-,10.32,-,10.17,10.17,10.17,10.17
14,Other Intangible Assets,67.44,67.9,68.36,68.81,68.37,-,69.14,69.52,-,70.29,-,71.05,71.05,19.34,19.34
15,Long-Term Deferred Tax Assets,3.24,3.43,3.53,3.31,3.26,-,3.07,3.02,-,2.68,-,2.29,2.29,2.43,2.43
16,Long-Term Deferred Charges,-,0.09,0.34,0.6,0.85,-,1.36,1.12,-,-,-,-,-,-,-
17,Other Long-Term Assets,36.73,52.2,64.87,73.25,-,-,-,0.31,-,0.26,-,0.26,0.26,0.04,0.04
18,Total Assets,2437,2390,2310,2298,2233,-,978.39,973.67,-,858.66,-,802.55,802.55,706.98,706.98
19,Accounts Payable,87.89,99.81,33.17,46.53,38.57,-,35.52,40.87,-,48.05,-,44.63,44.63,25.08,25.08
20,Accrued Expenses,3.17,3.62,2.65,16.17,2.36,-,2.05,15.75,-,3.03,-,10.14,10.14,5.31,5.31
21,Short-Term Debt,-,-,28.03,-,34.08,-,25.51,13.32,-,50.52,-,63.06,63.06,70.07,70.07
22,Current Portion of Leases,0.12,0.12,0.13,0.13,-,-,-,-,-,-,-,-,-,-,-
23,Current Income Taxes Payable,2.12,3.33,5.48,6.24,14.38,-,5.42,4.81,-,5.61,-,9.53,9.53,6.73,6.73
24,Current Unearned Revenue,5.02,6.65,5.81,3.94,5,-,6.89,10.83,-,3.52,-,4.43,4.43,2.05,2.05
25,Other Current Liabilities,37.07,28.68,0.54,38.74,0.9,-,0.59,32.98,-,1.03,-,2.11,2.11,1.23,1.23
26,Total Current Liabilities,135.39,142.21,75.81,111.75,95.29,-,75.99,118.55,-,111.76,-,133.91,133.91,110.48,110.48
27,Long-Term Leases,0.14,0.13,-,-,-,-,-,-,-,-,-,-,-,-,-
28,Long-Term Unearned Revenue,8.32,8.53,8.64,8.76,8.87,-,9.1,9.22,-,9.45,-,9.68,9.68,9.91,9.91
29,Long-Term Deferred Tax Liabilities,8.85,8.98,9.05,9.22,9.19,-,8.82,9.08,-,2.29,-,2.33,2.33,2.41,2.41
30,Total Liabilities,152.7,159.86,93.5,129.74,113.35,-,93.91,136.85,-,123.5,-,145.92,145.92,122.79,122.79
31,Common Stock,279.2,279.2,192.55,192.55,192.55,-,144.41,144.41,-,144.41,-,144.41,144.41,144.41,144.41
32,Additional Paid-In Capital,1315,1314,1401,1400,1400,-,315.21,314.87,-,314.18,-,313.5,313.5,312.81,312.81
33,Retained Earnings,679.52,626.84,614.41,567.98,520.79,-,419.01,372.73,-,272.33,-,195.08,195.08,122.17,122.17
34,Comprehensive Income & Other,10.43,10,8.76,7.66,6.6,-,5.84,4.8,-,4.24,-,3.64,3.64,4.79,4.79
35,Shareholders' Equity,2284,2230,2216,2169,2120,-,884.48,836.82,-,735.16,656.63,656.63,656.63,584.19,584.19
36,Total Liabilities & Equity,2437,2390,2310,2298,2233,-,978.39,973.67,-,858.66,-,802.55,802.55,706.98,706.98
37,Total Debt,0.26,0.26,28.16,0.13,34.08,-,25.51,13.32,-,50.52,63.06,63.06,63.06,70.07,70.07
38,Net Cash (Debt),1306,1298,988.69,1124,1095,-,225.05,199.54,-,100.97,56.02,56.02,56.02,65.93,65.93
39,Net Cash Growth,19.23%,-,339.31%,463.11%,-,-,301.77%,256.22%,-,53.13%,-15.04%,-,-,-,-
40,Net Cash Per Share,4.71,4.69,3.52,3.93,3.98,-,1.07,0.95,-,0.47,0.27,0.26,0.26,0.31,0.31
41,Filing Date Shares Outstanding,279.2,279.2,279.2,279.2,279.2,255.92,209.39,209.39,206.3,209.39,208.94,209.39,209.39,209.39,209.39
42,Total Common Shares Outstanding,279.2,279.2,279.2,279.2,279.2,255.92,209.39,209.39,206.3,209.39,208.94,209.39,209.39,209.39,209.39
43,Working Capital,1708,1701,1825,1827,1878,-,648.47,597.1,-,479.22,-,414.6,414.6,428.16,428.16
44,Book Value Per Share,8.18,7.99,7.94,7.77,7.59,-,4.22,4.00,-,3.51,3.14,3.14,3.14,2.79,2.79
45,Tangible Book Value,2216,2162,2148,2100,2052,-,815.34,767.3,-,664.87,585.58,585.58,585.58,564.84,564.84
46,Tangible Book Value Per Share,7.94,7.75,7.69,7.52,7.35,-,3.89,3.66,-,3.18,2.80,2.80,2.80,2.70,2.70
47,Buildings,-,46.42,-,46.42,-,-,-,46.28,-,-,-,38.13,-,36.41,36.41
48,Machinery,-,263.27,-,274.67,-,-,-,269.29,-,-,-,189.45,-,188.7,188.7
49,Construction In Progress,-,268.21,-,51.31,-,-,-,2.9,-,-,-,69.33,-,27.2,27.2
