,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,268.34,298.36,242.95,272.48,247.01,261.22,237.1,265.33,255.27,227.54,215.03,202.74,202.74,175.94,175.94
1,Other Revenue,-1.13,1.13,-,1.2,-0.39,0.39,-,0.98,-12.23,-,-,0.32,0.32,0.17,0.17
2,Revenue,267.21,299.49,242.95,273.67,246.62,261.61,237.1,266.31,243.04,227.54,215.03,203.07,203.07,176.11,176.11
3,Revenue Growth (YoY),8.35%,14.48%,2.46%,2.77%,1.48%,14.97%,10.26%,31.14%,19.68%,29.20%,22.10%,-,-,-,-
4,Cost of Revenue,189.78,214.43,172.64,199.24,168.17,168.05,161.91,183.78,174.88,165.77,144.39,144.43,144.43,121.11,121.11
5,Gross Profit,77.44,85.06,70.31,74.43,78.45,93.56,75.19,82.53,68.16,61.77,70.64,58.63,58.63,55,55
6,"Selling, General & Admin",12.88,11.57,10.52,19.1,10.09,14.34,10.3,17.04,9.32,7.38,9.23,11.68,11.68,8.76,8.76
7,Research & Development,11.8,12.02,12.13,11.52,8.21,12.24,9.23,3.79,14.09,9.91,3.78,3.13,3.13,1.75,1.75
8,Other Operating Expenses,-0.12,0.38,0.94,-0.64,1.69,1.14,1.2,2.49,1.5,0.9,0.93,1.14,1.14,0.94,0.94
9,Operating Expenses,23.06,26,24.64,30.12,19.87,29.09,20.79,23.45,25.32,16.28,15.84,15.39,15.39,11.52,11.52
10,Operating Income,54.38,59.06,45.67,44.32,58.58,64.47,54.4,59.08,42.84,45.5,54.8,43.24,43.24,43.48,43.48
11,Interest Expense,-0.01,-,-0,-,-0,-,-0.03,-0.16,-0.16,-,-0.2,-0.13,-0.13,-0.28,-0.28
12,Interest & Investment Income,5.26,9.53,6.46,6.75,7.08,4.23,0.31,0.29,0.16,0.36,0.03,0.03,0.03,0.11,0.11
13,Currency Exchange Gain (Loss),-1.38,1.38,-,2.85,-3.63,3.63,-,9.93,-6.36,-,-,-0.93,-0.93,-0.43,-0.43
14,Other Non Operating Income (Expenses),0.42,-0.24,-0.09,-3.03,3.27,1.19,-1.48,-10.83,22.4,4.51,-0.74,0.08,0.08,-0.33,-0.33
15,EBT Excluding Unusual Items,58.68,69.73,52.04,50.87,65.3,73.53,53.21,58.32,58.89,50.37,53.88,42.28,42.28,42.55,42.55
16,Gain (Loss) on Sale of Investments,0.59,-2.32,0.86,0.83,0.91,0.63,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-1.18,-0.09,-,0.15,-0.28,-0,-,-0.15,-0.04,-0.05,-,-0.03,-0.03,-0.01,-0.01
18,Asset Writedown,-0.08,-,-,0.67,-0.67,-,-,0,-0.08,-,-0,-0,-0,0,0
19,Legal Settlements,0,-0,-,-0.03,-,-,-,-,-,-,-,-,-,-,-
20,Other Unusual Items,0.15,-0.13,-0.02,0.78,-0.18,0.18,-,0.4,-0.61,-,-,0.17,0.17,-0.72,-0.72
21,Pretax Income,58.16,67.19,52.88,53.28,65.08,74.34,53.21,58.57,58.15,50.32,53.88,42.42,42.42,41.82,41.82
22,Income Tax Expense,5.48,10.48,6.44,6.09,9.12,11.2,6.93,9.5,6.82,6.18,7.76,5.97,5.97,6.45,6.45
23,Net Income,52.68,56.71,46.43,47.19,55.96,63.14,46.28,49.07,51.33,44.13,46.11,36.45,36.45,35.36,35.36
24,Net Income to Common,52.68,56.71,46.43,47.19,55.96,63.14,46.28,49.07,51.33,44.13,46.11,36.45,36.45,35.36,35.36
25,Net Income Growth,-5.87%,-10.18%,0.34%,-3.83%,9.02%,43.06%,0.36%,34.62%,40.82%,24.80%,30.39%,-,-,-,-
26,Shares Outstanding (Basic),277,277,281,286,275,256,210,209,206,213,209,211,211,209,209
27,Shares Outstanding (Diluted),277,277,281,286,275,256,210,209,206,213,209,211,211,209,209
28,Shares Change (YoY),0.85%,8.23%,33.80%,36.52%,33.26%,20.05%,0.36%,-0.97%,-2.42%,1.84%,-0.18%,-,-,-,-
29,EPS (Basic),0.19,0.20,0.17,0.17,0.20,0.25,0.22,0.23,0.25,0.21,0.22,0.17,0.17,0.17,0.17
30,EPS (Diluted),0.19,0.20,0.17,0.17,0.20,0.25,0.22,0.23,0.25,0.21,0.22,0.17,0.17,0.17,0.17
31,EPS Growth,-6.66%,-17.01%,-25.01%,-29.56%,-18.19%,19.17%,0%,35.94%,44.31%,22.54%,30.63%,-,-,-,-
32,Free Cash Flow,3.69,12.02,-111.92,-7.44,-15.21,69.51,51.24,25.37,35.52,39.6,3.26,-3.95,-3.95,26.06,26.06
33,Free Cash Flow Per Share,0.01,0.04,-0.40,-0.03,-0.06,0.27,0.24,0.12,0.17,0.19,0.02,-0.02,-0.02,0.12,0.12
34,Dividend Per Share,-,-,-,0.159,-,-,-,0.062,-,-,-,0.062,-,-,-
35,Dividend Growth,-,-,-,155.39%,-,-,-,0%,-,-,-,-,-,-,-
36,Gross Margin,28.98%,28.40%,28.94%,27.20%,31.81%,35.76%,31.71%,30.99%,28.04%,27.15%,32.85%,28.87%,28.87%,31.23%,31.23%
37,Operating Margin,20.35%,19.72%,18.80%,16.19%,23.75%,24.65%,22.94%,22.18%,17.63%,19.99%,25.48%,21.29%,21.29%,24.69%,24.69%
38,Profit Margin,19.72%,18.94%,19.11%,17.24%,22.69%,24.13%,19.52%,18.43%,21.12%,19.40%,21.44%,17.95%,17.95%,20.08%,20.08%
39,Free Cash Flow Margin,1.38%,4.01%,-46.07%,-2.72%,-6.17%,26.57%,21.61%,9.53%,14.61%,17.40%,1.52%,-1.95%,-1.95%,14.80%,14.80%
40,EBITDA,61.23,65.67,52.52,51.17,63.62,71.1,59.44,64.12,48.53,46.72,60.49,61.19,44.84,46.25,46.25
41,EBITDA Margin,22.92%,21.93%,21.62%,18.70%,25.80%,27.18%,25.07%,24.08%,19.97%,20.53%,28.13%,30.13%,22.08%,26.26%,26.26%
42,D&A For EBITDA,6.85,6.61,6.85,6.85,5.04,6.62,5.04,5.04,5.69,1.23,5.69,17.95,1.6,2.77,2.77
43,EBIT,54.38,59.06,45.67,44.32,58.58,64.47,54.4,59.08,42.84,45.5,54.8,43.24,43.24,43.48,43.48
44,EBIT Margin,20.35%,19.72%,18.80%,16.19%,23.75%,24.65%,22.94%,22.18%,17.63%,19.99%,25.48%,21.29%,21.29%,24.69%,24.69%
45,Effective Tax Rate,9.42%,15.59%,12.18%,11.44%,14.01%,15.06%,13.02%,16.22%,11.73%,12.29%,14.41%,14.07%,14.07%,15.43%,15.43%
46,Revenue as Reported,267.21,299.49,242.95,1019,246.62,261.61,237.1,963.61,-,-,-,-,-,-,-
