,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,5366,5090,4805,5339,5780,6208,5478,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-18.01%,-18.01%,-12.29%,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4061,3791,3816,4244,4685,5067,5253,-,-,-,-,-,-,-,-,-
3,Last Close Price,19.22,18.23,17.21,18.99,20.55,22.07,19.48,-,-,-,-,-,-,-,-,-
4,PE Ratio,26.55,25.07,23.29,25.10,27.19,28.95,26.11,-,-,-,-,-,-,-,-,-
5,Forward PE,-,17.74,16.75,20.06,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,4.98,4.70,4.52,5.21,5.67,6.14,5.43,-,-,-,-,-,-,-,-,-
7,PB Ratio,2.35,2.23,2.15,2.41,2.67,2.93,-,-,-,-,-,-,-,-,-,-
8,P/TBV Ratio,2.30,2.30,2.22,2.49,2.75,3.03,-,-,-,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-49.10,-39.21,-,-,-,30.16,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,29.59,29.59,33.23,-,28.11,30.93,28.37,-,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,3.75,3.50,3.59,4.14,4.60,5.01,5.21,-,-,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,17.24,16.44,16.38,17.80,19.10,19.62,21.60,-,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,20.03,18.64,18.38,19.92,21.13,21.42,23.79,-,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,-39.17,-36.58,-31.14,-,-,-,28.92,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.00,0.01,0.00,0.02,-,0.03,0.02,-,0.07,0.10,0.10,0.10,0.12,0.12
16,Debt / EBITDA Ratio,0.00,0.00,0.00,0.13,0.00,0.13,-,0.11,0.05,-,0.27,0.26,0.26,0.35,0.38,0.38
17,Debt / FCF Ratio,-,0.00,0.00,-,-,-,-,0.17,0.13,-,1.45,2.94,-,-,1.34,2.69
18,Asset Turnover,0.44,0.51,0.42,-,-,-,0.97,-,-,-,-,1.01,1.08,1.00,-,
19,Inventory Turnover,8.64,8.23,7.29,5.61,-,-,-,6.23,-,-,-,-,5.80,6.24,5.67,-
20,Quick Ratio,12.87,12.87,12.22,19.00,13.63,16.00,-,7.81,5.09,-,4.15,-,3.21,3.22,3.87,3.87
21,Current Ratio,13.61,13.61,12.96,25.07,17.34,20.71,-,9.53,6.04,-,5.29,-,4.10,4.10,4.88,4.88
22,Return on Equity (ROE),9.34%,10.20%,8.47%,-,-,-,21.51%,-,-,25.37%,28.09%,22.21%,23.50%,24.21%,-,
23,Return on Assets (ROA),5.63%,6.28%,4.96%,-,-,-,13.93%,-,-,-,-,13.47%,14.32%,15.38%,-,
24,Return on Capital (ROIC),6.02%,6.60%,5.17%,-,-,-,15.45%,-,-,15.11%,19.04%,15.02%,15.74%,16.62%,-,
25,Return on Capital Employed (ROCE),8.81%,8.84%,9.24%,9.54%,10.14%,11.06%,-,22.36%,23.65%,-,25.01%,-,25.94%,19.47%,14.58%,7.29%
26,Earnings Yield,3.78%,3.99%,4.29%,3.98%,3.68%,3.45%,3.83%,-,-,-,-,-,-,-,-,-
27,FCF Yield,-1.93%,-2.04%,-2.55%,-1.22%,1.70%,2.11%,3.32%,-,-,-,-,-,-,-,-,-
28,Dividend Yield,0.82%,-,-,-,0.77%,-,-,-,-,-,-,-,-,-,-,-
29,Payout Ratio,21.88%,1.52%,76.65%,0.01%,0.31%,2.04%,25.41%,0.09%,0.32%,0.31%,29.88%,0.44%,0.39%,0.39%,0.63%,0.63%
30,Buyback Yield / Dilution,-18.09%,-0.85%,-8.23%,-33.80%,-36.52%,-33.26%,-20.05%,-0.36%,0.97%,2.42%,-1.84%,0.18%,-,-,-,-
31,Total Shareholder Return,-17.27%,-0.85%,-8.23%,-33.80%,-35.75%,-33.26%,-20.05%,-0.36%,0.97%,2.42%,-1.84%,0.18%,-,-,-,-
