,Fiscal Quarter,Q4 2024,Q4 2023,Q3 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019",+20 Quarters
0,Revenue,8905,12441,13207,14424,20013,16753,18505,15352,18957,18388,20447,14997,22442,23449,25357,21199,27273,25605,26671,24554,Upgrade
1,Revenue Growth (YoY),-55.51%,-25.74%,-28.63%,-6.04%,5.57%,-8.90%,-9.50%,2.36%,-15.53%,-21.58%,-19.37%,-29.26%,-17.71%,-8.42%,-4.93%,-13.66%,-16.81%,-8.49%,-27.80%,0.46%,Upgrade
2,Cost of Revenue,8334,12895,13088,12825,18523,15451,16978,13600,18166,16757,19032,13550,21261,21272,23420,18915,25119,23134,23898,21814,Upgrade
3,Gross Profit,571.06,-453.79,118.32,1599,1489,1302,1526,1752,791.15,1631,1414,1448,1181,2176,1937,2284,2154,2471,2773,2739,Upgrade
4,"Selling, General & Admin",1506,1224,963.28,1657,1431,1289,1531,1612,1635,1419,1542,1407,1903,1681,1557,1858,1986,1766,2179,2157,Upgrade
5,Operating Expenses,1506,1224,963.28,1657,1431,1289,1531,1612,1635,1419,1542,1407,1903,1681,1557,1858,1986,1766,2179,2157,Upgrade
6,Operating Income,-934.99,-1678,-844.96,-57.93,58.04,13.31,-4.47,139.58,-843.87,212.06,-127.9,40.83,-721.66,495.93,380.02,425.94,167.73,704.97,594.2,582.1,Upgrade
7,Interest Expense,-,-8.49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
8,Interest & Investment Income,210.68,275.92,-,154.55,135.02,111.82,156.82,32.77,181.19,40.81,98.12,54.08,127.89,42.63,126.38,42.69,120.56,61.89,90.58,62.95,Upgrade
