,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,67084,59926,69333,45605,51403,51214,70547,132063,115098,77230,33521
1,Market Cap Growth,31.40%,31.40%,34.88%,-10.95%,-27.14%,-61.22%,-38.71%,71.00%,243.36%,153.32%,20.57%
2,Enterprise Value,61410,51829,63850,38893,44899,43213,59352,123851,109367,72776,30495
3,Last Close Price,40.95,36.80,42.75,29.60,33.50,34.90,48.25,90.55,82.05,57.50,26.55
4,PS Ratio,8.19,7.48,10.14,8.41,9.98,9.57,13.46,22.87,25.21,41.75,28.61
5,PB Ratio,4.99,4.49,5.02,3.91,4.24,4.56,5.56,9.22,11.04,10.99,6.30
6,P/TBV Ratio,4.88,4.88,5.03,4.40,4.25,4.98,5.57,9.30,11.04,11.05,6.30
7,P/FCF Ratio,-,-,-64.78,-,-,-,-,-,-,-,-
8,P/OCF Ratio,100.48,-,425.78,-,-,-,-,-,-314.98,-,-
9,EV/Sales Ratio,7.66,6.47,9.34,7.17,8.72,8.08,11.32,21.45,23.96,39.34,26.02
10,EV/EBITDA Ratio,-,-,-,-,-,-,-,-,-188.25,-,-
11,EV/EBIT Ratio,-,-,-,-,-,-,-,-,-165.28,-,-
12,EV/FCF Ratio,-85.82,-,-59.65,-,-,-,-,-,-,-,-
13,Debt / Equity Ratio,0.27,0.27,0.29,0.32,0.30,0.29,0.24,0.16,0.14,0.15,0.18
14,Debt / FCF Ratio,-,-,-3.73,-,-,-,-,-,-,-,-
15,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-5.38%,-,-
16,Earnings Yield,-2.05%,-2.30%,-1.63%,-3.24%,-4.79%,-6.12%,-4.75%,-1.27%,-1.03%,-2.29%,-5.74%
17,FCF Yield,-1.07%,-1.19%,-1.54%,-6.64%,-6.19%,-6.78%,-5.38%,-1.26%,-0.82%,-2.49%,-6.78%
18,Buyback Yield / Dilution,-5.12%,-5.70%,-4.54%,-4.80%,-3.71%,-1.02%,-4.88%,-9.78%,-15.75%,-14.68%,-129.86%
19,Total Shareholder Return,-5.12%,-5.70%,-4.54%,-4.80%,-3.71%,-1.02%,-4.88%,-9.78%,-15.75%,-14.68%,-129.86%
