,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,8165,10052,7656,9163,8318,8377,11164,7764,4633,4233
1,Trading Asset Securities,463.49,917.53,870.84,3.21,-,638.21,-,357.3,1561,462.52
2,Cash & Short-Term Investments,8629,10970,8526,9166,8318,9015,11164,8121,6194,4695
3,Cash Growth,1.20%,19.68%,2.51%,1.67%,-25.49%,11.01%,80.23%,72.97%,77.77%,2.12%
4,Accounts Receivable,1369,1006,1016,575.27,1187,968.41,1002,475.38,380.03,250.04
5,Other Receivables,-,-,-,-,34.34,-,58.99,91.72,36.34,41.18
6,Receivables,1369,1006,1019,575.27,1227,975.91,1069,575.2,430.97,304.42
7,Inventory,690.41,968.09,1300,1429,1477,1347,1102,705.66,467.14,358.6
8,Other Current Assets,360.55,484.38,539.48,336.52,172.18,212.4,97.41,64.69,69.97,97.25
9,Total Current Assets,11049,13428,11385,11507,11195,11551,13433,9467,7162,5455
10,"Property, Plant & Equipment",5421,4656,4187,3826,3341,3090,2328,1911,1475,1436
11,Long-Term Investments,2301,794.09,636.65,630.2,397.05,417.26,45.43,12.94,1.98,1.98
12,Other Intangible Assets,987.35,27.79,1190,30.05,815.5,19.75,96.91,-,35.21,-
13,Long-Term Deferred Charges,-,1242,-,1168,-,752.45,-,32.63,-,-
14,Other Long-Term Assets,537.43,478.64,497.5,427.63,408.92,412.07,554.09,410.15,279.84,336.82
15,Total Assets,20296,20627,17897,17589,16159,16244,16457,11835,8954,7231
16,Accounts Payable,220.62,372.55,216.41,325.62,236.36,195.05,277.33,120.62,196.07,84.28
17,Accrued Expenses,2066,2156,1529,1517,1824,1678,901.05,819.95,553.38,782.47
18,Current Portion of Long-Term Debt,934.65,1195,450.1,888,858,365,370,255,146,17
19,Current Portion of Leases,77.06,25.18,27.02,26.39,15.95,22.27,14.94,16.16,15.45,15.55
20,Current Income Taxes Payable,142.76,-,-,3.3,-,60.59,0.36,-,5.01,1.75
21,Current Unearned Revenue,283.55,416.17,345.5,434.91,323.55,355.51,210.24,120.44,110.24,41.73
22,Other Current Liabilities,403.28,312.16,304.12,303.71,224.04,374.05,467.82,153.69,58.74,100.78
23,Total Current Liabilities,4128,4477,2872,3499,3482,3050,2242,1486,1085,1044
24,Long-Term Debt,2271,2327,2888,2215,1808,2023,1468,925.18,793,808
25,Long-Term Leases,66.26,73.42,86.72,98.68,84.17,86.39,3.13,10.23,16.4,24.54
26,Long-Term Unearned Revenue,990.8,960.05,1035,883.28,1188,753.27,838.25,633.96,655.34,598.3
27,Other Long-Term Liabilities,413.94,262.71,231.53,162.31,5.79,0.34,-,-,-,-
28,Total Liabilities,7869,8100,7114,6859,6568,5913,4551,3055,2550,2474
29,Common Stock,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.09
30,Additional Paid-In Capital,27544,27324,24900,24706,22544,22494,22467,18541,15989,13885
31,Retained Earnings,-16160,-15768,-14879,-14740,-13511,-12560,-11157,-9982,-9592,-8984
32,Comprehensive Income & Other,1042,970.54,761.76,763.86,558.15,397.02,595.2,220.41,7.17,-145.65
33,Total Common Equity,12426,12528,10783,10730,9591,10330,11905,8780,6405,4756
34,Shareholders' Equity,12426,12528,10783,10730,9591,10330,11905,8780,6405,4756
35,Total Liabilities & Equity,20296,20627,17897,17589,16159,16244,16457,11835,8954,7231
36,Total Debt,3349,3621,3452,3229,2766,2497,1856,1207,970.85,865.09
37,Net Cash (Debt),5280,7349,5074,5938,5552,6518,9308,6915,5224,3830
38,Net Cash Growth,4.06%,23.77%,-8.60%,-8.91%,-40.35%,-5.73%,78.19%,80.53%,96.31%,0.64%
39,Net Cash Per Share,3.25,4.64,3.30,3.92,3.79,4.46,6.42,4.96,3.95,3.18
40,Filing Date Shares Outstanding,1628,1622,1541,1534,1467,1462,1458,1403,1343,1263
41,Total Common Shares Outstanding,1628,1622,1541,1534,1467,1462,1458,1403,1343,1263
42,Working Capital,6921,8951,8513,8008,7713,8501,11191,7981,6078,4412
43,Book Value Per Share,7.63,7.72,7.00,6.99,6.54,7.07,8.16,6.26,4.77,3.77
44,Tangible Book Value,11439,12500,9593,10700,8776,10311,11808,8780,6369,4756
45,Tangible Book Value Per Share,7.02,7.71,6.23,6.97,5.98,7.05,8.10,6.26,4.74,3.77
46,Buildings,-,402.67,-,402.46,-,389.73,-,389.73,-,389.73
47,Machinery,-,2658,-,2523,-,1420,-,1183,-,551.48
48,Construction In Progress,-,2142,-,1139,-,1293,-,287.66,-,602.49
49,Leasehold Improvements,-,121.82,-,107.66,-,106.85,-,76.76,-,53.19
