,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,4434,4466,3419,4193,5551,5829,7792,7594,7350,5300,6648,6258,-,-,-,-,-,-,-,-
1,Market Cap Growth,-23.38%,-23.38%,-56.12%,-44.78%,-24.48%,9.98%,17.21%,21.35%,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3510,3580,2487,2924,4281,4365,6168,5768,5524,3448,4496,6143,-,-,-,-,-,-,-,-
3,Last Close Price,10.92,11.00,8.31,10.20,13.50,14.17,18.95,18.37,17.78,12.82,15.96,15.02,-,-,-,-,-,-,-,-
4,PE Ratio,54.80,55.21,32.19,38.24,41.36,31.68,39.91,38.56,37.93,25.11,29.55,25.18,-,-,-,-,-,-,-,-
5,Forward PE,28.74,30.14,18.92,16.49,21.83,21.19,24.34,23.60,22.84,15.12,21.20,-,-,-,-,-,-,-,-,-
6,PS Ratio,6.62,6.67,5.16,6.72,9.29,9.86,13.72,13.56,12.75,8.51,10.40,9.45,-,-,-,-,-,-,-,-
7,PB Ratio,1.46,1.47,1.14,1.38,1.85,1.95,2.65,2.55,2.52,1.86,2.39,2.21,-,-,-,-,-,-,-,-
8,P/TBV Ratio,1.47,1.47,1.14,1.38,1.85,1.95,2.65,2.55,2.52,1.86,2.39,2.21,-,-,-,-,-,-,-,-
9,P/FCF Ratio,10.75,10.82,8.41,9.84,14.00,14.70,18.88,20.91,20.99,14.18,19.93,15.07,-,-,-,-,-,-,-,-
10,P/OCF Ratio,9.43,9.43,7.28,8.70,12.37,13.55,17.60,19.61,19.88,13.44,18.84,14.31,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,5.25,5.35,3.75,4.69,7.17,7.38,10.86,10.30,9.58,5.54,7.03,9.27,-,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,9.56,48.35,-,33.89,38.59,30.52,-,38.23,34.18,16.55,-,21.50,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,69.22,70.59,-,45.45,47.96,35.90,-,44.48,39.32,18.40,-,23.19,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,8.51,8.68,6.11,6.86,10.80,11.01,14.94,15.88,15.77,9.22,13.48,14.79,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.50,0.50,0.53,0.51,0.45,0.40,0.34,0.29,0.22,0.21,0.22,0.10,0.38,-,0.45,-,-,-,-,-
16,Debt / EBITDA Ratio,4.11,12.90,2.15,11.92,1.10,6.88,2.03,3.78,0.60,2.77,1.63,1.09,0.29,-,0.67,-,-,-,-,-
17,Debt / FCF Ratio,3.66,3.66,3.90,3.67,3.43,3.03,2.39,2.39,1.80,1.60,1.86,0.71,0.77,-,0.87,-,-,-,-,-
18,Asset Turnover,0.16,0.12,0.16,0.15,0.17,0.11,0.16,0.18,0.18,0.11,0.30,-,-,-,-,0.85,0.96,0.60,-,
19,Quick Ratio,5.96,5.96,5.70,6.45,7.21,8.03,8.86,10.05,10.85,11.95,7.97,11.11,3.15,-,2.62,-,9.76,9.76,7.97,2.74
20,Current Ratio,6.02,6.02,5.75,6.51,7.27,8.09,8.93,10.10,10.90,12.01,7.99,11.14,3.18,-,2.66,-,10.21,10.21,9.46,2.85
21,Return on Equity (ROE),3.48%,0.33%,5.08%,1.82%,6.96%,0.80%,8.56%,8.81%,8.93%,1.08%,12.97%,-,-,18.73%,33.34%,42.90%,48.06%,22.33%,-,
22,Return on Assets (ROA),1.27%,-0.51%,1.49%,0.54%,2.31%,-0.67%,3.47%,2.93%,3.47%,-0.96%,7.08%,-,-,-,-,26.30%,29.47%,8.94%,-,
