,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,268.96,253.57,237.54,247.13,234.17,172.23,124.29,166.01,140.43,56.42
1,Short-Term Investments,-,0.08,-,0.2,-,0.19,-,0.07,-,0.2
2,Cash & Short-Term Investments,268.96,253.65,237.54,247.33,234.17,172.42,124.29,166.08,140.43,56.62
3,Cash Growth,13.23%,2.56%,1.44%,43.44%,88.40%,3.82%,-11.49%,193.33%,-,-
4,Accounts Receivable,86.24,60.98,58.74,47.53,49.92,93.86,116.91,89.6,103.27,36.03
5,Other Receivables,12.21,8.62,11.76,5.27,9.87,7.86,15.95,4.99,14.35,6.66
6,Receivables,98.45,69.6,70.5,52.8,59.79,101.72,132.85,94.59,117.62,42.69
7,Inventory,33.85,37.45,35.23,31.66,38.44,59.64,61.51,37.33,54.36,36.02
8,Prepaid Expenses,-,4.75,-,4.93,-,5.73,-,5.34,-,3.5
9,Other Current Assets,-,-,5.04,7.32,7.23,7.45,7.39,4.97,4.97,10.59
10,Total Current Assets,401.27,365.45,348.31,344.02,339.63,346.95,326.04,308.31,317.38,149.41
11,"Property, Plant & Equipment",100.43,101.39,102.45,105.23,106.77,118.31,112.96,116.25,115.06,118.43
12,Long-Term Deferred Tax Assets,2.65,2.94,1.04,2.33,1.13,2.06,0.88,1.15,0.38,0.01
13,Other Long-Term Assets,1.65,6.14,6.31,5.19,5.18,2.72,7.34,1.43,2.31,2.41
14,Total Assets,505.99,475.92,458.11,456.78,452.7,470.03,447.22,427.13,435.12,270.26
15,Accounts Payable,31.83,25.84,34.41,24.44,37.56,68.52,81.91,44.91,76.71,44.05
16,Accrued Expenses,21.45,5.6,22.43,6.64,26.86,10.97,18.68,11.56,27.3,11.75
17,Short-Term Debt,-,-,-,-,-,0.31,1.22,2.14,3.06,3.97
18,Current Portion of Leases,0.78,0.85,0.21,-,0.19,0.4,0.42,0.42,0.2,0.42
19,Current Income Taxes Payable,4.3,-,3.92,0.22,6.52,-,11.96,8.1,10.03,3.7
20,Current Unearned Revenue,-,16.98,-,11.5,-,15.93,-,4.2,-,5.48
21,Other Current Liabilities,-,2.46,-,2.57,-,3.48,-,3.92,-,5.34
22,Total Current Liabilities,58.36,51.74,60.97,45.36,71.14,99.6,114.19,75.24,117.29,74.71
23,Long-Term Leases,2.03,2.39,0.11,-,-,-,0.19,0.4,-,-
24,Long-Term Deferred Tax Liabilities,8.36,7.68,6.01,6.05,4.38,5.65,4.59,4.03,3.88,3.06
25,Total Liabilities,68.75,61.81,67.09,51.42,75.52,105.25,118.97,79.68,121.17,77.78
26,Common Stock,12.79,12.79,12.79,12.79,12.79,12.79,12.5,12.5,12.5,-
27,Additional Paid-In Capital,79.76,79.76,79.76,79.76,79.76,79.76,79.76,79.76,79.76,-
28,Retained Earnings,341.56,318.61,298.16,309.3,285.77,264.27,230.94,252.05,221.05,193.91
29,Comprehensive Income & Other,3.14,2.96,0.32,3.52,-1.14,7.97,5.06,3.15,0.64,-1.43
30,Shareholders' Equity,437.24,414.11,391.01,405.36,377.18,364.78,328.25,347.46,313.95,192.48
31,Total Liabilities & Equity,505.99,475.92,458.11,456.78,452.7,470.03,447.22,427.13,435.12,270.26
32,Total Debt,2.81,3.24,0.32,-,0.19,0.71,1.83,2.96,3.26,4.4
33,Net Cash (Debt),266.15,250.41,237.22,247.33,233.98,171.71,122.46,163.12,137.18,52.22
34,Net Cash Growth,12.20%,1.25%,1.38%,44.03%,91.07%,5.27%,-10.73%,212.36%,-,-
35,Net Cash Per Share,0.21,0.20,0.19,0.19,0.18,0.14,0.10,0.13,0.14,0.06
36,Filing Date Shares Outstanding,1279,1279,1279,1279,1279,1279,1250,1250,1250,1250
37,Total Common Shares Outstanding,1279,1279,1279,1279,1279,1279,1250,1250,1250,937.5
38,Working Capital,342.91,313.71,287.34,298.66,268.49,247.34,211.85,233.06,200.09,74.7
39,Book Value Per Share,0.34,0.32,0.31,0.32,0.29,0.29,0.26,0.28,0.25,0.21
40,Tangible Book Value,437.24,414.11,391.01,405.36,377.18,364.78,328.25,347.46,313.95,192.48
41,Tangible Book Value Per Share,0.34,0.32,0.31,0.32,0.29,0.29,0.26,0.28,0.25,0.21
42,Machinery,-,149.65,-,151.84,-,156.88,-,155.7,-,146.67
43,Leasehold Improvements,-,50.86,-,51.15,-,50.04,-,46.55,-,43.63
