,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,203,208,230,253,317,251,254,304,240,279,-
1,Market Cap Growth,-17.68%,-17.68%,-27.42%,1.02%,24.62%,-17.50%,6.01%,8.97%,-,-,-
2,Enterprise Value,-63,-42,-7,6,83,79,132,141,103,227,-
3,Last Close Price,0.16,0.16,0.18,0.20,0.22,0.18,0.17,0.20,0.14,0.17,-
4,PE Ratio,4.68,4.80,5.94,6.06,4.94,3.39,4.26,5.29,4.13,6.06,-
5,PS Ratio,0.68,0.70,0.86,0.96,0.87,0.52,0.54,0.67,0.55,0.75,-
6,PB Ratio,0.46,0.48,0.56,0.65,0.78,0.66,0.70,0.93,0.69,0.89,-
7,P/TBV Ratio,0.48,0.48,0.56,0.65,0.78,0.66,0.70,0.93,0.69,0.89,-
8,P/FCF Ratio,7.38,7.57,7.24,7.58,3.33,1.92,4.57,8.72,16.50,-,-
9,P/OCF Ratio,6.96,6.96,5.83,5.99,3.06,1.77,3.69,6.69,11.79,-,-
10,EV/Sales Ratio,-,-,-,0.02,0.23,0.16,0.28,0.31,0.24,0.61,-
11,EV/EBITDA Ratio,-,-,-,0.11,1.06,0.84,1.58,1.64,1.16,3.06,-
12,EV/EBIT Ratio,-,-,-,0.15,1.27,0.98,1.88,1.94,1.36,3.69,-
13,EV/FCF Ratio,-2.28,-,-,0.17,0.87,0.60,2.37,4.04,7.07,-,-
14,Debt / Equity Ratio,0.01,0.01,0.01,0.00,-,0.00,0.00,0.01,0.01,0.01,0.02
15,Debt / FCF Ratio,0.10,0.10,0.10,0.01,-,0.00,0.01,0.05,0.20,-,0.08
16,Return on Capital Employed (ROCE),9.24%,9.24%,8.31%,9.88%,15.89%,21.00%,18.99%,21.81%,21.48%,19.32%,27.55%
17,Earnings Yield,21.35%,20.82%,16.82%,16.51%,20.25%,29.54%,23.47%,18.89%,24.22%,16.49%,-
18,FCF Yield,13.55%,13.22%,13.82%,13.20%,30.00%,52.09%,21.87%,11.47%,6.06%,16.80%,-
19,Buyback Yield / Dilution,-,-,-,-0.58%,-2.28%,-1.76%,-29.56%,-33.25%,-2.91%,-,
20,Total Shareholder Return,-,-,-,-0.58%,-2.28%,-1.76%,-29.56%,-33.25%,-2.91%,-,
