,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,4236,4087,4652,7559,10630,11793,13767,16410,18318,23550,16376,Upgrade
1,Market Cap Growth,-45.93%,-45.93%,-56.24%,-35.90%,-22.79%,-28.13%,-24.84%,-30.32%,11.86%,59.39%,39.40%,Upgrade
2,Enterprise Value,29357,31779,32759,34607,38213,33936,36340,34045,29142,34019,31251,Upgrade
3,Last Close Price,0.26,0.24,0.28,0.44,0.63,0.69,0.73,0.88,0.90,1.16,0.78,Upgrade
4,PE Ratio,-,-,-,3.88,4.05,2.50,2.79,3.58,3.54,5.05,3.85,Upgrade
5,Forward PE,-,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,Upgrade
6,PS Ratio,0.21,0.21,0.24,0.67,0.91,0.89,0.79,0.85,0.91,1.48,1.25,Upgrade
7,PB Ratio,0.20,0.16,0.16,0.26,0.35,0.40,0.46,0.64,0.73,1.15,0.82,Upgrade
8,P/TBV Ratio,0.19,0.19,0.19,0.31,0.42,0.47,0.52,0.73,0.82,1.37,0.97,Upgrade
9,P/FCF Ratio,2.73,1.56,1.59,1.73,4.63,-,157.81,-,-,-,3.52,Upgrade
10,P/OCF Ratio,2.57,1.54,1.53,1.69,4.52,-,87.22,-,-,-,3.51,Upgrade
11,EV/Sales Ratio,1.48,1.61,1.70,3.06,3.28,2.55,2.09,1.76,1.45,2.14,2.39,Upgrade
12,EV/EBITDA Ratio,30.01,-,20.57,-,-,52.31,37.34,6.04,4.56,5.93,5.89,Upgrade
13,EV/EBIT Ratio,31.23,-,21.36,-,-,55.71,39.10,6.07,4.59,5.96,5.95,Upgrade
14,EV/FCF Ratio,18.93,12.13,11.17,7.94,16.65,-,416.54,-,-,-,6.72,Upgrade
15,Debt / Equity Ratio,0.95,0.95,0.90,0.94,0.94,1.02,0.97,1.10,0.94,0.70,0.64,Upgrade
16,Debt / FCF Ratio,15.34,9.08,8.91,6.32,12.51,-,337.13,-,-,-,2.76,Upgrade
17,Return on Capital Employed (ROCE),2.03%,-,2.72%,-,-,1.05%,1.67%,11.06%,13.32%,17.78%,17.26%,Upgrade
18,Earnings Yield,-60.84%,-63.07%,8.12%,25.75%,24.71%,40.06%,35.79%,27.94%,28.23%,19.80%,25.96%,Upgrade
19,FCF Yield,36.61%,64.09%,63.07%,57.68%,21.59%,30.73%,0.63%,-62.29%,-26.22%,40.16%,28.39%,Upgrade
20,Buyback Yield / Dilution,0.02%,0.03%,0.01%,-0.00%,0.13%,0.08%,1.36%,-2.91%,-4.14%,0.21%,-0.81%,Upgrade
21,Total Shareholder Return,0.46%,0.03%,0.01%,-0.00%,0.13%,0.08%,1.36%,-2.91%,-4.14%,0.21%,-0.81%,Upgrade
