,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,342,377,443,515,644,717,901,901,883,1269,1214,Upgrade
1,Market Cap Growth,-26.79%,-26.79%,-31.14%,-28.21%,-28.57%,-20.41%,2.08%,-28.99%,-27.27%,-13.75%,-15.38%,Upgrade
2,Enterprise Value,-30,-493,-233,-693,-339,-696,-464,-596,-150,-83,-526,Upgrade
3,PE Ratio,-,-,-,-,-,61.19,512.86,-,-,282.15,247.60,Upgrade
4,PS Ratio,0.18,0.20,0.23,0.27,0.32,0.36,0.46,0.52,0.55,0.83,0.72,Upgrade
5,PB Ratio,0.23,0.25,0.28,0.31,0.36,0.37,0.44,0.45,0.43,0.65,0.62,Upgrade
6,P/FCF Ratio,-,-,-2.10,-,-6.32,-,-23.63,-,20.10,-,-,Upgrade
7,P/OCF Ratio,-,-,-6.42,-,18.47,-,9.70,-,10.13,-,-,Upgrade
8,EV/FCF Ratio,0.13,-,-,-,-,-,-,-,-,-,-,Upgrade
9,Debt / Equity Ratio,0.00,0.00,0.00,-,-,-,-,-,-,-,-,Upgrade
10,Debt / FCF Ratio,-,-,-0.01,-,-,-,-,-,-,-,-,Upgrade
11,Earnings Yield,-47.56%,-43.16%,-38.57%,-20.14%,-12.00%,1.63%,0.19%,-2.94%,-1.82%,0.35%,0.40%,Upgrade
12,Earnings Yield,-47.56%,-43.16%,-38.57%,-20.14%,-12.00%,1.63%,0.19%,-2.94%,-1.82%,0.35%,0.40%,Upgrade
13,FCF Yield,-64.46%,-58.49%,-47.56%,-42.62%,-15.83%,-34.11%,-4.23%,23.42%,4.97%,-52.79%,-6.34%,Upgrade
14,Buyback Yield / Dilution,0.31%,0.17%,-,-0.44%,-,-,-,-,-,-,-,Upgrade
15,Total Shareholder Return,0.31%,0.17%,-,-0.44%,-,-,-,-,-,-,-,Upgrade
