,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,782.6,900.38,716.41,875.84,719.13,886.4,665.28,998.13,787.64,887.5,626.69,894.76,894.76,621.93,621.93
1,Other Revenue,-4.15,4.15,-,6.63,-3.65,3.65,-,6.68,-1.74,1.74,-,0.38,0.38,1.84,1.84
2,Revenue,778.45,904.53,716.41,882.47,715.48,890.04,665.28,1005,785.9,889.24,626.69,895.14,895.14,623.77,623.77
3,Revenue Growth (YoY),8.80%,1.63%,7.69%,-12.18%,-8.96%,0.09%,6.16%,12.25%,-12.20%,42.56%,0.47%,-,-,-,-
4,Cost of Revenue,530.51,610.14,495.34,622.63,477.13,620.38,469.04,714.29,546.01,630.05,445.43,628.09,628.09,452.57,452.57
5,Gross Profit,247.95,294.39,221.07,259.85,238.35,269.67,196.24,290.52,239.89,259.18,181.26,267.05,267.05,171.2,171.2
6,"Selling, General & Admin",174.21,212.9,169.22,219.12,198.06,191.57,142.05,177.55,167.42,171.95,132.2,163.78,163.78,121.52,121.52
7,Research & Development,45.53,48.47,38.16,48.16,31.3,41.06,30.56,27.1,28.01,40.16,27.01,29.57,29.57,25.64,25.64
8,Other Operating Expenses,-5.51,-2.63,-6.67,24.01,-13.73,-2.29,-3.1,16.89,-2.41,1.06,-0.75,-5.7,-5.7,1.05,1.05
9,Operating Expenses,213.7,260.58,199.06,291.01,215.37,232.13,167.68,224.18,193.02,214.5,157.73,190.18,190.18,148.23,148.23
