,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,1066,1303,968.21,1362,1169,1528,895.39,789.04,-,-,-,686.22,686.22,536.72,536.72
1,Short-Term Investments,-,318.26,-,324.99,-,330.13,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,493.85,111.42,161.43,226.29,473.17,375.63,-,-,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,1560,1733,1130,1913,1642,2233,895.39,789.04,-,-,-,686.22,686.22,536.72,536.72
4,Cash Growth,-4.98%,-22.42%,26.16%,142.47%,-,-,-,14.98%,-,-,-,-,-,-,-
5,Accounts Receivable,491.78,485.1,321.66,463.3,528.78,531.07,353.25,572.5,-,-,-,381.76,381.76,291.95,291.95
6,Other Receivables,19.37,43.16,15.79,42.3,22.2,66.14,23.44,50.52,-,-,-,29.86,29.86,4.74,4.74
7,Receivables,511.14,528.26,337.46,505.6,550.98,597.21,376.69,623.01,-,-,-,411.62,411.62,297.23,297.23
8,Inventory,555.47,514.37,450.59,496.14,432.27,376.66,432.46,498.09,-,-,-,501.99,501.99,467.45,467.45
9,Other Current Assets,170.56,42.41,856.6,38.67,465.63,44.11,94.56,60.8,-,-,-,61.34,61.34,81.78,81.78
10,Total Current Assets,2797,2818,2774,2954,3091,3251,1799,1971,-,-,-,1661,1661,1383,1383
11,"Property, Plant & Equipment",971.08,935.4,890.47,857.72,787.91,693.63,591.82,535.57,-,-,-,269.68,269.68,249.22,249.22
12,Long-Term Investments,0.06,0.06,0.06,0.06,0.06,0.07,0.06,0.06,-,-,-,0.06,0.06,0.06,0.06
