,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,4902,4929,4080,4833,5640,6310,6596,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-21.87%,-21.87%,-38.14%,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3366,3211,2972,3575,4382,4409,5976,-,-,-,-,-,-,-,-,-
3,Last Close Price,10.68,10.68,8.84,10.36,12.09,13.53,14.14,-,-,-,-,-,-,-,-,-
4,PE Ratio,42.13,43.69,37.36,44.40,51.87,32.84,33.46,-,-,-,-,-,-,-,-,-
5,Forward PE,26.13,28.86,23.26,19.94,24.54,24.35,25.92,-,-,-,-,-,-,-,-,-
6,PS Ratio,1.45,1.50,1.27,1.51,1.79,1.93,1.97,-,-,-,-,-,-,-,-,-
7,PB Ratio,1.73,1.74,1.45,1.72,2.02,2.27,2.39,-,-,-,-,-,-,-,-,-
8,P/TBV Ratio,2.09,2.09,1.75,2.07,2.44,2.74,2.91,-,-,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,77.98,92.70,-,-171.55,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,14.97,14.97,-,10.57,13.19,-,19.78,-,-,-,-,-,-,-,-,-
11,PEG Ratio,1.30,1.30,1.30,1.30,1.30,1.30,-,-,-,-,-,-,-,-,-,-
12,EV/Sales Ratio,1.03,0.98,0.92,1.12,1.39,1.35,1.79,-,-,-,-,-,-,-,-,-
13,EV/EBITDA Ratio,17.53,19.54,20.10,24.20,-,18.27,22.88,-,-,-,-,-,-,-,-,-
14,EV/EBIT Ratio,57.13,54.51,62.37,69.58,-,28.37,33.33,-,-,-,-,-,-,-,-,-
15,EV/FCF Ratio,-480.25,-,-,57.68,72.02,-,-155.44,-,-,-,-,-,-,-,-,-
16,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.14,0.12,0.18,0.10,-,-,-,0.02,0.02,0.03,0.03
17,Debt / EBITDA Ratio,0.16,0.13,0.06,0.11,0.95,2.18,1.17,1.37,0.36,-,-,-,0.08,0.08,0.19,0.19
18,Debt / FCF Ratio,-,-,-,0.35,0.59,-,-8.51,2.54,-,-,-,-,0.94,-0.37,-,-
19,Asset Turnover,0.72,0.85,0.67,0.81,0.64,0.96,0.89,-,-,-,-,1.44,1.53,1.14,-,
20,Inventory Turnover,4.57,3.97,5.06,4.19,5.37,4.72,6.13,4.03,-,-,-,-,5.00,5.18,3.87,-
21,Quick Ratio,1.46,1.46,1.59,1.11,1.65,1.71,2.05,1.08,0.97,-,-,-,0.94,0.94,0.84,0.84
22,Current Ratio,1.97,1.97,1.99,2.10,2.01,2.41,2.36,1.53,1.36,-,-,-,1.42,1.42,1.39,1.39
23,Return on Equity (ROE),4.98%,6.12%,3.37%,1.09%,4.61%,8.06%,5.78%,-,-,-,-,19.74%,20.79%,8.37%,-,
24,Return on Assets (ROA),1.99%,1.99%,1.29%,-1.78%,1.29%,2.53%,2.38%,-,-,-,-,7.73%,8.23%,2.62%,-,
25,Return on Capital (ROIC),3.01%,2.99%,1.94%,-2.60%,1.84%,3.89%,4.27%,-,-,-,-,14.86%,15.62%,4.91%,-,
26,Return on Capital Employed (ROCE),2.04%,2.04%,1.66%,1.79%,-,4.95%,5.78%,10.58%,11.22%,-,-,-,15.22%,9.36%,3.84%,1.92%
27,Earnings Yield,2.30%,2.29%,2.68%,2.25%,1.93%,3.05%,2.99%,-,-,-,-,-,-,-,-,-
28,FCF Yield,-0.14%,-0.14%,-2.85%,1.28%,1.08%,-2.16%,-0.58%,-,-,-,-,-,-,-,-,-
29,Dividend Yield,0.93%,-,-,-,0.83%,-,-,-,-,-,-,-,-,-,-,-
30,Payout Ratio,44.90%,0.89%,102.78%,-,50.81%,7.06%,5.31%,5.83%,2.32%,-,-,0.22%,0.05%,0.05%,0.00%,0.00%
31,Buyback Yield / Dilution,-10.87%,9.74%,-21.10%,-20.62%,-23.55%,-35.02%,-7.58%,3.60%,0.40%,-2.83%,11.20%,-5.89%,-,-,-,-
32,Total Shareholder Return,-9.94%,9.74%,-21.10%,-20.62%,-22.72%,-35.02%,-7.58%,3.60%,0.40%,-2.83%,11.20%,-5.89%,-,-,-,-
