,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,128.62,180.43,74.36,130.73,137.7,120.63,115.92,144.33,67.99,100.54,Upgrade
1,Short-Term Investments,-,0.04,-,0.03,-,-,-,-,-,-,Upgrade
2,Cash & Short-Term Investments,128.62,180.47,74.36,130.77,137.7,120.63,115.92,144.33,67.99,100.54,Upgrade
3,Cash Growth,72.96%,38.01%,-46.00%,8.41%,18.80%,-16.43%,70.49%,43.55%,14.50%,-43.49%,Upgrade
4,Accounts Receivable,-,-,-,-,68.1,-,-,29.31,140.72,247.84,Upgrade
5,Other Receivables,2.86,97.49,0.13,0.08,2.31,13.58,16.73,0.09,26.26,3.38,Upgrade
6,Receivables,2.86,97.49,0.13,0.08,70.41,13.58,16.73,29.4,166.97,251.22,Upgrade
7,Inventory,290.86,291.71,120.59,76.23,131.85,0.68,3.42,3.8,145.95,340.86,Upgrade
8,Prepaid Expenses,1.44,2.29,1.28,1.23,2.31,1.33,2.38,1.09,2.31,0.2,Upgrade
9,Restricted Cash,-,-,-,-,-,-,1.98,5.43,20.55,19,Upgrade
10,Other Current Assets,0.1,-,1.63,-,0.03,0.03,0.03,0.03,0.03,0.09,Upgrade
11,Total Current Assets,423.88,571.95,197.99,208.31,342.31,136.25,140.45,184.09,403.81,711.91,Upgrade
12,"Property, Plant & Equipment",4.73,5.12,0.38,0.36,0.44,0.35,9.73,0.37,12.34,13.16,Upgrade
13,Long-Term Investments,401.34,412.72,440.79,438.26,471.46,456.08,409.94,433.39,394.15,422.07,Upgrade
14,Other Long-Term Assets,1.08,1.07,-,-,-,-,-,-,-,-,Upgrade
15,Total Assets,831.03,990.86,639.17,646.93,814.22,592.67,560.12,617.85,810.3,1147,Upgrade
16,Accounts Payable,-,303.7,-,-,-,-,-,-,49.27,219.34,Upgrade
17,Accrued Expenses,16.5,6.94,10.85,8.99,6.95,6.25,-,3.65,-,4.56,Upgrade
18,Short-Term Debt,156.26,-,-,-,-,-,238.08,282.27,2.12,540.89,Upgrade
19,Current Portion of Long-Term Debt,-,-,36,36,12,12,-,-,133.02,-,Upgrade
20,Current Portion of Leases,1.58,1.36,-,-,-,-,-,0.23,0.34,0.33,Upgrade
21,Current Income Taxes Payable,5.91,5.92,5.94,5.15,5.62,0.3,-,0.83,1.31,1.63,Upgrade
22,Current Unearned Revenue,-,-,-,-,200.3,-,13.38,-,12.38,25.62,Upgrade
23,Other Current Liabilities,26.82,27.39,25.46,23.18,26.09,21.46,27.01,21.81,26.95,19.62,Upgrade
24,Total Current Liabilities,207.06,345.3,78.24,73.32,250.97,40.02,278.46,308.79,225.38,811.99,Upgrade
25,Long-Term Debt,182,182,182,182,218,218,-,-,266.1,-,Upgrade
26,Long-Term Leases,2.54,3.27,-,-,-,-,-,-,0.06,0.23,Upgrade
27,Total Liabilities,391.6,530.58,260.24,255.32,468.97,258.02,278.46,308.79,491.54,812.22,Upgrade
28,Common Stock,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,Upgrade
29,Additional Paid-In Capital,868.81,868.81,885.39,868.81,885.39,885.39,885.39,885.39,885.39,885.39,Upgrade
30,Retained Earnings,-501.75,-494.02,-592.01,-600.34,-662.34,-681.18,-725.86,-683.57,-641.23,-637.47,Upgrade
31,Comprehensive Income & Other,67.48,80.61,80.65,118.25,117.3,125.55,117.23,102.35,69.71,82.11,Upgrade
32,Shareholders' Equity,439.43,460.29,378.92,391.61,345.25,334.66,281.65,309.07,318.76,334.92,Upgrade
33,Total Liabilities & Equity,831.03,990.86,639.17,646.93,814.22,592.67,560.12,617.85,810.3,1147,Upgrade
34,Total Debt,342.37,186.63,218,218,230,230,238.08,282.49,401.64,541.45,Upgrade
35,Net Cash (Debt),-213.75,-6.16,-143.64,-87.23,-92.3,-109.38,-122.16,-138.16,-333.65,-440.91,Upgrade
36,Net Cash Per Share,-0.44,-0.01,-0.29,-0.18,-0.19,-,-0.25,-0.28,-0.68,-0.90,Upgrade
37,Filing Date Shares Outstanding,489.17,489.17,489.17,489.17,489.17,489.17,489.17,489.17,489.17,489.17,Upgrade
38,Total Common Shares Outstanding,489.17,489.17,489.17,489.17,489.17,489.17,489.17,489.17,489.17,489.17,Upgrade
39,Working Capital,216.82,226.64,119.75,134.99,91.34,96.23,-138.01,-124.7,178.43,-100.08,Upgrade
40,Book Value Per Share,0.90,0.94,0.77,0.80,0.71,0.68,0.58,0.63,0.65,0.68,Upgrade
41,Tangible Book Value,439.43,460.29,378.92,391.61,345.25,334.66,281.65,309.07,318.76,334.92,Upgrade
42,Tangible Book Value Per Share,0.90,0.94,0.77,0.80,0.71,0.68,0.58,0.63,0.65,0.68,Upgrade
43,Machinery,-,37.28,-,36.86,-,36.71,-,36.42,-,37.01,Upgrade
44,Leasehold Improvements,-,-,-,0.14,-,0.14,-,0.14,-,0.14,Upgrade
