,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,915,1189,827,597,1008,734,734,734,841,929,1468,Upgrade
1,Market Cap Growth,99.18%,99.18%,-17.96%,-18.67%,37.33%,0%,-12.79%,-21.05%,-42.67%,-32.86%,8.70%,Upgrade
2,Enterprise Value,1128,1195,970,684,1100,845,856,1067,1175,1370,1805,Upgrade
3,Last Close Price,1.87,2.43,1.69,1.22,2.06,1.50,1.50,1.50,1.72,1.90,3.00,Upgrade
4,PE Ratio,10.14,-,7.78,8.39,12.46,40.59,-,-,-,-,-,Upgrade
5,PS Ratio,1.79,2.33,1.42,1.46,1.11,1.28,-,1.38,0.51,0.29,0.46,Upgrade
6,PB Ratio,2.08,2.71,1.80,1.57,2.57,2.13,2.19,2.61,2.72,2.92,4.38,Upgrade
7,P/TBV Ratio,2.71,2.71,1.80,1.57,2.57,2.13,2.19,2.61,2.72,2.92,4.38,Upgrade
8,P/FCF Ratio,-,-,11.21,-,139.09,102.61,-,4.14,3.03,23.97,-,Upgrade
9,P/OCF Ratio,-,-,11.15,-,134.92,99.95,-,4.14,3.03,23.72,-,Upgrade
10,EV/Sales Ratio,2.21,2.34,1.67,1.68,1.21,1.47,-,2.01,0.71,0.43,0.57,Upgrade
11,EV/EBITDA Ratio,9.47,-,10.28,-,15.67,197.96,-,-,-,293.37,224.71,Upgrade
12,EV/EBIT Ratio,9.55,-,10.30,-,15.71,201.35,-,-,-,-6.62,-,Upgrade
13,EV/FCF Ratio,-12.07,-,13.16,-,151.83,118.18,-,6.03,4.23,35.35,-,Upgrade
14,Debt / Equity Ratio,0.78,0.78,0.41,0.58,0.56,0.67,0.69,0.85,0.91,1.26,1.62,Upgrade
15,Debt / FCF Ratio,-,-,2.53,-,30.09,32.16,-,1.34,1.02,10.36,-,Upgrade
16,Return on Capital Employed (ROCE),14.67%,-,14.60%,-,12.21%,0.75%,-,-,-,-35.39%,-,Upgrade
17,Earnings Yield,9.87%,7.59%,12.86%,11.91%,8.02%,2.46%,-,-5.79%,-5.48%,-24.25%,-14.95%,Upgrade
18,FCF Yield,-10.22%,-7.86%,8.92%,-9.19%,0.72%,0.97%,-,24.14%,33.00%,4.17%,-10.16%,Upgrade
