,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,302,712,1341,844,3785,4707,5842,7968,9255,7792,4238
1,Market Cap Growth,-15.61%,-15.61%,-64.57%,-82.08%,-35.21%,-40.93%,-36.88%,2.25%,118.41%,-,-
2,Enterprise Value,4316,4775,5269,4656,7441,7945,8834,10611,11679,9582,6488
3,Last Close Price,0.62,1.46,2.75,1.73,7.80,9.70,11.98,16.34,18.98,15.98,8.21
4,PE Ratio,-,-,-,-,-,-,-,23.22,36.01,-,-
5,Forward PE,-,-,-,-,-,31.06,13.62,13.08,9.16,9.09,-
6,PS Ratio,0.13,0.31,0.55,0.35,1.50,1.51,1.56,2.36,3.10,6.65,-
7,PB Ratio,0.11,0.23,0.38,0.24,0.99,1.04,1.12,1.58,1.88,1.82,0.91
8,P/TBV Ratio,0.29,0.29,0.43,0.27,1.03,1.17,1.15,1.71,1.89,1.96,0.91
9,P/FCF Ratio,0.93,2.19,3.33,2.23,62.79,-,26.94,-,-,-,-
10,P/OCF Ratio,1.54,1.54,2.10,1.39,7.91,6.10,5.90,12.54,42.86,-,-
11,EV/Sales Ratio,1.91,2.11,2.17,1.95,2.95,2.55,2.35,3.15,3.92,8.18,-
12,EV/EBITDA Ratio,96.46,-,37.76,-117.52,-,-,23.31,16.79,20.28,58.07,-
13,EV/EBIT Ratio,-,-,-,-,-,-,47.46,23.96,30.06,153.09,-
14,EV/FCF Ratio,13.26,14.67,13.08,12.29,123.43,-,40.73,-,-,-,-
15,Debt / Equity Ratio,1.24,1.24,1.18,1.15,1.08,0.88,0.73,0.74,0.74,0.84,0.64
16,Debt / FCF Ratio,11.73,11.73,10.30,10.70,68.26,-,17.47,-,-,-,-
17,Return on Capital Employed (ROCE),-,-,-,-,-,-,2.49%,6.71%,6.19%,1.18%,-
18,Earnings Yield,-207.08%,-87.94%,-31.97%,-74.70%,-24.14%,-8.52%,0.68%,4.31%,2.78%,-0.31%,-
19,FCF Yield,107.64%,45.71%,30.03%,44.92%,1.59%,1.56%,3.71%,-2.49%,-4.10%,-2.30%,-
20,Buyback Yield / Dilution,0.05%,-,0.10%,1.64%,1.94%,0.43%,0.03%,-,-,-33.38%,-
21,Total Shareholder Return,0.05%,-,0.10%,1.64%,1.94%,0.43%,0.03%,-,-,-33.38%,-
