,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,201.57,260.97,126.34,163.9,94.14,148.28,140.8,241.04,244.41,308.39,270.07,182.25,177.25,145.54,141.38,141.38
1,Other Revenue,-,-10.39,10.39,-,23.15,-11.06,11.06,-,39.06,-20.87,20.87,-,66.73,-,11,11
2,Revenue,201.57,250.58,136.73,163.9,117.29,137.22,151.86,241.04,283.48,287.52,290.94,182.25,243.98,145.54,152.38,152.38
3,Revenue Growth (YoY),71.85%,82.61%,-9.96%,-32.00%,-58.62%,-52.27%,-47.81%,32.25%,16.19%,97.56%,90.93%,19.60%,-,-,-,-
4,Cost of Revenue,350.52,217.28,135.25,143.45,157.3,137.55,140.25,205.39,233.29,237.74,236.37,147.01,183.81,117.71,113.92,113.92
5,Gross Profit,-148.95,33.3,1.48,20.45,-40.01,-0.33,11.61,35.64,50.19,49.78,54.58,35.25,60.17,27.83,38.46,38.46
6,"Selling, General & Admin",-42.05,15,16.41,10.64,15.26,13.31,14.34,17.23,11.87,15.85,11.87,13.43,9.5,13.82,13.32,13.32
7,Research & Development,-50.56,16.5,16.69,17.37,17.79,24.96,21.16,22.24,29.85,24.21,19.96,18.76,22.14,19.82,16.21,16.21
8,Other Operating Expenses,2.77,-3.16,1.19,-0.8,4.75,0.43,-4.57,-6.57,14.35,-5.12,-2.67,-1.37,22.06,-3.65,1.56,1.56
9,Operating Expenses,-91.2,29.94,38.53,22.74,36.29,37.27,40.64,36,56.62,34.53,24.59,35.29,54.74,30,31.06,31.06
10,Operating Income,-57.75,3.36,-37.05,-2.29,-76.3,-37.6,-29.03,-0.36,-6.43,15.25,29.99,-0.04,5.43,-2.17,7.4,7.4
