,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,3974,3857,3987,4158,5423,10076,6431,8946,5418,4086,-,-,-,-,-,-,-
1,Market Cap Growth,-61.72%,-61.72%,-38.00%,-53.52%,0.08%,146.59%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4197,4080,4202,4377,5638,10291,6722,9034,6050,4718,-,-,-,-,-,-,-
3,Last Close Price,8.83,8.57,8.86,9.24,12.05,22.39,14.29,19.88,12.00,9.05,-,-,-,-,-,-,-
4,PE Ratio,-,-,-,-,-,-,-,-,86.37,73.11,-,-,-,-,-,-,-
5,PS Ratio,5.28,5.12,5.96,7.49,9.51,15.56,7.90,9.28,4.91,3.91,-,-,-,-,-,-,-
6,PB Ratio,3.77,3.23,3.33,3.43,4.34,7.98,4.77,6.48,3.78,2.85,-,-,-,-,-,-,-
7,P/TBV Ratio,3.77,3.77,3.90,4.02,5.08,9.20,5.49,7.46,4.34,3.28,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-70.98,-,-40.16,-,-,-,-52.27,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,-334.75,-,-55.85,-,-,-,-133.81,-,-,-,-,-,-,-
10,EV/Sales Ratio,5.58,5.42,6.29,7.89,9.89,15.90,8.26,9.37,5.49,4.52,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,-,-,-53.63,-,-49.89,-,-,-,91.25,71.31,-,-,-,-,-,-,-
12,EV/EBIT Ratio,-,-,-37.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-,-,-,-74.73,-,-41.02,-,-,-,-60.36,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.35,0.35,0.35,0.41,0.45,0.39,0.39,0.37,0.32,0.47,-,0.94,0.96,0.96,0.82,0.82,0.82
15,Debt / EBITDA Ratio,-,-,8.81,-,22.78,-,-,-,17.15,34.25,-,4.02,23.16,9.71,26.95,8.13,8.13
16,Debt / FCF Ratio,-,-,-,-8.48,-,-1.99,-,-,-,-8.57,-,-2.82,-,-,-,-,-
17,Asset Turnover,-,0.53,0.27,0.32,0.22,0.25,0.28,0.42,-,-,-,-,-,-,0.45,-,
18,Inventory Turnover,-,-,2.38,1.25,1.35,1.68,1.53,1.69,2.76,-,-,-,-,-,-,2.41,-
19,Quick Ratio,-,-,1.31,1.15,1.07,1.25,1.24,1.26,1.72,1.65,-,0.54,-,0.62,-,0.67,0.67
20,Current Ratio,-,-,2.09,1.93,1.82,2.00,2.09,2.21,2.65,2.12,-,1.06,-,1.06,-,1.04,1.04
21,Return on Equity (ROE),-1.26%,-4.89%,-11.82%,-4.50%,-25.86%,-10.00%,-6.86%,-0.12%,-,-,13.66%,-2.73%,16.84%,-1.09%,9.85%,-,
22,Return on Assets (ROA),-,0.44%,-4.55%,-0.28%,-9.08%,-4.29%,-3.32%,-0.04%,-,-,-,-,-,-,1.38%,-,
23,Return on Capital (ROIC),-8.97%,0.51%,-5.27%,-0.32%,-10.49%,-4.98%,-3.82%,-0.05%,-,-,5.89%,-0.01%,1.17%,-0.51%,1.73%,-,
24,Return on Capital Employed (ROCE),-,-,-8.10%,-,-,-,-,-,-,-,-,3.77%,-,2.10%,-,1.90%,0.95%
25,Earnings Yield,-1.74%,-1.79%,-3.08%,-3.42%,-2.40%,-1.17%,-0.29%,0.21%,1.16%,1.37%,-,-,-,-,-,-,-
26,FCF Yield,-,0.39%,-1.41%,-2.56%,-2.49%,-4.94%,-3.26%,-3.38%,-1.91%,-,-,-,-,-,-,-,
27,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,0.73%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,-,-,-,-,-,-,111.07%,22.12%,72.04%,28.47%,-,164.88%,-,112.67%,112.67%
29,Buyback Yield / Dilution,0.01%,0.02%,0.29%,-0.76%,0.50%,-24.67%,-25.46%,-24.88%,-24.81%,-0.16%,-,0.54%,-0.56%,-,-,-,-
30,Total Shareholder Return,0.01%,0.02%,0.29%,-0.76%,0.50%,-24.67%,-25.46%,-24.88%,-24.81%,0.57%,-,0.54%,-0.56%,-,-,-,-
