,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,145.1,168.45,327.14,429.12,255.2,148.39,228.26,897.02,-,151.36,-,172.36,-,141.59,141.59
1,Short-Term Investments,-,-,0.62,-,-,-,1.65,-,1.48,-,-,-,-,-,0.93,0.93
2,Trading Asset Securities,-,187.14,258.27,160.18,75.09,205.06,225.53,305.36,-,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,332.24,332.24,427.34,487.32,504.21,460.26,375.57,533.62,898.5,-,151.36,172.36,172.36,142.52,142.52,142.52
4,Cash Growth,-34.11%,-27.81%,13.78%,-8.68%,-43.88%,-,148.14%,209.60%,421.30%,-,6.20%,20.93%,-,-,-,-
5,Accounts Receivable,-,268.13,174.6,225.91,170.88,284.19,311.31,308.59,262.43,-,172.06,-,185.22,-,155.71,155.71
6,Other Receivables,-,1.01,30.48,0.76,28.72,2.61,57.36,2.25,51.96,-,58.4,-,57.43,-,77.26,77.26
7,Receivables,-,269.14,205.08,226.67,199.6,286.8,368.68,310.85,314.4,-,230.46,-,242.65,-,232.98,232.98
8,Inventory,-,323.22,407.55,457.2,391,356.78,360.7,303.45,292.53,-,269.75,-,231.12,-,189.43,189.43
9,Prepaid Expenses,-,-,-,-,1.35,-,-,-,4.38,-,-,-,-,-,-,-
10,Other Current Assets,-,33.44,17.13,48.98,27.82,158.5,198,154.16,47.29,-,93.83,-,65.83,-,20.56,20.56
11,Total Current Assets,-,958.03,1057,1220,1124,1262,1303,1302,1557,-,745.39,-,711.95,-,585.49,585.49
12,"Property, Plant & Equipment",-,649.11,650.35,656.49,656.46,622.08,612.86,600.75,586.14,-,575.87,-,567.78,-,576.47,576.47
13,Long-Term Investments,-,38.73,38.73,38.73,38.73,50.45,50.48,50.18,49.9,-,47.1,-,44.31,-,30.44,30.44
14,Other Intangible Assets,-,32.2,32.7,31.57,32.2,29.58,30.33,30.76,30.07,-,28.68,-,29.73,-,34.35,34.35
15,Long-Term Deferred Tax Assets,-,51.78,52.54,49.12,50.88,63.86,56.15,45.42,43.22,-,38.03,-,31.62,-,25.29,25.29
16,Long-Term Deferred Charges,-,58.58,62.81,61.12,61.21,55.98,55.13,50.73,52.74,-,49.91,-,46.99,-,26.95,26.95
17,Other Long-Term Assets,-,56.24,56.1,59.35,58.52,94.33,92.72,89.11,98.68,-,96.65,-,98.54,-,62.13,62.13
18,Total Assets,-,1845,1950,2117,2022,2179,2201,2169,2418,-,1582,-,1531,-,1341,1341
19,Accounts Payable,-,140.24,149.71,221.44,170,184.79,192.33,163.22,191.74,-,195.63,-,174.07,-,120.24,120.24
20,Accrued Expenses,-,12.28,17.62,8.56,21.05,16.85,19.36,14.31,46.47,-,26.78,-,31.46,-,22.91,22.91
21,Short-Term Debt,-,267.32,346.92,372.19,314.03,335.84,322.37,266.26,448.6,-,391.59,-,390.53,-,297.76,297.76
22,Current Portion of Long-Term Debt,-,18.82,12.73,47.3,41.5,36.66,31.61,17.07,27.61,-,61.64,-,58.68,-,36.18,36.18
23,Current Portion of Leases,-,-,9.28,-,5.94,-,4.3,-,4.41,-,6.63,-,3.02,-,2.74,2.74
24,Current Income Taxes Payable,-,2.06,0.01,0.96,0.22,1.86,0.19,1.9,3.73,-,5.53,-,5.47,-,2.08,2.08
25,Current Unearned Revenue,-,7.82,8.63,7.32,5.39,10.35,9.5,14.56,6.56,-,4.89,-,3.51,-,9.53,9.53
26,Other Current Liabilities,-,9.72,3.34,11.75,2.88,16.45,10.19,13.71,4.91,-,8.7,-,5.07,-,69.94,69.94
27,Total Current Liabilities,-,458.26,548.23,669.52,561.01,602.8,589.84,491.03,734.02,-,701.39,-,671.82,-,561.38,561.38
28,Long-Term Debt,-,111.85,111.85,118.2,118.2,134.47,134.47,159.66,167.46,-,143.28,-,137.38,-,122.9,122.9
29,Long-Term Leases,-,16.48,16.18,19.07,18.69,21.96,22.6,22.13,21.85,-,21.91,-,25.29,-,23.54,23.54
30,Long-Term Unearned Revenue,-,54.05,54.23,53.75,53.44,60.85,61.29,54.51,52.18,-,46.46,-,48.91,-,41.29,41.29
31,Long-Term Deferred Tax Liabilities,-,5.13,5.15,5.08,5.08,9.54,9.82,5.1,5.11,-,4.64,-,4.17,-,2.06,2.06
32,Other Long-Term Liabilities,-,3.23,2.31,2.2,2.68,1.73,1.19,1.42,1.59,-,1.63,-,1.61,-,1.11,1.11
33,Total Liabilities,-,649.01,737.96,867.82,759.11,831.35,819.22,733.85,982.2,-,919.32,-,889.17,-,752.29,752.29
34,Common Stock,-,450,450,450,450,450,450,450,450,-,360,-,360,-,360,360
35,Additional Paid-In Capital,-,645.8,645.8,647.02,667.21,667.21,667.21,667.21,667.21,-,22.26,-,22.26,-,22.26,22.26
36,Retained Earnings,-,-67.86,-57.87,-26.98,-18.98,54.94,84.21,132.83,128.65,-,95.36,-,72.92,-,45.49,45.49
37,Treasury Stock,-,-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,Comprehensive Income & Other,-,28.67,28.67,28.67,28.67,28.67,28.67,28.67,28.67,-,26.3,-,23.63,-,11.67,11.67
39,Total Common Equity,1055,1055,1067,1099,1127,1201,1230,1279,1275,-,503.91,478.81,478.81,439.41,439.41,439.41
40,Minority Interest,-,141.05,145.79,150.03,135.95,146.47,151.31,156.46,161.11,-,158.41,-,162.95,-,149.41,149.41
41,Shareholders' Equity,1196,1196,1212,1249,1263,1347,1381,1435,1436,-,662.32,641.76,641.76,588.83,588.83,588.83
42,Total Liabilities & Equity,-,1845,1950,2117,2022,2179,2201,2169,2418,-,1582,-,1531,-,1341,1341
43,Total Debt,414.47,414.47,496.97,556.76,498.36,528.93,515.35,465.13,669.93,-,625.05,614.91,614.91,483.12,483.12,483.12
44,Net Cash (Debt),-82.23,-82.23,-69.62,-69.44,5.85,-68.68,-139.78,68.5,228.57,-,-473.69,-442.55,-442.55,-340.6,-340.6,-340.6
45,Net Cash Growth,-,-,-,-,-97.44%,-,-,-,-,-,-,-,-,-,-,-
46,Net Cash Per Share,-0.18,-0.18,-0.15,-0.15,0.01,-0.15,-0.31,0.15,0.63,-,-1.32,-1.22,-1.23,-,-0.95,-0.95
47,Filing Date Shares Outstanding,450,450,450,450,450,450,450,450,450,360,360,362.01,360,-,360,360
48,Total Common Shares Outstanding,450,450,450,450,450,450,450,450,450,360,360,362.01,360,-,360,360
49,Working Capital,-,499.77,508.87,550.66,562.97,659.54,713.1,811.05,823.08,-,44,-,40.13,-,24.11,24.11
50,Book Value Per Share,2.34,2.34,2.37,2.44,2.50,2.67,2.73,2.84,2.83,-,1.40,1.33,1.33,1.22,1.22,1.22
51,Tangible Book Value,1022,1022,1034,1067,1095,1171,1200,1248,1244,-,475.23,449.07,449.07,405.06,405.06,405.06
52,Tangible Book Value Per Share,2.27,2.27,2.30,2.37,2.43,2.60,2.67,2.77,2.77,-,1.32,1.25,1.25,1.13,1.13,1.13
53,Buildings,-,-,215.84,-,215.84,-,186.49,-,173.07,-,176.85,-,176.3,-,212.79,212.79
54,Machinery,-,-,379.6,-,377.31,-,331.16,-,322.42,-,280.69,-,254.87,-,260.1,260.1
55,Construction In Progress,-,-,254.98,-,246.98,-,260.3,-,239.54,-,253.43,-,259.65,-,218.04,218.04
