,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Jan '20 Jan 1, 2020",+20 Quarters
0,Cash & Equivalents,153123,170853,111884,161949,96218,103212,86290,113688,124094,96426,159413,119156,73467,89539,113809,149345,72100,68331,123302,186481,Upgrade
1,Short-Term Investments,625000,525000,505000,505870,505870,505870,320870,542000,742000,862000,794800,789800,699800,837653,757685,673415,573415,632522,703124,656730,Upgrade
2,Cash & Short-Term Investments,778123,695853,616884,667819,602088,609082,407160,655688,866094,958426,954213,908956,773267,927192,871493,822760,645515,700853,826426,843211,Upgrade
3,Cash Growth,29.24%,14.25%,51.51%,1.85%,-30.48%,-36.45%,-57.33%,-27.86%,12.00%,3.37%,9.49%,10.48%,19.79%,32.29%,5.45%,-2.43%,-9.05%,-9.02%,25.41%,14.03%,Upgrade
4,Accounts Receivable,341054,327853,337785,225046,305402,284936,282681,103533,286649,295096,256625,67517,160897,234939,228511,61726,237605,265526,213662,82670,Upgrade
5,Other Receivables,11769,4480,36104,30847,19777,8051,17241,27282,42536,23344,23577,31257,41524,31958,39185,28968,28081,29305,32833,30823,Upgrade
6,Receivables,352824,332333,373889,255893,325179,292986,299921,130815,329184,318440,280202,98774,202421,266897,267697,90695,265687,294831,246495,113493,Upgrade
7,Inventory,689432,638338,663131,643252,568580,542715,584064,759924,848043,882125,832752,673629,845288,724917,598415,690615,578260,511569,681169,737094,Upgrade
8,Prepaid Expenses,6073,4814,6849,4821,8857,5158,6810,7620,9221,7088,8019,5388,5686,4706,6604,6816,4309,2926,4560,2828,Upgrade
9,Other Current Assets,190355,200626,183492,154401,140933,130311,140414,109643,104506,152179,130821,111616,105651,99486,96546,117287,81801,63313,70453,74844,Upgrade
10,Total Current Assets,2016807,1871964,1844245,1726186,1645637,1580253,1438370,1663690,2157047,2318257,2206008,1798363,1932313,2023197,1840755,1728172,1575572,1573492,1829104,1771470,Upgrade
11,"Property, Plant & Equipment",416646,394775,399012,411353,426720,435353,442225,460556,398487,374006,384806,375183,374268,367774,358153,369329,380237,387728,394062,394416,Upgrade
12,Long-Term Investments,32500,32500,32500,32500,32500,32500,32500,32500,32500,32500,32500,32500,32500,32500,32500,32500,32500,32500,32500,32500,Upgrade
13,Other Intangible Assets,8898,8303,8019,7715,199203,200599,202006,7863,204860,206292,207718,209141,210572,212265,214017,215773,217542,218912,220639,222365,Upgrade
14,Long-Term Accounts Receivable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2230,Upgrade
15,Long-Term Deferred Tax Assets,2860,2860,3431,3431,3414,3414,3267,3267,3452,3452,3499,3499,3609,3609,3751,3751,5530,6345,6030,6030,Upgrade
16,Other Long-Term Assets,247632,250016,251180,252320,54131,51374,52794,248714,51289,48685,49211,49948,47127,47400,49414,50705,40318,46037,47359,53732,Upgrade
17,Total Assets,2725343,2560418,2538387,2433506,2361607,2303493,2171162,2416590,2847636,2983191,2883743,2468635,2600390,2686745,2498591,2400230,2251700,2265014,2529693,2482744,Upgrade
18,Accounts Payable,208709,139363,219490,212941,121947,180276,144351,85499,154816,213326,229747,153936,230299,153594,145299,136175,112388,99321,211579,219520,Upgrade
19,Accrued Expenses,253702,192922,172679,146658,238200,187478,153067,145197,289432,290021,209748,158901,265523,248290,199577,133007,219998,196342,96340,107600,Upgrade
20,Short-Term Debt,1205520,1192221,1132600,1047378,985123,920143,876643,1117707,1371506,1450585,1403343,1109070,1180940,1356281,1264591,1200610,1052337,1137790,1411920,1335990,Upgrade
21,Current Portion of Long-Term Debt,3505,7505,11505,15505,16500,17000,18900,20800,22200,23600,23600,22700,19500,20190,21500,21895,22863,20000,20000,20000,Upgrade
22,Current Portion of Leases,6569,7101,7840,8864,9957,10519,10873,10942,10942,11773,9770,8070,4496,4550,3958,3595,-,-,-,-,Upgrade
23,Current Income Taxes Payable,7832,7824,7884,10527,13588,15383,6817,11127,22986,13398,10846,18847,16058,19578,9384,7722,16525,13368,6351,13221,Upgrade
24,Other Current Liabilities,62966,21129,17353,25550,38461,17220,17398,56775,21114,21885,71187,75316,28054,26554,20008,98458,21621,42551,17645,39347,Upgrade
25,Total Current Liabilities,1748804,1568065,1569351,1467423,1423777,1348020,1228050,1448047,1892996,2024589,1958241,1546841,1744870,1829035,1664316,1601463,1445732,1509373,1763835,1735680,Upgrade
26,Long-Term Debt,-,-,-,-,3505,7505,11505,15505,20005,24505,30405,36305,45005,49505,54400,59005,73507,71153,67813,71505,Upgrade
27,Long-Term Leases,14778,16420,18062,19705,21347,23521,25902,28569,31304,33128,31026,29849,9760,8621,8976,9045,-,-,-,-,Upgrade
28,Other Long-Term Liabilities,1910,1910,1910,1910,1910,1910,1410,1410,1410,1503,1503,1503,1410,1410,420,420,420,420,420,7121,Upgrade
29,Total Liabilities,1765491,1586394,1589323,1489037,1450538,1380956,1266867,1493530,1945715,2083724,2021175,1614497,1801045,1888570,1728113,1669933,1519659,1580945,1832068,1814306,Upgrade
30,Common Stock,464717,464717,464717,464717,464717,464717,464717,464717,464717,464717,464717,464717,464717,464717,464717,464717,464717,464717,464717,464717,Upgrade
31,Additional Paid-In Capital,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,Upgrade
32,Retained Earnings,493550,507722,482762,478166,444767,456236,437994,456758,435619,433165,396266,387836,333043,331873,304176,263995,265739,217767,231324,202137,Upgrade
33,Comprehensive Income & Other,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
34,Total Common Equity,959852,974023,949064,944468,911069,922538,904296,923060,901921,899467,862568,854138,799345,798174,770478,730297,732041,684069,697626,668439,Upgrade
35,Shareholders' Equity,959852,974023,949064,944468,911069,922538,904296,923060,901921,899467,862568,854138,799345,798174,770478,730297,732041,684069,697626,668439,Upgrade
36,Total Liabilities & Equity,2725343,2560418,2538387,2433506,2361607,2303493,2171162,2416590,2847636,2983191,2883743,2468635,2600390,2686745,2498591,2400230,2251700,2265014,2529693,2482744,Upgrade
37,Total Debt,1230372,1223247,1170007,1091451,1036432,978688,943823,1193522,1455957,1543591,1498144,1205993,1259701,1439146,1353425,1294150,1148708,1228943,1499732,1427495,Upgrade
38,Net Cash (Debt),-452249,-527394,-553123,-423633,-434344,-369606,-536663,-537834,-589863,-585166,-543930,-297037,-486433,-511954,-481932,-471391,-503193,-528090,-673306,-584284,Upgrade
39,Net Cash Per Share,-8750.82,-11362.97,-13386.00,-8207.59,-8414.11,-7940.46,-13010.96,-10424.30,-11429.99,-12577.30,-13175.67,-5750.13,-9427.09,-11007.57,-11667.27,-9137.50,-9737.38,-11388.72,-16275.58,-11311.64,Upgrade
40,Filing Date Shares Outstanding,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,Upgrade
41,Total Common Shares Outstanding,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,46.47,Upgrade
42,Working Capital,268003,303899,274894,258763,221861,232233,210320,215643,264052,293668,247767,251522,187443,194162,176439,126710,129840,64119,65269,35791,Upgrade
43,Book Value Per Share,20654.55,20959.49,20422.41,20323.51,19604.81,19851.60,19459.06,19862.83,19407.96,19355.15,18561.15,18379.75,17200.68,17175.49,16579.50,15714.86,15752.40,14720.11,15011.84,14383.78,Upgrade
44,Tangible Book Value,950954,965720,941045,936753,711865,721938,702289,915197,697061,693175,654850,644997,588773,585910,556461,514524,514499,465157,476987,446073,Upgrade
45,Tangible Book Value Per Share,20463.08,20780.83,20249.85,20157.49,15318.26,15535.01,15112.19,19693.65,14999.68,14916.07,14091.36,13879.35,12669.48,12607.88,11974.18,11071.76,11071.22,10009.47,10264.03,9598.82,Upgrade
46,Buildings,212031,211864,211864,211864,210947,210871,210871,211393,210871,210504,210489,202072,200756,197218,193797,193797,179171,179171,179171,178445,Upgrade
47,Machinery,1074230,1037797,1029924,1024248,1026424,1005691,999419,999419,986445,967812,956908,941202,906648,906648,885408,884862,883463,875745,858226,853951,Upgrade
48,Construction In Progress,101529,83152,92069,87039,88529,96633,88551,85393,14513,30040,32512,36108,52987,30940,46086,40256,49931,53703,59309,45525,Upgrade
