,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,219,304,528,528,392,360,408,310,270,-,-
1,Market Cap Growth,-42.42%,-42.42%,34.69%,46.67%,-3.92%,15.98%,50.89%,-,-,-,-
2,Enterprise Value,66,183,363,373,261,271,335,204,242,-,-
3,Last Close Price,0.14,0.19,0.33,0.33,0.24,0.23,0.26,0.19,0.17,-,-
4,PE Ratio,19.76,27.98,20.19,18.22,11.95,10.57,9.90,5.47,5.65,-,-
5,PS Ratio,0.15,0.21,0.39,0.49,0.41,0.38,0.41,0.35,0.43,-,-
6,PB Ratio,0.69,0.96,1.68,1.72,1.36,1.30,1.57,1.24,1.19,-,-
7,P/TBV Ratio,0.96,0.96,1.68,1.72,1.36,1.30,1.57,1.24,1.19,-,-
8,P/FCF Ratio,-,-23.31,-,16.51,6.51,4.54,34.83,-,-,-,-
9,P/OCF Ratio,-,-47.12,-,15.71,6.08,4.22,24.58,-,9.16,-,-
10,EV/Sales Ratio,0.05,0.13,0.27,0.35,0.27,0.28,0.34,0.23,0.38,-,-
11,EV/EBITDA Ratio,2.90,9.54,6.32,6.15,5.90,6.27,5.62,2.73,5.04,-,-
12,EV/EBIT Ratio,7.91,-,7.82,7.56,8.03,8.63,6.90,3.16,6.00,-,-
13,EV/FCF Ratio,-5.03,-14.00,-,11.65,4.33,3.42,28.62,-,-,-,-
14,Debt / Equity Ratio,0.07,0.07,0.08,0.07,0.11,0.14,0.13,0.10,0.07,0.11,0.23
15,Debt / FCF Ratio,-,-1.79,-,0.64,0.54,0.48,2.88,-,-,0.28,0.63
16,Return on Capital Employed (ROCE),2.60%,-,14.63%,15.90%,11.15%,11.12%,18.33%,24.94%,17.33%,28.77%,42.95%
17,Earnings Yield,4.96%,3.57%,4.95%,5.49%,8.37%,9.46%,10.11%,18.27%,17.70%,-,-
18,FCF Yield,-5.95%,-4.29%,-3.78%,6.06%,15.35%,22.01%,2.87%,-7.94%,1.52%,-,-
19,Buyback Yield / Dilution,-0.06%,-0.04%,-0.08%,-0.24%,1.87%,2.22%,2.89%,-33.33%,-21.02%,-,-
20,Total Shareholder Return,-0.06%,-0.04%,-0.08%,-0.24%,1.87%,2.22%,2.89%,-33.33%,-21.02%,-,-
