,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Revenue,644.49,811.43,555.51,516.75,439.75,515.13,479.11,414.95,219.49,284.78
1,Revenue Growth (YoY),16.02%,57.02%,26.33%,0.31%,-8.22%,24.14%,118.28%,45.71%,-32.34%,-
2,Cost of Revenue,632.89,778.59,507.26,477.75,407.1,476.46,431.02,369.83,197.24,247.52
3,Gross Profit,11.6,32.84,48.25,39,32.64,38.67,48.09,45.13,22.26,37.26
4,"Selling, General & Admin",15.86,20.28,14.41,23.54,15.62,24.29,13.87,14.92,12.18,14.51
5,Operating Expenses,15.86,20.28,14.41,23.54,15.62,24.29,13.87,14.92,12.18,14.51
6,Operating Income,-4.27,12.56,33.84,15.46,17.02,14.38,34.22,30.21,10.08,22.75
7,Interest Expense,-0.5,-0.63,-0.66,-1.02,-0.76,-0.56,-0.3,-0.2,-0.39,-0.31
8,Interest & Investment Income,1.16,1.06,0.48,0.46,0.04,0.02,0.01,0.03,0.09,0.11
9,Currency Exchange Gain (Loss),-,-,-,-,-,0.11,-,-,-,-
10,Other Non Operating Income (Expenses),1.03,-0.65,1.21,0.88,0.27,0.38,0.67,0.5,0.64,0.49
11,EBT Excluding Unusual Items,-2.58,12.33,34.86,15.77,16.58,14.33,34.59,30.54,10.42,23.03
12,Gain (Loss) on Sale of Investments,6.94,-1.76,-12.33,-2.01,0.01,-0.77,-,-,-,-
13,Gain (Loss) on Sale of Assets,0.05,-0.01,0.62,0.48,0.31,0.18,0.27,0.64,0.87,0.84
14,Other Unusual Items,-,-,-,-,7.23,0,-,4.32,10.24,-
15,Pretax Income,4.42,10.56,23.16,14.24,24.13,13.74,34.86,35.5,21.54,23.87
16,Income Tax Expense,2.07,2.04,5.52,2.89,2.69,1.13,6.25,7.4,1.76,5.14
17,Net Income,2.35,8.52,17.63,11.35,21.44,12.62,28.61,28.1,19.77,18.73
18,Net Income to Common,2.35,8.52,17.63,11.35,21.44,12.62,28.61,28.1,19.77,18.73
19,Net Income Growth,-86.67%,-24.96%,-17.76%,-10.05%,-25.06%,-55.10%,44.71%,50.00%,-8.95%,-
20,Shares Outstanding (Basic),1567,1567,1566,1566,1563,1598,1600,1646,1200,1360
21,Shares Outstanding (Diluted),1569,1570,1568,1568,1564,1598,1600,1646,1200,1360
22,Shares Change (YoY),0.04%,0.08%,0.24%,-1.87%,-2.22%,-2.89%,33.33%,21.02%,-,-
23,EPS (Basic),0.00,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01
24,EPS (Diluted),0.00,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01
25,EPS Growth,-86.61%,-24.63%,-18.26%,-8.69%,-23.39%,-53.77%,8.54%,23.95%,-8.95%,-
26,Free Cash Flow,28.95,-41.99,22.04,9.94,50.25,29,-17.29,-7.36,11.48,33.29
27,Free Cash Flow Per Share,0.02,-0.03,0.01,0.01,0.03,0.02,-0.01,-0.00,0.01,0.02
28,Operating Margin,-0.66%,1.55%,6.09%,2.99%,3.87%,2.79%,7.14%,7.28%,4.59%,7.99%
29,Profit Margin,0.36%,1.05%,3.17%,2.20%,4.88%,2.45%,5.97%,6.77%,9.01%,6.58%
30,Free Cash Flow Margin,4.49%,-5.17%,3.97%,1.92%,11.43%,5.63%,-3.61%,-1.77%,5.23%,11.69%
31,EBITDA,1.18,17.96,39.44,21.18,23.01,20.21,39.41,35.1,12.85,25.11
32,D&A For EBITDA,5.45,5.41,5.6,5.72,5.99,5.83,5.19,4.89,2.76,2.36
33,EBIT,-4.27,12.56,33.84,15.46,17.02,14.38,34.22,30.21,10.08,22.75
