,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jan '24 Jan 1, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,5878,8517,10340,50667,71371,6210,4843,3788,3995,4038,8260,-,3681,6789,2539,10367,7620,16010,20411,41818,Upgrade
1,Short-Term Investments,-,-,-,-,-,-,-,19000,-,-,-,-,-,-,-,-,5400,-,-,-,Upgrade
2,Cash & Short-Term Investments,5878,8517,10340,50667,71371,6210,4843,22788,3995,4038,8260,3681,3681,6789,2539,10367,13020,16010,20411,41818,Upgrade
3,Cash Growth,-91.76%,37.16%,113.49%,122.34%,1686.50%,53.79%,-41.37%,519.05%,8.53%,-40.52%,225.31%,-64.49%,-71.73%,-57.60%,-87.56%,-75.21%,463.67%,102.89%,234.78%,904.97%,Upgrade
4,Accounts Receivable,77002,147048,28379,45080,40202,123915,127335,43582,65914,149679,14059,-,83599,115519,40674,22640,13167,232570,53510,149538,Upgrade
5,Other Receivables,1067,2915,4196,5988,70702,3938,5915,9087,79289,4455,7614,-,46175,3516,6421,1292,118077,1199,2328,2077,Upgrade
6,Receivables,78069,149963,32575,51068,110904,127853,133249,52669,145203,154134,21673,-,129774,119035,47094,23932,131244,233769,55837,151615,Upgrade
7,Inventory,117434,191640,248839,52382,93153,90741,107452,30073,40274,133050,240189,-,59832,202526,257938,103182,70804,86077,230971,132827,Upgrade
8,Prepaid Expenses,1548,2596,5623,621.76,1715,2273,3073,997.53,1400,2373,3004,-,918.45,1816,2253,219.39,372.51,981.3,6635,3252,Upgrade
9,Other Current Assets,24869,21760,20897,18589,21750,19589,19661,17903,18046,20584,19927,-,19416,19042,18040,17140,18001,18013,19602,21883,Upgrade
10,Total Current Assets,227798,374476,318273,173327,298893,246665,268279,124431,208918,314179,293053,-,213621,349208,327865,154839,233443,354850,333456,351396,Upgrade
11,"Property, Plant & Equipment",41320,43115,44777,46720,50064,51900,55209,56120,59528,62744,66554,-,76220,81628,87051,90967,97099,103093,105092,100072,Upgrade
12,Long-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2435,5400,-,6750,6750,6750,Upgrade
13,Other Intangible Assets,1110,1171,1231,1292,1362,1158,848.39,872.45,896.51,922.48,952.07,-,621.46,626.99,632.53,638.06,643.6,649.13,654.67,660.2,Upgrade
14,Other Long-Term Assets,25331,21754,21691,20745,22054,19710,21217,20418,20923,20677,20526,-,21533,20410,21193,22714,24315,25046,26481,27484,Upgrade
15,Total Assets,295560,440516,385972,242083,372373,319434,345553,201841,290266,398524,381085,-,311995,451872,439177,274558,355500,490387,472434,486362,Upgrade
