,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,5276,6083,4520,6789,11266,9887,13176,16189,12459,7957,6105,3757,1803,967.52,512.16
1,Other Revenue,-178.49,178.49,-,240.12,-115.91,115.91,-,80.81,-28.74,28.74,-,14.52,6.83,6.37,-
2,Revenue,5098,6262,4520,7029,11150,10003,13176,16270,12430,7986,6105,3772,1810,973.89,512.16
3,Revenue Growth (YoY),-54.28%,-37.40%,-65.69%,-56.79%,-10.30%,25.26%,115.81%,331.36%,586.80%,719.97%,1092.04%,-,-,-,-
4,Cost of Revenue,4707,5740,4181,7128,10304,8615,12481,14739,11421,6827,4623,2747,1338,719.74,405.24
5,Gross Profit,390.2,521.67,339.43,-99.03,845.49,1388,694.86,1531,1009,1159,1482,1025,471.59,254.15,106.93
6,"Selling, General & Admin",115.77,107.41,82.93,90.85,82.58,121.47,80.29,111.28,69,92.17,56.37,51.91,40.64,26.31,20.88
7,Research & Development,76.09,92.17,38.43,65.15,64.47,179.18,49.36,125.57,136.66,110.73,82.99,29.78,13.59,17.73,19.25
8,Other Operating Expenses,9.74,6.18,15.52,53.78,-2.42,31.52,13.02,77.01,35.25,19.72,39.78,31.88,7.19,3.49,2.6
9,Operating Expenses,191.64,224.98,107.81,151.93,193,264.79,127.51,289.98,420.66,246.12,224.36,182.21,91.17,46.2,43.57
10,Operating Income,198.57,296.69,231.62,-250.97,652.49,1123,567.35,1241,588.19,912.73,1258,842.71,380.42,207.95,63.36
11,Interest Expense,-14.36,-41.49,-43.02,-46.58,-25.49,-64.02,-75.42,-82.41,-71.08,-52.17,-47.73,-26.03,-17.7,-12.65,-6.65
12,Interest & Investment Income,84.51,6.82,7.54,13.02,139.44,13.78,11.71,4.6,2.33,3.9,0.59,1,2.32,-,1.12
13,Currency Exchange Gain (Loss),3.77,-3.77,-,0.06,-0.18,0.18,-,-0.05,0.08,-0.08,-,-0,-,-,-
14,Other Non Operating Income (Expenses),-122.58,13.58,-4.55,-40.76,-110.99,-51.2,-1.78,-59.85,3.71,-48.59,-3.73,-12.69,-10.54,-0.38,-0.31
15,EBT Excluding Unusual Items,149.9,271.83,191.59,-325.22,655.26,1022,501.86,1103,523.22,815.78,1207,804.98,354.49,194.93,57.51
16,Gain (Loss) on Sale of Investments,-2.57,-3.99,-5.07,-9.43,-0.17,-14.44,-30.54,-24.79,-18.68,-15.59,-17.65,-3.8,-3.21,0.71,-
17,Gain (Loss) on Sale of Assets,-6.56,0,-0,3.36,-,-,-,-,-,-,-,-,-,-,-
18,Asset Writedown,-20.58,-5.19,-,313.33,-314.01,130,-132.75,-49.71,47.4,-47.18,-0.04,-8.28,0.74,-2.94,-0
19,Other Unusual Items,9.85,7.97,8.02,75.36,-,-,-,22.79,-,-,-,9.73,-,-3.25,3.25
20,Pretax Income,130.04,270.62,194.55,57.4,341.08,1138,338.57,1051,551.95,753.02,1190,802.63,352.03,189.44,60.77
21,Income Tax Expense,29.81,40.47,35.84,18.67,37.82,180.24,57.45,162.82,67.24,124.37,185.34,135.37,53.79,24.43,7.15
22,Earnings From Continuing Operations,100.23,230.15,158.71,38.73,303.27,957.39,281.12,888.62,484.7,628.64,1004,667.26,298.23,165.01,53.62
23,Minority Interest in Earnings,1.17,0.38,-0.05,0.18,-0.01,-0.06,0.01,0.98,0.04,-0,-,-,-,-,-
24,Net Income,101.4,230.53,158.66,38.91,303.26,957.33,281.14,889.6,484.74,628.64,1004,667.26,298.23,165.01,53.62
25,Net Income to Common,101.4,230.53,158.66,38.91,303.26,957.33,281.14,889.6,484.74,628.64,1004,667.26,298.23,165.01,53.62
26,Net Income Growth,-66.56%,-75.92%,-43.56%,-95.63%,-37.44%,52.28%,-72.00%,33.32%,62.54%,280.98%,1772.93%,-,-,-,-
27,Shares Outstanding (Basic),738,771,756,759,750,829,562,571,569,567,567,573,563,545,596
28,Shares Outstanding (Diluted),738,771,756,759,750,829,562,571,569,567,567,573,563,545,596
29,Shares Change (YoY),-1.56%,-7.06%,34.37%,32.99%,31.71%,46.36%,-0.90%,-0.44%,1.16%,3.87%,-4.77%,-,-,-,-
30,EPS (Basic),0.14,0.30,0.21,0.05,0.40,1.15,0.50,1.56,0.85,1.11,1.77,1.16,0.53,0.30,0.09
31,EPS (Diluted),0.14,0.30,0.21,0.05,0.40,1.15,0.50,1.56,0.85,1.11,1.77,1.16,0.53,0.30,0.09
32,EPS Growth,-66.03%,-74.09%,-58.00%,-96.71%,-52.50%,4.05%,-71.75%,33.91%,60.67%,266.79%,1866.67%,-,-,-,-
33,Free Cash Flow,-828.72,34.01,-500.34,-1021,156.55,496.5,-1808,-738.45,-1882,-1372,-895.17,-575.12,-411.67,-322.7,-89.58
34,Free Cash Flow Per Share,-1.12,0.04,-0.66,-1.35,0.21,0.60,-3.21,-1.29,-3.31,-2.42,-1.58,-1.00,-0.73,-0.59,-0.15
35,Dividend Per Share,-,-,-,0.418,-,-,-,0.398,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,5.03%,-,-,-,-,-,-,-,-,-,-,-
