,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,1081,1918,1436,1889,2943,2277,3856,1045,899.03,905.93,-,488.02,-,405,631.96
1,Trading Asset Securities,-,-,-,-,-,-,-,-,-,-,-,-,-,0.44,8.44
2,Cash & Short-Term Investments,1081,1918,1436,1889,2943,2277,3856,1045,899.03,905.93,488.02,488.02,-,405.44,640.4
3,Cash Growth,-63.26%,-15.74%,-62.77%,80.71%,227.35%,151.31%,690.14%,114.19%,-,123.44%,-23.79%,-,-,-,-
4,Accounts Receivable,8895,8803,8162,9253,8126,9749,13269,10434,9159,6143,-,3082,-,1229,490.69
5,Other Receivables,215.03,236.7,273.9,213.77,187.52,218.41,193.18,222.49,172.91,326.39,-,83.86,-,85.71,26.73
6,Receivables,9110,9040,8436,9467,8314,9968,13462,10657,9331,6469,-,3166,-,1314,517.43
7,Inventory,2526,2220,2001,1325,2500,3175,1700,4971,4874,4107,-,899.22,-,397.34,179.54
8,Other Current Assets,1328,1075,1652,1495,1398,1316,1125,1408,1484,932.45,-,736.1,-,167.61,218.07
9,Total Current Assets,14045,14253,13525,14176,15155,16736,20144,18082,16589,12415,-,5289,-,2285,1555
10,"Property, Plant & Equipment",12224,11445,11399,11392,10808,9914,8096,7477,6955,5948,-,3062,-,2097,1488
11,Long-Term Investments,33.36,35.02,39.09,41.43,50.55,36.14,37.95,37.2,11.38,11.38,-,-,-,-,-
12,Goodwill,180.24,180.24,180.24,180.24,180.24,180.24,180.24,180.24,180.24,180.24,-,180.24,-,180.24,180.24
13,Other Intangible Assets,914.8,895.02,898.63,896.18,903.74,558.16,548.75,550.58,309.25,313.42,-,167.41,-,135.53,125.73
14,Long-Term Deferred Tax Assets,101.68,108.51,96.73,103.33,116.88,87.93,125.09,107.62,54.71,38.5,-,26.81,-,6.22,5.59
15,Long-Term Deferred Charges,3.87,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,Other Long-Term Assets,23.67,23.67,10.69,5.43,-,13.23,-,-,-,-,-,-,-,-,-
17,Total Assets,27527,26941,26149,26795,27214,27526,29132,26434,24099,18907,-,8726,-,4704,3355
18,Accounts Payable,8602,8235,7723,9357,9444,6641,9643,11392,8658,6136,-,2482,-,810.16,875.78
19,Accrued Expenses,149.19,231.12,152.94,248.99,241.63,358.53,195.53,377.3,264.55,264.67,-,131.05,-,62.55,25.47
20,Short-Term Debt,1719,1487,1237,900.23,850.71,1221,1972,2466,2463,1833,-,1193,-,435.21,324.4
21,Current Portion of Long-Term Debt,1233,675.36,661.29,1111,1246,1200,1131,584.76,296.48,168.34,-,116.15,-,8.01,-
22,Current Income Taxes Payable,165.08,34.58,92.26,32.27,138.74,146.31,190.23,248.1,167.43,133.79,-,156.19,-,15.97,1.51
23,Current Unearned Revenue,13.54,235.37,452.37,453.39,455.62,651.8,1234,1098,746.27,914.93,-,724.03,-,144.98,2.34
24,Other Current Liabilities,611.72,754.31,555.46,366.22,496.93,2964,440.31,581.87,2653,2187,-,312.37,-,584.66,43.09
25,Total Current Liabilities,12493,11653,10874,12469,12874,13182,14806,16748,15249,11639,-,5114,-,2062,1273
26,Long-Term Debt,3269,3590,3533,2601,2569,2769,3426,3271,3138,1846,-,273.24,-,127.17,131.19
27,Long-Term Leases,3,2.97,-,-,-,-,-,-,-,-,-,-,-,-,-
28,Long-Term Unearned Revenue,233.63,243.84,254.05,255.31,189.92,146.37,106.14,38.21,34.35,32.62,-,12.72,-,13.14,11.12
29,Long-Term Deferred Tax Liabilities,5.84,17.26,9.45,3.72,3.97,4.25,4.52,4.8,5.08,5.35,-,5.9,-,6.46,6.73
30,Other Long-Term Liabilities,-,-,-,150.09,300.44,451.04,505.36,657.46,846.5,1043,-,613,-,754.69,348.2
31,Total Liabilities,16004,15507,14670,15479,15937,16553,18848,20720,19274,14566,-,6019,-,2963,1770
32,Common Stock,757.25,757.25,757.25,757.25,757.25,757.25,757.25,567.94,567.94,567.94,-,567.94,-,567.94,567.94
33,Additional Paid-In Capital,5051,5026,5026,5026,5026,5026,5026,926.35,926.35,926.35,-,926.35,-,926.35,926.35
34,Retained Earnings,5673,5572,5658,5499,5460,5157,4501,4220,3330,2845,-,1212,-,246.22,91.17
35,Comprehensive Income & Other,7.68,44.19,5.6,0.7,0.64,-,-,-,-,-,-,-,-,-,-
36,Total Common Equity,11489,11399,11446,11282,11243,10940,10284,5714,4824,4340,2707,2707,-,1741,1585
37,Minority Interest,33.9,35.08,33.41,33.36,33.54,33.53,0.47,0.48,1.46,1.5,-,-,-,-,-
38,Shareholders' Equity,11523,11434,11479,11316,11277,10973,10284,5714,4826,4341,2707,2707,-,1741,1585
39,Total Liabilities & Equity,27527,26941,26149,26795,27214,27526,29132,26434,24099,18907,-,8726,-,4704,3355
40,Total Debt,6224,5755,5431,4612,4666,5190,6529,6322,5898,3847,1582,1582,-,570.39,455.59
41,Net Cash (Debt),-5142,-3837,-3995,-2723,-1723,-2913,-2673,-5277,-4999,-2941,-1094,-1094,-,-164.95,184.81
