,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,29828,28397,23823,24308,25709,27594,33327,32259,-,-,-,-,-,-,-,-
1,Market Cap Growth,2.91%,2.91%,-28.52%,-24.65%,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,35004,32269,27852,26064,27465,30541,36000,37259,-,-,-,-,-,-,-,-
3,Last Close Price,39.39,37.50,31.46,31.74,33.57,36.03,43.52,41.74,-,-,-,-,-,-,-,-
4,PE Ratio,56.22,53.63,32.57,16.67,16.26,11.35,12.76,14.12,-,-,-,-,-,-,-,-
5,Forward PE,25.41,32.24,20.04,9.88,10.97,11.68,14.82,11.23,-,-,-,-,-,-,-,-
6,PS Ratio,1.30,1.24,0.82,0.74,0.62,0.55,0.64,0.65,-,-,-,-,-,-,-,-
7,PB Ratio,2.60,2.46,2.08,2.12,2.27,2.45,3.04,3.14,-,-,-,-,-,-,-,-
8,P/TBV Ratio,2.73,2.73,2.31,2.34,2.52,2.72,3.27,3.38,-,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-17.90,-,-,-14.58,-8.48,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,32.86,-,-,471.60,-19.47,-,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,1.53,1.41,0.96,0.80,0.66,0.60,0.69,0.75,-,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,18.11,19.19,13.84,9.72,9.49,7.16,8.78,9.92,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,73.55,67.81,29.95,14.84,-,8.52,10.23,11.26,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,-15.11,-,-20.93,-,-,-16.13,-9.16,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.54,0.54,0.50,0.47,0.41,0.41,0.47,0.63,1.11,1.22,0.89,0.58,0.58,-,0.33,0.29
16,Debt / EBITDA Ratio,3.22,3.30,2.10,2.69,53.42,1.45,0.96,2.27,1.14,2.31,0.95,0.30,0.44,-,0.57,1.26
17,Debt / FCF Ratio,-,-,-4.32,-,-,-2.46,-1.32,-,-,-,-,-,-,-,-,-
18,Asset Turnover,0.75,0.94,0.68,1.04,1.63,1.41,1.90,2.58,2.31,-,-,-,-,0.97,-,
19,Inventory Turnover,8.66,7.94,10.88,10.06,14.91,14.52,14.14,14.97,11.98,10.17,-,-,-,-,9.98,-
20,Quick Ratio,0.82,0.82,0.94,0.91,0.91,0.87,0.93,1.17,0.70,0.67,0.63,-,0.71,-,0.83,0.91
21,Current Ratio,1.12,1.12,1.22,1.24,1.14,1.18,1.27,1.36,1.08,1.09,1.07,-,1.03,-,1.11,1.22
22,Return on Equity (ROE),3.49%,8.04%,5.57%,1.37%,10.90%,36.03%,14.06%,67.45%,42.30%,71.36%,148.40%,-,-,39.69%,-,
23,Return on Assets (ROA),1.82%,2.79%,2.19%,-2.32%,5.96%,9.91%,5.10%,12.28%,6.84%,-,-,-,-,12.90%,-,
24,Return on Capital (ROIC),2.84%,4.35%,3.53%,-3.94%,10.16%,17.03%,9.83%,27.26%,15.55%,36.58%,73.34%,-,-,23.89%,-,
25,Return on Capital Employed (ROCE),3.17%,3.17%,6.08%,11.50%,-,24.99%,24.54%,23.10%,41.29%,40.70%,46.70%,-,41.38%,-,10.27%,3.04%
26,Earnings Yield,1.78%,1.86%,3.07%,6.00%,6.15%,8.81%,7.84%,7.08%,-,-,-,-,-,-,-,-
27,FCF Yield,-7.76%,-8.16%,-5.59%,-3.57%,-8.46%,-6.86%,-11.80%,-17.98%,-,-,-,-,-,-,-,-
28,Dividend Yield,1.07%,-,-,-,1.25%,-,-,-,-,-,-,-,-,-,-,-
29,Payout Ratio,88.44%,36.18%,154.59%,22.89%,100.02%,14.10%,36.89%,21.41%,6.79%,9.33%,4.16%,1.68%,1.51%,2.33%,3.56%,9.30%
30,Buyback Yield / Dilution,-11.48%,1.56%,7.06%,-34.37%,-32.99%,-31.71%,-46.36%,0.90%,0.44%,-1.16%,-3.87%,4.77%,-,-,-,-
31,Total Shareholder Return,-10.41%,1.56%,7.06%,-34.37%,-31.74%,-31.71%,-46.36%,0.90%,0.44%,-1.16%,-3.87%,4.77%,-,-,-,-
