,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,1529495,1013080,1125936,1064682,1419030,1213881,713822,378093,914658,1255055,1549806,1792196,2269923,1302621,3563156,2953686,1013863,796964,343103,601743,Upgrade
1,Revenue Growth (YoY),7.78%,-16.54%,57.73%,181.59%,55.14%,-3.28%,-53.94%,-78.90%,-59.71%,-3.65%,-56.50%,-39.32%,123.89%,63.45%,938.51%,390.86%,-49.70%,-45.31%,-59.27%,-59.84%,Upgrade
2,Cost of Revenue,760886,508025,587252,592201,758735,620276,423718,211715,455526,573634,756854,755673,1146576,520103,1607618,1217294,496093,161240,-5532,237794,Upgrade
3,Gross Profit,768609,505055,538684,472481,660295,593605,290104,166378,459131,681421,792952,1036523,1123346,782518,1955537,1736391,517770,635723,348635,363949,Upgrade
4,"Selling, General & Admin",357518,270995,286022,217762,333209,264002,208020,171304,699236,460720,546850,432999,850383,432992,890360,711381,438693,249540,120517,205778,Upgrade
5,Operating Expenses,357518,270995,286022,217762,333209,264002,208020,171304,699236,460720,546850,432999,850383,432992,890360,711381,438693,249540,120517,205778,Upgrade
6,Operating Income,411091,234059,252662,254719,327086,329603,82084,-4926,-240105,220702,246102,603524,272964,349526,1065177,1025011,79078,386184,228119,158171,Upgrade
7,Interest Expense,-116356,-94245,-94390,-115309,-121261,-143437,-143735,-140491,-163331,-105184,-114161,-103291,-128436,-142262,-145024,-116117,-84572,-94630,-6305,-51550,Upgrade
8,Interest & Investment Income,21531,12880,4498,8341,23435,7177,26484,18485,18354,21345,24100,21679,39395,42820,31879,9169,23519,10639,26919,25002,Upgrade
9,Earnings From Equity Investments,-15943,-5555,-15928,-995.34,-101881,-4730,-4437,-1334,-8.48,452.8,670.89,519.52,325.04,-,-,-,-,-,-505.16,505.16,Upgrade
10,Other Non Operating Income (Expenses),5668,-21942,17104,-14152,-25834,-5339,-26804,31879,-21108,-11572,-13053,13386,-72497,1277,25622,6488,-80907,3146,5381,-8587,Upgrade
11,EBT Excluding Unusual Items,305991,125198,163945,132604,101546,183274,-66408,-96387,-406198,125743,143659,535817,111751,251360,977654,924551,-62883,305340,253609,123541,Upgrade
12,Gain (Loss) on Sale of Investments,-47.68,-,-,-,13599,-156.13,315680,-,2992,190243,172370,-,219967,-,1623,-,133.68,-,2396,-,Upgrade
13,Gain (Loss) on Sale of Assets,-,-,-,-,2006,-,-,-,3191,-,-,-,3497,-,-,-,1184,-,-,-,Upgrade
14,Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,25615,-,-,-,80704,-,35889,-,Upgrade
15,Pretax Income,305943,125198,163945,132604,117151,183118,249271,-96387,-400015,315986,316029,535817,360831,251360,979277,924551,19139,305340,291893,123541,Upgrade
16,Income Tax Expense,96126,52086,70285,54969,116498,73412,92128,20875,-4684,57413,53941,127441,115346,91106,501745,212765,40691,83820,55517,29852,Upgrade
17,Earnings From Continuing Operations,209817,73112,93661,77635,653.57,109705,157144,-117263,-395331,258573,262088,408376,245484,160254,477532,711786,-21552,221520,236377,93690,Upgrade
18,Minority Interest in Earnings,-52171,-42399,-60740,-46353,42098,-41652,-953.61,22250,53755,-105434,-128976,-138182,29795,-108287,-178584,-180720,-86098,-121494,-72360,-26173,Upgrade
19,Net Income,157646,30713,32921,31281,42752,68054,156190,-95012,-341576,153139,133112,270194,275280,51967,298948,531065,-107650,100026,164016,67517,Upgrade
20,Preferred Dividends & Other Adjustments,-,-,-,-,5159,-,-,-,6446,-,-,-,34718,-,-,-,-,-,-,-,Upgrade
21,Net Income to Common,157646,30713,32921,31281,37592,68054,156190,-95012,-348022,153139,133112,270194,240562,51967,298948,531065,-107650,100026,164016,67517,Upgrade
22,Net Income Growth,268.75%,-54.87%,-78.92%,-,-,-55.56%,17.34%,-,-,194.69%,-55.47%,-49.12%,-,-48.05%,82.27%,686.57%,-,-71.47%,-34.14%,-78.03%,Upgrade
23,Shares Outstanding (Basic),704,704,704,668,610,610,610,610,607,603,608,598,596,596,596,596,596,596,2,598,Upgrade
24,Shares Outstanding (Diluted),704,704,704,673,610,615,615,610,607,608,613,603,604,596,605,605,596,596,2,598,Upgrade
25,Shares Change (YoY),15.39%,14.47%,14.47%,10.33%,0.53%,1.17%,0.38%,1.16%,0.43%,1.98%,1.19%,-0.40%,1.31%,-,26481.23%,1.29%,-1.74%,18.72%,-99.57%,24.46%,Upgrade
26,EPS (Basic),223.95,43.63,46.77,46.82,61.62,111.56,256.04,-155.75,-573.52,254.00,219.04,451.73,403.61,87.19,501.57,891.01,-180.50,167.82,72010.47,112.95,Upgrade
27,EPS (Diluted),223.95,43.63,46.77,46.82,61.00,111.56,255.07,-156.00,-577.90,252.67,216.72,451.73,402.54,87.00,501.57,882.50,-180.89,167.82,71950.46,112.95,Upgrade
28,EPS Growth,267.13%,-60.89%,-81.67%,-,-,-55.85%,17.69%,-,-,190.42%,-56.79%,-48.81%,-,-48.16%,-99.30%,681.31%,-,-76.19%,14962.47%,-82.35%,Upgrade
29,Free Cash Flow,-631746,-273047,-444655,-34796,-129673,-212970,-399284,-237337,-168831,-1912395,-1306164,-664874,792066,484432,436810,-526379,-403261,1105563,-74845,-1496822,Upgrade
30,Free Cash Flow Per Share,-897.44,-387.88,-631.66,-51.70,-212.57,-346.33,-649.31,-389.06,-278.22,-3146.29,-2132.12,-1102.54,1310.92,812.77,721.48,-869.43,-676.16,1854.89,-32860.30,-2504.08,Upgrade
31,Gross Margin,50.25%,49.85%,47.84%,44.38%,46.53%,48.90%,40.64%,44.00%,50.20%,54.29%,51.16%,57.84%,49.49%,60.07%,54.88%,58.79%,51.07%,79.77%,101.61%,60.48%,Upgrade
32,Operating Margin,26.88%,23.10%,22.44%,23.92%,23.05%,27.15%,11.50%,-1.30%,-26.25%,17.59%,15.88%,33.68%,12.03%,26.83%,29.89%,34.70%,7.80%,48.46%,66.49%,26.29%,Upgrade
33,Profit Margin,10.31%,3.03%,2.92%,2.94%,2.65%,5.61%,21.88%,-25.13%,-38.05%,12.20%,8.59%,15.08%,10.60%,3.99%,8.39%,17.98%,-10.62%,12.55%,47.80%,11.22%,Upgrade
34,Free Cash Flow Margin,-41.30%,-26.95%,-39.49%,-3.27%,-9.14%,-17.54%,-55.94%,-62.77%,-18.46%,-152.38%,-84.28%,-37.10%,34.89%,37.19%,12.26%,-17.82%,-39.77%,138.72%,-21.81%,-248.75%,Upgrade
35,EBITDA,411488,249508,266060,272421,343057,351306,102737,15984,-219930,242917,267107,625791,286168,369875,1083611,1042473,98598,398866,240241,170352,Upgrade
36,EBITDA Margin,26.90%,24.63%,23.63%,25.59%,24.18%,28.94%,14.39%,4.23%,-24.04%,19.36%,17.23%,34.92%,12.61%,28.39%,30.41%,35.29%,9.72%,50.05%,70.02%,28.31%,Upgrade
37,D&A For EBITDA,396.5,15448,13398,17703,15971,21703,20653,20910,20175,22215,21004,22266,13204,20349,18434,17463,19521,12682,12122,12180,Upgrade
38,EBIT,411091,234059,252662,254719,327086,329603,82084,-4926,-240105,220702,246102,603524,272964,349526,1065177,1025011,79078,386184,228119,158171,Upgrade
39,EBIT Margin,26.88%,23.10%,22.44%,23.92%,23.05%,27.15%,11.50%,-1.30%,-26.25%,17.59%,15.88%,33.68%,12.03%,26.83%,29.89%,34.70%,7.80%,48.46%,66.49%,26.29%,Upgrade
40,Effective Tax Rate,31.42%,41.60%,42.87%,41.45%,99.44%,40.09%,36.96%,-,-,18.17%,17.07%,23.78%,31.97%,36.25%,51.24%,23.01%,212.61%,27.45%,19.02%,24.16%,Upgrade
41,Revenue as Reported,1529495,1013080,1125936,1064682,1419030,1213881,713822,378093,914658,1255055,1549806,1792196,2269923,1302621,3563156,2953686,1013863,796964,343103,601743,Upgrade
