,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,1249079,1105106,1069653,1399343,276069,643821,454890,615228,918979,1077020,2484841,1920369,2737677,4131091,4564859,2337222,1779631,1630606,1266337,766408,Upgrade
1,Short-Term Investments,77871,59348,65004,3081867,14198,144335,3628817,141106,181166,172503,3978820,284858,285928,822025,982692,374999,205684,231258,122959,512197,Upgrade
2,Cash & Short-Term Investments,1326950,1164455,1134657,4481210,290266,788156,4083707,756334,1100145,1249523,6463661,2205227,3023605,4953116,5547551,2712221,1985315,1861865,1389296,1278605,Upgrade
3,Cash Growth,357.15%,47.74%,-72.22%,492.49%,-73.62%,-36.92%,-36.82%,-65.70%,-63.61%,-74.77%,16.51%,-18.69%,52.30%,166.03%,299.31%,112.12%,80.64%,7.66%,55.13%,-18.52%,Upgrade
4,Accounts Receivable,1375302,1071531,1269710,1241314,1267564,1656896,1424626,1429438,1521565,1817314,1548048,1552851,1534494,1697839,1641103,1977959,1228680,1193962,1320141,1446491,Upgrade
5,Other Receivables,599735,358487,293649,355077,132025,377622,206065,678650,-21210,1789304,1730054,1469883,1095632,996313,964875,913670,760078,663891,1221180,1992990,Upgrade
6,Receivables,2211671,1977894,2065629,2344451,2146810,2977054,3347566,3345847,2416044,4485534,4232581,3657700,3246359,3445168,3045994,3331624,2475432,2348397,2547621,3445039,Upgrade
7,Inventory,13440166,13829976,13896240,14009790,14139059,14788232,14788344,15113959,14030956,14108190,12584708,11410533,11238341,11141392,9639547,10148666,10251681,9756266,8844318,8552111,Upgrade
8,Prepaid Expenses,129464,134705,138346,127971,130027,133441,91248,59354,131203,73056,67716,146516,112009,115289,115281,89413,109132,230963,123037,68384,Upgrade
9,Other Current Assets,8979095,9480648,9405263,6272996,9523595,8969094,5209724,8192551,9692583,8646945,3856133,8299832,7634727,5510269,5794672,5152387,4901481,4723825,4310913,4928120,Upgrade
10,Total Current Assets,26087346,26587677,26640136,27236420,26229757,27655977,27520589,27468045,27370931,28563248,27204799,25719808,25255041,25165235,24143045,21434311,19723042,18921315,17215185,18272259,Upgrade
11,"Property, Plant & Equipment",1026097,1007434,1035722,1026202,1032815,1070694,1051980,1048578,1039805,1029718,1049165,1016013,1020611,1003702,987838,971648,970536,968656,395643,403817,Upgrade
12,Long-Term Investments,442902,449781,455085,401131,394226,496078,500808,505160,506494,334598,397249,505974,353361,106500,76500,106500,106500,106541,1137756,1176266,Upgrade
13,Goodwill,118216,124798,131380,137962,144543,151125,157707,164289,170871,177453,193484,202462,209766,217215,224467,229585,236837,281155,82144,85200,Upgrade
14,Other Intangible Assets,71014,72701,55791,58705,61909,65174,68451,62530,65475,60730,64170,66704,68675,71534,47718,29119,29894,28760,29218,30430,Upgrade
15,Long-Term Deferred Tax Assets,114382,153183,160046,172249,179822,235178,256236,266987,253303,267997,219331,233543,207236,154054,144078,165724,190282,103997,65661,50061,Upgrade
16,Other Long-Term Assets,1260331,452058,459006,600981,729438,824514,940864,964059,913788,867618,1242664,1126906,1139370,1849534,2125642,2737713,2054342,1816450,1553050,1236622,Upgrade
