,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,5322,5572,4802,4709,4468,4621,4435,5535,4623,5916,7791,8195,12566,10244,-,-,-,-,-,-
1,Market Cap Growth,20.59%,20.59%,8.28%,-14.93%,-3.36%,-21.89%,-43.08%,-32.45%,-63.21%,-42.25%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,6638,5297,5369,4360,4119,4272,4114,5031,4118,5382,7267,7580,11951,10240,-,-,-,-,-,-
3,Last Close Price,28.77,30.08,25.70,25.20,23.91,24.63,23.64,29.32,24.49,31.34,40.78,43.27,66.35,54.08,-,-,-,-,-,-
4,PE Ratio,17.87,23.77,20.68,18.37,22.83,26.19,21.58,28.62,20.03,23.17,28.83,33.31,52.41,43.59,-,-,-,-,-,-
5,Forward PE,16.79,19.75,21.04,13.39,13.75,14.81,15.26,15.24,11.98,15.81,21.13,21.39,39.32,34.92,-,-,-,-,-,-
6,PS Ratio,1.80,1.95,1.74,1.83,1.82,2.01,2.09,2.68,2.25,2.84,3.61,3.94,6.31,5.07,-,-,-,-,-,-
7,PB Ratio,2.19,2.27,2.01,2.04,2.00,2.09,2.03,2.65,2.23,2.87,3.95,4.33,6.79,5.62,-,-,-,-,-,-
8,P/TBV Ratio,2.43,2.43,2.16,2.19,2.15,2.19,2.13,2.79,2.34,3.03,4.18,4.54,7.14,5.96,-,-,-,-,-,-
9,P/FCF Ratio,182.87,182.87,199.48,-,144.98,-26.56,-17.56,-,-,-,-,-,1135.42,-,-,-,-,-,-,-
10,P/OCF Ratio,15.71,15.71,12.68,15.59,15.32,25.79,43.57,36.60,-,-,24.97,32.53,44.59,42.14,-,-,-,-,-,-
11,EV/Sales Ratio,2.23,1.85,1.95,1.70,1.68,1.86,1.94,2.43,2.00,2.59,3.37,3.64,6.01,5.07,-,-,-,-,-,-
12,EV/EBITDA Ratio,15.04,14.47,15.77,14.11,14.89,19.29,20.18,23.11,16.60,19.12,22.97,22.74,36.97,30.45,-,-,-,-,-,-
13,EV/EBIT Ratio,19.51,20.26,22.33,20.47,22.22,31.66,33.83,35.53,-,25.14,28.99,27.95,45.44,36.84,-,-,-,-,-,-
14,EV/FCF Ratio,173.86,173.86,223.03,-,133.66,-24.56,-16.30,-,-,-,-,-,1079.84,-,-,-,-,-,-,-
15,Debt / Equity Ratio,1.02,1.02,0.88,0.74,0.60,0.52,0.46,0.38,0.22,0.10,0.11,0.08,0.04,0.04,0.08,0.08,0.11,-,-,0.44
16,Debt / EBITDA Ratio,6.68,5.44,5.11,5.40,4.59,3.19,3.56,4.21,6.92,0.73,0.67,0.48,0.34,0.17,0.20,0.32,0.42,-,-,3.45
17,Debt / FCF Ratio,82.29,82.29,87.59,-,43.35,-6.57,-3.98,-,-,-,-,-,5.99,-,-,0.49,1.51,-,-,-
18,Asset Turnover,0.60,0.67,0.59,0.65,0.74,0.72,0.67,0.69,0.78,0.91,0.88,0.91,1.30,1.41,1.23,-,-,-,-,
19,Inventory Turnover,6.98,6.89,7.11,5.90,6.67,6.96,6.28,5.20,5.05,5.30,6.02,5.34,6.27,7.51,6.31,5.86,-,-,-,-
20,Quick Ratio,0.67,0.67,1.18,0.70,1.17,1.22,1.26,1.29,1.42,1.92,1.83,2.46,3.07,3.61,1.02,1.04,1.02,-,-,-
21,Current Ratio,1.46,1.46,1.39,1.30,1.42,1.53,1.58,1.70,2.02,2.82,2.49,3.51,4.29,4.81,1.87,1.87,1.77,-,-,-
22,Return on Equity (ROE),6.50%,14.10%,12.72%,7.16%,6.75%,20.06%,2.24%,3.99%,13.13%,19.63%,10.48%,9.84%,22.44%,27.22%,17.38%,-,-,-,-,
23,Return on Assets (ROA),4.26%,3.80%,3.15%,2.88%,4.65%,3.29%,2.11%,-0.49%,5.33%,6.56%,6.64%,3.70%,12.86%,15.42%,9.76%,-,-,-,-,
24,Return on Capital (ROIC),4.76%,4.27%,3.54%,3.25%,5.27%,3.74%,2.41%,-0.56%,6.24%,7.69%,7.66%,4.25%,15.15%,19.12%,12.15%,-,-,-,-,
25,Return on Capital Employed (ROCE),8.50%,8.63%,9.08%,9.02%,8.09%,5.87%,5.35%,6.47%,-,10.05%,12.20%,13.72%,13.65%,14.66%,24.95%,29.87%,26.70%,-,-,-
26,Earnings Yield,5.64%,4.21%,4.83%,5.44%,4.38%,3.82%,4.63%,3.49%,4.99%,4.32%,3.47%,3.00%,1.91%,2.29%,-,-,-,-,-,-
27,FCF Yield,0.55%,0.55%,0.50%,0.31%,0.69%,-3.76%,-5.69%,-5.45%,-7.78%,-1.97%,-1.52%,-1.08%,0.09%,-0.12%,-,-,-,-,-,-
28,Dividend Yield,0.52%,-,0.74%,-,0.63%,-,-,-,0.58%,-,-,-,0.22%,-,-,-,-,-,-,-
29,Payout Ratio,37.22%,123.16%,17.78%,21.54%,21.12%,18.25%,30.71%,27.68%,12.20%,1.80%,29.10%,1.46%,1.95%,0.54%,1.13%,2.45%,2.60%,1.06%,2.76%,1078.13%
30,Buyback Yield / Dilution,0.14%,-0.59%,-3.47%,4.72%,-0.42%,1.46%,3.26%,-4.88%,3.07%,-10.88%,-35.32%,-33.05%,-35.49%,-21.93%,-1.69%,0.89%,-,-,-,-
31,Total Shareholder Return,0.66%,-0.59%,-2.74%,4.72%,0.21%,1.46%,3.26%,-4.88%,3.66%,-10.88%,-35.32%,-33.05%,-35.28%,-21.93%,-1.69%,0.89%,-,-,-,-
