,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,935.73,1147,1102,1312,1458,1320,1072,755.61,624.76,668.6,581.46,558.38,688.68,84.96,116.39,88.52,-,-,-
1,Short-Term Investments,-,732.34,-,325.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,255.8,503.46,35.03,34.14,32.93,34.2,33.09,32.65,89.7,90.84,91.63,93.9,0.33,-,-,-,-,-,-
3,Cash & Short-Term Investments,1192,2383,1137,1671,1491,1355,1105,788.26,714.46,759.44,673.09,652.27,689.01,84.96,116.39,88.52,-,-,191.1
4,Cash Growth,-20.10%,75.93%,2.97%,112.00%,108.73%,78.36%,64.11%,20.85%,3.69%,793.87%,478.30%,636.86%,-,-,-39.10%,-,-,-,-
5,Accounts Receivable,446.83,424.33,335.06,299.87,321.57,307.15,254.05,230.96,174.02,230.34,210.29,205.49,236.35,200.89,189.16,228.17,-,-,-
6,Other Receivables,17.83,47.26,16.37,40.3,14.59,37.8,17.34,32.32,25.45,45.34,28.48,53.79,42.58,47.41,12.93,19.63,-,-,-
7,Receivables,464.67,471.58,351.43,340.17,336.16,344.95,271.38,263.28,199.47,275.68,238.77,259.28,278.93,248.3,202.08,247.81,-,-,-
8,Inventory,342.58,348.18,325.32,305.04,270.02,301.46,286.56,322.62,284.73,266.38,279.18,256.99,209.03,217.12,201.69,207.25,-,-,-
9,Other Current Assets,1616,142.63,969.78,139.97,181.4,139.96,144.03,113.76,147.44,108.12,109.83,107.39,112.4,60.17,55.16,40.83,-,-,-
10,Total Current Assets,3615,3345,2784,2456,2279,2141,1807,1488,1346,1410,1301,1276,1289,610.55,575.33,584.41,-,-,-
11,"Property, Plant & Equipment",1289,1198,1166,1154,1111,1101,1092,1070,1023,970.46,873.56,806.75,736.97,686.57,654.65,622.24,-,-,-
12,Long-Term Investments,0.05,0.05,72.94,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,-,-,-
13,Goodwill,-,-,-,-,2.06,2.1,2.13,2.13,1.74,1.72,-,-,-,-,-,-,-,-,-
14,Other Intangible Assets,165.73,163.46,162.9,162.97,100.02,101.36,100.9,102.63,105.58,104.68,90,91.35,104.8,105.95,95.09,96.78,-,-,-
15,Long-Term Deferred Tax Assets,6.64,6.57,4.35,6.43,5.17,6.79,6.02,6.69,2.84,3.47,4.44,3.65,6.1,4.48,3.35,3.19,-,-,-
16,Long-Term Deferred Charges,-,-,-,-,0.01,0.03,0.05,0.08,0.1,0.13,0.16,0.19,0.24,0.28,0.28,0.31,-,-,-
17,Other Long-Term Assets,425.94,346.14,306.18,237.02,295.22,273.57,244.32,251.96,127.51,129.87,77.89,46.54,26.46,20.06,23.09,29.1,-,-,-
18,Total Assets,5503,5060,4497,4017,3793,3626,3252,2922,2607,2620,2347,2224,2164,1428,1352,1336,-,-,-
19,Accounts Payable,335.66,290,282.54,161.62,233.54,175.32,196.05,110.47,148.76,159.7,169.16,129.93,147.85,140.68,153.16,132.77,-,-,-
20,Accrued Expenses,51.9,86.47,51.93,70.43,41.16,59.31,35.57,71.32,50.86,78.43,51.52,67.02,32.47,48.85,28.57,55.94,-,-,-
21,Short-Term Debt,1972,1867,1663,1295,1104,947.06,724.74,384.31,183.28,182.8,105.79,25.01,35,81.1,73.86,82.75,-,-,-
22,Current Portion of Long-Term Debt,24.06,35.03,38.46,35.03,1.93,5,4.03,3.5,-,-,-,3.19,3.25,-,-,9.27,-,-,-
23,Current Portion of Leases,-,3.64,-,3.46,-,1.94,-,1.93,-,-,-,-,-,-,-,-,-,-,-
24,Current Income Taxes Payable,7.98,9.3,20.74,10.63,21.68,16.96,7.41,4.59,16.99,14.11,9.51,4.46,3.82,6.05,14.01,8.91,-,-,-
25,Current Unearned Revenue,35.48,38.02,42.57,42.52,41.42,37.23,45.2,32.56,27.96,35.89,32.55,40.45,42.41,31.43,26.63,23.43,-,-,-
26,Other Current Liabilities,45.87,82.4,35.87,105.7,49.86,110.53,51.08,129.32,49.09,94.28,1.7,27.24,3.36,17.64,11.24,16.36,-,-,-
27,Total Current Liabilities,2473,2412,2135,1725,1493,1353,1064,738.01,476.94,565.21,370.23,297.3,268.15,325.75,307.47,329.42,-,-,-
28,Long-Term Debt,510.8,202.35,-,-,35.03,49.6,52.87,57.86,26.33,43.09,43.06,38.09,35.73,-,11.25,11.25,-,-,-
29,Long-Term Leases,0.24,0.34,2.51,2.26,1.85,2.38,2.87,3.42,-,-,-,-,-,-,-,-,-,-,-
30,Long-Term Unearned Revenue,17.57,18.03,18.5,18.97,19.36,10.69,11.06,11.43,11.06,11.41,11.87,12.31,14.63,12.6,13.04,13.48,-,-,-
31,Long-Term Deferred Tax Liabilities,38.66,31.33,26.27,27.22,22.74,23.64,31.54,28.86,25.14,23.38,22.66,21.34,17.37,14.38,10.72,10.18,-,-,-
32,Other Long-Term Liabilities,4.87,4.94,4.87,4.94,4.87,4.94,4.87,4.94,5.01,4.94,4.87,4.94,4.94,4.94,4.87,4.94,-,-,-
33,Total Liabilities,3045,2669,2188,1778,1577,1445,1167,844.52,544.49,648.04,452.69,373.99,340.82,357.67,347.35,369.27,-,-,-
34,Common Stock,187.23,187.77,187.77,187.77,188.48,188.48,134.63,134.63,134.63,134.63,133.03,133.03,133.03,99.77,99.77,99.77,-,-,-
35,Additional Paid-In Capital,761.73,770.65,768.91,767.16,788.62,785.44,836.24,833.06,834.77,828.7,780.15,780.15,780.15,156.55,156.55,156.55,-,-,-
36,Retained Earnings,1486,1482,1399,1327,1287,1250,1170,1158,1138,1071,1003,954.31,909.13,827.95,757.36,714.54,-,-,-
37,Treasury Stock,-31.03,-31.03,-31.03,-31.03,-45.78,-45.78,-45.78,-45.78,-46.1,-46.1,-,-,-,-,-,-,-,-,-
38,Comprehensive Income & Other,53.27,-18.4,-15.9,-12.27,-2.81,2.99,-9.97,-2.64,1.61,-16.56,-22.25,-17.02,0.85,-14,-9.2,-4.06,-,-,-
39,Shareholders' Equity,2457,2391,2309,2239,2216,2181,2085,2077,2062,1972,1894,1850,1823,1070,1004,966.8,-,-,704.02
40,Total Liabilities & Equity,5503,5060,4497,4017,3793,3626,3252,2922,2607,2620,2347,2224,2164,1428,1352,1336,-,-,-
41,Total Debt,2507,2108,1704,1336,1143,1006,784.51,451.02,209.61,225.9,148.85,66.3,73.97,81.1,85.11,103.27,-,-,307.66
42,Net Cash (Debt),-1316,274.65,-566.89,335.2,348.59,348.57,320.11,337.24,504.85,533.54,524.24,585.98,615.04,3.86,31.28,-14.75,-,-,-116.56
43,Net Cash Growth,-,-21.21%,-,-0.60%,-30.95%,-34.67%,-38.94%,-42.45%,-17.92%,13724.98%,1575.83%,-,-,-,-,-,-,-,-
44,Net Cash Per Share,-7.02,1.46,-3.06,1.84,1.87,1.91,1.65,1.86,2.67,2.83,2.83,3.13,3.61,0.03,0.22,-0.11,-,-,-0.83
45,Filing Date Shares Outstanding,187.4,188.46,185.4,182.32,186.3,182.13,194.59,181.56,186.25,186.25,186.25,186.25,186.25,186.25,139.68,139.68,139.83,136.81,140.69
46,Total Common Shares Outstanding,187.4,188.46,185.4,182.32,186.3,182.13,194.59,181.56,186.25,186.25,186.25,186.25,186.25,139.68,139.68,139.68,139.83,136.81,140.69
47,Working Capital,1142,933.52,648.51,731.75,785.39,787.58,742.51,749.91,869.17,844.4,930.64,978.63,1021,284.8,267.86,254.99,-,-,-
48,Book Value Per Share,13.11,12.69,12.46,12.28,11.89,11.18,11.48,11.44,11.07,10.59,10.17,9.94,9.79,7.66,7.19,6.92,-,-,5.24
49,Tangible Book Value,2292,2228,2146,2076,2113,2078,1982,1973,1955,1866,1804,1759,1718,964.33,909.39,870.03,-,-,615.32
50,Tangible Book Value Per Share,12.23,11.82,11.58,11.39,11.34,10.65,10.92,10.86,10.50,10.02,9.69,9.45,9.23,6.90,6.51,6.23,-,-,4.58
51,Buildings,-,713.45,-,674.35,-,486.64,-,481.72,-,447.54,-,328,-,316.28,-,303.49,-,-,-
52,Machinery,-,804.72,-,764.9,-,735.69,-,698.55,-,638.34,-,482.5,-,447.67,-,427.56,-,-,-
53,Construction In Progress,-,204.43,-,187.33,-,323.36,-,292.53,-,248.32,-,324.41,-,227.14,-,172.29,-,-,-
