,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,3129,2573,4289,5828,10350,12300,16569,39405,40424,35723,45908,Upgrade
1,Market Cap Growth,-55.84%,-55.84%,-58.56%,-52.62%,-37.53%,-68.79%,-59.01%,10.31%,-11.95%,-12.81%,27.25%,Upgrade
2,Enterprise Value,73832,73142,79926,87355,97328,119453,109248,122282,114960,114006,119365,Upgrade
3,Last Close Price,0.62,0.51,0.85,1.24,2.31,3.14,4.23,9.50,9.26,7.81,9.59,Upgrade
4,PE Ratio,-,-,-,-,-,2.75,2.01,3.40,3.59,4.31,5.46,Upgrade
5,Forward PE,-,-,-,6.34,1.88,2.00,1.53,3.24,3.86,4.19,4.79,Upgrade
6,PS Ratio,0.06,0.05,0.09,0.13,0.17,0.16,0.18,0.38,0.42,0.49,0.68,Upgrade
7,PB Ratio,0.16,0.05,0.06,0.08,0.12,0.11,0.15,0.36,0.44,0.45,0.63,Upgrade
8,P/TBV Ratio,0.09,0.09,0.11,0.12,0.19,0.17,0.23,0.55,0.60,0.60,0.78,Upgrade
9,P/FCF Ratio,1.07,-,0.42,0.49,0.97,3.48,-,-,-,16.04,-,Upgrade
10,P/OCF Ratio,0.64,-,0.37,0.40,0.74,2.38,14.52,-9.68,-,6.77,-,Upgrade
11,PEG Ratio,-,-,-,-,-,-,0.25,0.21,0.21,0.66,0.43,Upgrade
12,EV/Sales Ratio,1.55,1.53,1.68,1.91,1.59,1.54,1.22,1.19,1.21,1.56,1.77,Upgrade
13,EV/EBITDA Ratio,-,-,-,-,-,10.66,7.02,6.15,5.45,6.96,8.21,Upgrade
14,EV/EBIT Ratio,-,-,-,-,-,11.87,7.59,6.57,5.78,7.34,8.65,Upgrade
15,EV/FCF Ratio,25.17,-,7.87,7.40,9.11,33.84,-,-,-,51.19,-,Upgrade
16,Debt / Equity Ratio,0.99,0.99,0.88,0.82,0.81,0.77,1.01,1.15,1.30,1.39,1.49,Upgrade
17,Debt / FCF Ratio,19.14,-,5.95,5.36,6.50,23.42,-,-,-,49.00,-,Upgrade
18,Return on Capital Employed (ROCE),-,-,-,-,-,5.79%,7.66%,9.83%,11.53%,10.30%,9.83%,Upgrade
19,Earnings Yield,-652.54%,-749.25%,-327.74%,-386.13%,-152.76%,45.48%,57.01%,32.59%,31.02%,26.24%,20.38%,Upgrade
20,FCF Yield,93.77%,113.99%,236.86%,202.65%,103.20%,28.70%,-7.51%,-21.30%,-0.89%,6.23%,-40.62%,Upgrade
21,Dividend Yield,0.00%,-,-,-,-,-,-,11.22%,11.88%,11.55%,10.43%,Upgrade
22,Buyback Yield / Dilution,-16.50%,-8.63%,-25.75%,-19.64%,-1.66%,-,-,-,-,-,-,Upgrade
23,Total Shareholder Return,-16.50%,-8.63%,-25.75%,-19.64%,-1.66%,-,-,11.22%,11.88%,11.55%,10.43%,Upgrade
