,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,4684,3588,3244,4465,3943,4444,3000,2710,2469,-,-,-,-,-,-,-
1,Market Cap Growth,-19.26%,-19.26%,8.13%,64.73%,59.68%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4237,3147,2720,3925,3404,3893,2416,2709,2468,-,-,-,-,-,-,-
3,Last Close Price,58.55,44.85,40.55,55.34,48.88,55.09,36.89,33.64,30.65,-,-,-,-,-,-,-
4,PE Ratio,60.18,46.05,41.52,55.26,49.24,63.29,45.21,42.32,43.91,-,-,-,-,-,-,-
5,Forward PE,-,22.68,26.85,40.08,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,12.13,9.28,8.90,12.61,11.20,13.73,9.52,9.04,9.13,-,-,-,-,-,-,-
7,PB Ratio,4.33,3.31,3.05,4.17,3.74,4.31,2.89,2.67,2.47,-,-,-,-,-,-,-
8,P/TBV Ratio,3.68,3.68,3.39,4.63,3.85,4.42,2.97,2.74,2.54,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-217.93,-,-,-81.88,-,-,-,-,-,-,-,-
10,P/OCF Ratio,43.98,43.98,39.50,-,74.07,144.60,-,443.55,1442.77,-,-,-,-,-,-,-
11,EV/Sales Ratio,10.96,8.14,7.46,11.08,9.66,12.03,7.67,9.03,9.12,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,45.44,33.41,29.81,43.14,37.80,44.66,29.59,32.71,33.33,-,-,-,-,-,-,-
13,EV/EBIT Ratio,63.14,45.76,41.07,59.02,51.58,61.28,40.52,44.33,45.75,-,-,-,-,-,-,-
14,EV/FCF Ratio,-112.45,-,-,-,-188.12,-,-,-81.85,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,-,-,-,-,-,0.00,0.05,-,0.12,0.16,-,-,-,-
16,Debt / EBITDA Ratio,0.00,0.00,-,-,-,-,-,0.00,0.87,-,0.47,0.91,-,-,-,-
17,Debt / FCF Ratio,-,-,-,-,-,-,-,0.00,-,-,-,-,-,-,-,-
18,Asset Turnover,0.36,0.34,0.28,0.35,0.30,0.33,0.29,-,-,-,-,0.52,0.59,0.45,-,
19,Inventory Turnover,3.64,3.60,3.88,3.02,4.19,3.16,3.99,3.50,-,-,-,-,3.13,3.41,2.59,-
20,Quick Ratio,7.30,7.30,7.86,5.01,9.10,12.90,11.73,14.06,6.10,-,1.30,-,1.36,1.36,2.34,2.34
21,Current Ratio,8.21,8.21,8.80,5.54,9.93,14.14,12.73,15.13,6.59,-,1.77,-,1.69,1.69,2.88,2.88
22,Return on Equity (ROE),7.13%,7.24%,6.65%,8.38%,7.48%,8.56%,6.72%,-,-,21.72%,-,23.96%,25.47%,19.24%,-,
23,Return on Assets (ROA),4.88%,3.67%,3.91%,2.26%,4.59%,4.07%,4.07%,-,-,-,-,12.96%,14.56%,10.58%,-,
24,Return on Capital (ROIC),5.30%,4.08%,4.35%,2.42%,4.88%,4.31%,4.36%,-,-,11.62%,-,17.56%,18.66%,12.68%,-,
25,Return on Capital Employed (ROCE),6.13%,6.28%,6.18%,6.16%,6.21%,6.10%,5.72%,5.99%,5.37%,-,18.76%,-,22.58%,15.68%,10.00%,5.00%
26,Earnings Yield,1.66%,2.17%,2.41%,1.81%,2.03%,1.58%,2.21%,2.36%,2.28%,-,-,-,-,-,-,-
27,FCF Yield,-0.80%,-1.05%,-2.21%,-1.13%,-0.46%,-1.81%,-1.78%,-1.22%,-1.64%,-,-,-,-,-,-,-
28,Dividend Yield,0.62%,-,-,-,0.72%,-,-,-,1.03%,-,-,-,-,-,-,-
29,Payout Ratio,35.98%,1.06%,144.03%,-,0.17%,130.20%,-,0.48%,16.75%,-,-,4.80%,-,-,0.14%,0.14%
30,Buyback Yield / Dilution,-7.03%,-0.00%,-0.04%,0.04%,-35.48%,-33.34%,-33.33%,-33.36%,0.82%,-0.35%,0.37%,0.36%,-,-,-,-
31,Total Shareholder Return,-6.41%,-0.00%,-0.04%,0.04%,-34.76%,-33.34%,-33.33%,-33.36%,1.85%,-0.35%,0.37%,0.36%,-,-,-,-
